# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.2
metadata : {}


# id : NWRW1800000022.2.1.1
제주문학관 건립·제주어 사전 편찬 지원

제주문학관	제주문학관/NNP
건립·제주어	건립/NNG+·/SP+제주어/NNP
사전	사전/NNG
편찬	편찬/NNG
지원	지원/NNG


# id : NWRW1800000022.2.2.1
문학인들의 보금자리인 제주문학관이 건립된다.

문학인들의	문학인/NNG+들/XSN+의/JKG
보금자리인	보금자리/NNG+이/VCP+ㄴ/ETM
제주문학관이	제주문학관/NNP+이/JKS
건립된다.	건립/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.2.2.2
제주도는 5일 문화예술진흥을 위해 제주지역 문학인들의 숙원사업인 문학관 건립을 지원하기로 했다고 밝혔다.

제주도는	제주도/NNP+는/JX
5일	5/SN+일/NNB
문화예술진흥을	문화/NNG+예술/NNG+진흥/NNG+을/JKO
위해	위하/VV+아/EC
제주지역	제주지역/NNP
문학인들의	문학인/NNG+들/XSN+의/JKG
숙원사업인	숙원/NNG+사업/NNG+이/VCP+ㄴ/ETM
문학관	문학관/NNG
건립을	건립/NNG+을/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.2.2.3
제주문학관은 관련단체로 구성된 건립추진위원회가 사업추진 방향 등을 확정해 나갈 예정이다.

제주문학관은	제주문학관/NNP+은/JX
관련단체로	관련/NNG+단체/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
건립추진위원회가	건립/NNG+추진/NNG+위원회/NNG+가/JKS
사업추진	사업/NNG+추진/NNG
방향	방향/NNG
등을	등/NNB+을/JKO
확정해	확정/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.2.2.4
현재 폐교시설이나 제주시 옛 도심의 재생 프로젝트와 연계해 기존 건물을 리모델링 하는 등 다양한 방안이 검토되고 있다.

현재	현재/MAG
폐교시설이나	폐교/NNG+시설/NNG+이나/JC
제주시	제주시/NNP
옛	옛/MMA
도심의	도심/NNG+의/JKG
재생	재생/NNG
프로젝트와	프로젝트/NNG+와/JKB
연계해	연계/NNG+하/XSV+아/EC
기존	기존/NNG
건물을	건물/NNG+을/JKO
리모델링	리모델링/NNG
하는	하/XSV+는/ETM
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
방안이	방안/NNG+이/JKS
검토되고	검토/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.2.3.1
제주도는 또 '컬처 콘텐츠 노믹스' 원년을 맞아 제주어(語)사전 편찬과 제주어 간판 디자인 등 제주어 활용방안을 지속적으로 발굴할 예정이다.

제주도는	제주도/NNP+는/JX
또	또/MAG
'컬처	'/SS+컬처/NNG
콘텐츠	콘텐츠/NNG
노믹스'	노믹스/NNG+'/SS
원년을	원년/NNG+을/JKO
맞아	맞/VV+아/EC
제주어(語)사전	제주어/NNP+(/SS+語/SH+)/SS+사전/NNG
편찬과	편찬/NNG+과/JC
제주어	제주어/NNP
간판	간판/NNG
디자인	디자인/NNG
등	등/NNB
활용방안을	활용/NNG+방안/NNG+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
발굴할	발굴/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.2.3.2
이와 함께 전통 민구류 등 민속품을 마을별로 전수조사해 실용화 방안을 찾고, 문화소외계층을 찾아가는 문화나눔사업도 활발히 추진할 방침이다.

이와	이/NP+와/JKB
함께	함께/MAG
전통	전통/NNG
민구류	민구/NNG+류/XSN
등	등/NNB
민속품을	민속품/NNG+을/JKO
마을별로	마을/NNG+별/XSN+로/JKB
전수조사해	전수/NNG+조사/NNG+하/XSV+아/EC
실용화	실용/NNG+화/XSN
방안을	방안/NNG+을/JKO
찾고,	찾/VV+고/EC+,/SP
문화소외계층을	문화/NNG+소외/NNG+계층/NNG+을/JKO
찾아가는	찾아가/VV+는/ETM
문화나눔사업도	문화/NNG+나눔/NNG+사업/NNG+도/JX
활발히	활발히/MAG
추진할	추진/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.2.3.3
홍원석 제주도 문화예술담당은 "도심환경을 개선하는 공공미술사업을 지속적으로 펴 예술분야의 일자리를 창출하겠다"고 말했다.

홍원석	홍원석/NNP
제주도	제주도/NNP
문화예술담당은	문화/NNG+예술/NNG+담당/NNG+은/JX
"도심환경을	"/SS+도심/NNG+환경/NNG+을/JKO
개선하는	개선/NNG+하/XSV+는/ETM
공공미술사업을	공공/NNG+미술/NNG+사업/NNG+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
펴	펴/VV+어/EC
예술분야의	예술/NNG+분야/NNG+의/JKG
일자리를	일자리/NNG+를/JKO
창출하겠다"고	창출/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


