# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.214
metadata : {}


# id : NWRW1800000025.214.1.1
[전북]익산시, 청사 신축 대신 리모델링

[전북]익산시,	[/SS+전북/NNP+]/SS+익산시/NNP+,/SP
청사	청사/NNG
신축	신축/NNG
대신	대신/NNG
리모델링	리모델링/NNG


# id : NWRW1800000025.214.2.1
최근 자치단체들의 호화 청사가 논란을 빚고 있는 가운데 전북 익산시가 청사 신축 대신 리모델링을 통해 예산을 절감했다.

최근	최근/MAG
자치단체들의	자치/NNG+단체/NNG+들/XSN+의/JKG
호화	호화/NNG
청사가	청사/NNG+가/JKS
논란을	논란/NNG+을/JKO
빚고	빚/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
전북	전북/NNP
익산시가	익산시/NNP+가/JKS
청사	청사/NNG
신축	신축/NNG
대신	대신/NNG
리모델링을	리모델링/NNG+을/JKO
통해	통하/VV+아/EC
예산을	예산/NNG+을/JKO
절감했다.	절감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.214.2.2
익산시는 2007년부터 용지 매입비와 건축비 등 1100억 원을 들여 새 청사를 지으려고 했으나 낮은 재정자립도 등을 감안해 신축을 유보하고 최근 7억7000만 원을 들여 전면 보수공사를 마쳤다고 28일 밝혔다.

익산시는	익산시/NNP+는/JX
2007년부터	2007/SN+년/NNB+부터/JX
용지	용지/NNG
매입비와	매입비/NNG+와/JC
건축비	건축비/NNG
등	등/NNB
1100억	1100/SN+억/NR
원을	원/NNB+을/JKO
들여	들이/VV+어/EC
새	새/MMA
청사를	청사/NNG+를/JKO
지으려고	짓/VV+으려고/EC
했으나	하/VX+았/EP+으나/EC
낮은	낮/VA+은/ETM
재정자립도	재정/NNG+자립도/NNG
등을	등/NNB+을/JKO
감안해	감안/NNG+하/XSV+아/EC
신축을	신축/NNG+을/JKO
유보하고	유보/NNG+하/XSV+고/EC
최근	최근/MAG
7억7000만	7/SN+억/NR+7000/SN+만/NR
전면	전면/NNG
보수공사를	보수/NNG+공사/NNG+를/JKO
마쳤다고	마치/VV+었/EP+다고/EC
28일	28/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.214.3.1
1970년대 말에 건립된 익산시 청사는 2003년 정밀안전진단에서 붕괴위험이 있는 D급 판정을 받아 그동안 재건립 방안이 거론돼 왔다.

1970년대	1970/SN+년대/NNB
말에	말/NNB+에/JKB
