# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.337
metadata : {}


# id : NWRW1800000030.337.1.1
'나경원 지원' 뜸들이는 박근혜, 왜?

'나경원	'/SS+나경원/NNP
지원'	지원/NNG+'/SS
뜸들이는	뜸/NNG+들이/VV+는/ETM
박근혜,	박근혜/NNP+,/SP
왜?	왜/MAG+?/SF


# id : NWRW1800000030.337.2.1
•주민투표 때 복지 입장 달라 "복지 당론 결정되면 지원"

•주민투표	•/SW+주민/NNG+투표/NNG
때	때/NNG
복지	복지/NNG
입장	입장/NNG
달라	다르/VA+아/EC
"복지	"/SS+복지/NNG
당론	당론/NNG
결정되면	결정/NNG+되/XSV+면/EC
지원"	지원/NNG+"/SS


# id : NWRW1800000030.337.3.1
박근혜 전 한나라당 대표측은 박 전 대표가 나경원 서울시장 후보에 대한 지원 여부에 대해 확답을 하지 않는 가장 큰 이유는 "복지 당론이 결정되지 않았기 때문"이라고 한다.

박근혜	박근혜/NNP
전	전/MMD
한나라당	한나라당/NNP
대표측은	대표/NNG+측/NNB+은/JX
박	박/NNP
대표가	대표/NNG+가/JKS
나경원	나경원/NNP
서울시장	서울시장/NNG
후보에	후보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지원	지원/NNG
여부에	여부/NNG+에/JKB
대해	대하/VV+아/EC
확답을	확답/NNG+을/JKO
하지	하/VV+지/EC
않는	않/VX+는/ETM
가장	가장/MAG
큰	크/VA+ㄴ/ETM
이유는	이유/NNG+는/JX
"복지	"/SS+복지/NNG
당론이	당론/NNG+이/JKS
결정되지	결정/NNG+되/XSV+지/EC
않았기	않/VX+았/EP+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.337.3.2
친박 내부에서조차 "(나 후보 지원 결정에서)실기(失機)하면 돕고도 좋은 소리를 못들을 수 있는데…"라는 얘기가 나오지만 박 전 대표는 요지부동이다.

친박	친/XPN+박/NNP
내부에서조차	내부/NNG+에서/JKB+조차/JX
"(나	"/SS+(/SS+나/NNP
후보	후보/NNG
지원	지원/NNG
결정에서)실기(失機)하면	결정/NNG+에서/JKB+)/SS+실기/NNG+(/SS+失機/NNG+)/SS+하/XSV+면/EC
돕고도	돕/VV+고도/EC
좋은	좋/VA+은/ETM
소리를	소리/NNG+를/JKO
못들을	못/MAG+듣/VV+을/ETM
수	수/NNB
있는데…"라는	있/VA+는데/EC+…/SE+"/SS+이/VCP+라는/ETM
얘기가	얘기/NNG+가/JKS
나오지만	나오/VV+지만/EC
박	박/NNP
전	전/MMD
대표는	대표/NNG+는/JX
요지부동이다.	요지부동/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.337.3.3
박 전 대표는 줄곧 '선(先) 복지 당론 결정, 후(後) 선거 지원'을 내세우고 있다.

박	박/NNP
전	전/MMD
대표는	대표/NNG+는/JX
줄곧	줄곧/MAG
'선(先)	'/SS+선/NNG+(/SS+先/SH+)/SS
복지	복지/NNG
당론	당론/NNG
결정,	결정/NNG+,/SP
후(後)	후/NNG+(/SS+後/SH+)/SS
선거	선거/NNG
지원'을	지원/NNG+'/SS+을/JKO
내세우고	내세우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.337.4.1
복지 확대는 박 전 대표의 핵심 대선 전략이다.

복지	복지/NNG
확대는	확대/NNG+는/JX
박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
핵심	핵심/NNG
대선	대선/NNG
전략이다.	전략/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.337.4.2
박 전 대표는 서울시의 무상급식 주민투표(8월 24일)가 무산된 직후인 지난 8월 31일 서울시장 보선 지원 가능성에 대해 "복지에 대한 당의 방향, 정책이 재정립돼 당론이 정리되는 게 우선"이라고 했다.

박	박/NNP
