# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.146
metadata : {}


# id : NWRW1800000045.146.1.1
“이중환의 ‘택리지’는 구비문학과 스토리텔링의 보고”

“이중환의	“/SS+이중환/NNP+의/JKG
‘택리지’는	‘/SS+택리지/NNP+’/SS+는/JX
구비문학과	구비/NNG+문학/NNG+과/JC
스토리텔링의	스토리텔링/NNG+의/JKG
보고”	보고/NNG+”/SS


# id : NWRW1800000045.146.2.1
성균관대 안대회 교수, 문학적 성격에 주목한 논문 발표

성균관대	성균관대/NNP
안대회	안대회/NNP
교수,	교수/NNG+,/SP
문학적	문학/NNG+적/XSN
성격에	성격/NNG+에/JKB
주목한	주목/NNG+하/XSV+ㄴ/ETM
논문	논문/NNG
발표	발표/NNG


# id : NWRW1800000045.146.3.1
《 “호수는 옛날 어느 부자가 살던 곳이라 했다.

《	《/SS
“호수는	“/SS+호수/NNG+는/JX
옛날	옛날/NNG
어느	어느/MMD
부자가	부자/NNG+가/JKS
살던	살/VV+던/ETM
곳이라	곳/NNG+이/VCP+라/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.146.3.2
하루는 탁발승이 쌀을 구걸하러 왔는데 부자가 똥을 퍼 주었더니 살던 곳이 갑자기 푹 꺼져서 호수가 되었고, 쌓아 둔 곡식은 모두 자그마한 조개로 변했다.

하루는	하루/NNG+는/JX
탁발승이	탁발승/NNG+이/JKS
쌀을	쌀/NNG+을/JKO
구걸하러	구걸/NNG+하/XSV+러/EC
왔는데	오/VV+았/EP+는데/EC
부자가	부자/NNG+가/JKS
똥을	똥/NNG+을/JKO
퍼	푸/VV+어/EC
주었더니	주/VX+었/EP+더니/EC
살던	살/VV+던/ETM
곳이	곳/NNG+이/JKS
갑자기	갑자기/MAG
푹	푹/MAG
꺼져서	꺼지/VV+어서/EC
호수가	호수/NNG+가/JKC
되었고,	되/VV+었/EP+고/EC+,/SP
쌓아	쌓/VV+아/EC
둔	두/VX+ㄴ/ETM
곡식은	곡식/NNG+은/JX
모두	모두/MAG
자그마한	자그마하/VA+ㄴ/ETM
조개로	조개/NNG+로/JKB
변했다.	변하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.146.3.3
흉년이 들면 조개가 많이 나고, 풍년이 들면 적게 났다.

흉년이	흉년/NNG+이/JKS
들면	들/VV+면/EC
조개가	조개/NNG+가/JKS
많이	많이/MAG
나고,	나/VV+고/EC+,/SP
풍년이	풍년/NNG+이/JKS
적게	적/VA+게/EC
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.146.3.4
조개 맛이 달고 향긋해 요깃거리가 되므로 이 지역 사람들은 적곡합(積穀蛤)이라 한다.

조개	조개/NNG
맛이	맛/NNG+이/JKS
달고	달/VV+고/EC
향긋해	향긋하/VA+아/EC
요깃거리가	요깃거리/NNG+가/JKC
되므로	되/VV+므로/EC
이	이/MMD
지역	지역/NNG
사람들은	사람/NNG+들/XSN+은/JX
적곡합(積穀蛤)이라	적곡합/NNG+(/SS+積穀蛤/SH+)/SS+이/VCP+라/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.146.3.5
봄·여름이면 사방 먼 데서부터 남자는 등짐 지고 여자는 머리에 이고서 조개를 주우려고 사람들이 길에 줄지어 있다.

봄·여름이면	봄/NNG+·/SP+여름/NNG+이/VCP+면/EC
사방	사방/NNG
먼	멀/VA+ㄴ/ETM
데서부터	데/NNB+서부터/JKB
남자는	남자/NNG+는/JX
등짐	등짐/NNG
지고	지/VV+고/EC
여자는	여자/NNG+는/JX
머리에	머리/NNG+에/JKB
이고서	이/VV+고서/EC
조개를	조개/NNG+를/JKO
주우려고	줍/VV+으려고/EC
사람들이	사람/NNG+들/XSN+이/JKS
길에	길/NNG+에/JKB
