# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.45
metadata : {}


# id : NWRW1800000037.45.1.1
런민일보 “中 6·25전쟁 참전은 안보 지키기 위한 결정”

런민일보	런민일보/NNP
“中	“/SS+中/SH
6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
참전은	참전/NNG+은/JX
안보	안보/NNG
지키기	지키/VV+기/ETN
위한	위하/VV+ㄴ/ETM
결정”	결정/NNG+”/SS


# id : NWRW1800000037.45.2.1
칼럼서 ‘항미 자위권’ 강조

칼럼서	칼럼/NNG+서/JKB
‘항미	‘/SS+항미/NNG
자위권’	자위/NNG+권/XSN+’/SS
강조	강조/NNG


# id : NWRW1800000037.45.3.1
중국이 6·25전쟁에 참전한 것은 미국에 맞서 자국의 안보이익을 지키기 위한 결정이었다고 밝혔다.

중국이	중국/NNP+이/JKS
6·25전쟁에	6/SN+·/SP+25/SN+전쟁/NNG+에/JKB
참전한	참전/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
미국에	미국/NNP+에/JKB
맞서	맞서/VV+어/EC
자국의	자국/NNG+의/JKG
안보이익을	안보/NNG+이익/NNG+을/JKO
지키기	지키/VV+기/ETN
위한	위하/VV+ㄴ/ETM
결정이었다고	결정/NNG+이/VCP+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.45.3.2
공산당 기관지 런민(人民)일보는 24일 ‘왜 조선전쟁(6·25전쟁)을 잊으면 안 되는가’라는 해외판 칼럼에서 “중국이 출병하지 않았다면 미국이 중국의 동북 변경까지 짓밟았을 것”이라며 이같이 주장했다.

공산당	공산당/NNP
기관지	기관지/NNG
런민(人民)일보는	런민/NNP+(/SS+人民/SH+)/SS+일보/NNG+는/JX
24일	24/SN+일/NNB
‘왜	‘/SS+왜/MAG
조선전쟁(6·25전쟁)을	조선/NNP+전쟁/NNG+(/SS+6/SN+·/SP+25/SN+전쟁/NNG+)/SS+을/JKO
잊으면	잊/VV+으면/EC
안	안/MAG
되는가’라는	되/VV+는가/EF+’/SS+이/VCP+라는/ETM
해외판	해외판/NNG
칼럼에서	칼럼/NNG+에서/JKB
“중국이	“/SS+중국/NNP+이/JKS
출병하지	출병/NNG+하/XSV+지/EC
않았다면	않/VX+았/EP+다면/EC
미국이	미국/NNP+이/JKS
중국의	중국/NNP+의/JKG
동북	동북/NNG
변경까지	변경/NNG+까지/JX
짓밟았을	짓밟/VV+았/EP+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
이같이	이/NP+같이/JKB
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.45.4.1
신문은 정전협정 체결 60년(7월 27일)을 맞아 “참전에 따른 큰 대가를 피할 수 없는 상황이었다”며 “하지만 전쟁을 통해 중국인의 위엄과 패기, 국제적 위세를 과시했고 동북아의 60년 평화를 이끌었다”고 평가했다.

신문은	신문/NNG+은/JX
정전협정	정전/NNG+협정/NNG
체결	체결/NNG
60년(7월	60/SN+년/NNB+(/SS+7/SN+월/NNB
27일)을	27/SN+일/NNB+)/SS+을/JKO
맞아	맞/VV+아/EC
“참전에	“/SS+참전/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
큰	크/VA+ㄴ/ETM
대가를	대가/NNG+를/JKO
피할	피하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상황이었다”며	상황/NNG+이/VCP+었/EP+다/EF+”/SS+며/EC
“하지만	“/SS+하지만/MAJ
전쟁을	전쟁/NNG+을/JKO
통해	통하/VV+아/EC
중국인의	중국인/NNG+의/JKG
위엄과	위엄/NNG+과/JC
패기,	패기/NNG+,/SP
국제적	국제/NNG+적/XSN
