# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.63
metadata : {}


# id : NWRW1800000048.63.1.1
‘미친 전셋값’ 뒤엔 ‘부실한 공공임대정책’ 있다

‘미친	‘/SS+미치/VV+ㄴ/ETM
전셋값’	전셋값/NNG+’/SS
뒤엔	뒤/NNG+에/JKB+ㄴ/JX
‘부실한	‘/SS+부실/NNG+하/XSA+ㄴ/ETM
공공임대정책’	공공/NNG+임대/NNG+정책/NNG+’/SS
있다	있/VA+다/EF


# id : NWRW1800000048.63.2.1
[월요 리포트] 출구 없는 전월세난

[월요	[/SS+월요/NNG
리포트]	리포트/NNG+]/SS
출구	출구/NNG
없는	없/VA+는/ETM
전월세난	전월세난/NNG


# id : NWRW1800000048.63.3.1
“올해 12만가구 공급” 밝혔지만

“올해	“/SS+올해/NNG
12만가구	12/SN+만/NR+가구/NNG
공급”	공급/NNG+”/SS
밝혔지만	밝히/VV+었/EP+지만/EC


# id : NWRW1800000048.63.4.1
매입·전세 임대가 5만가구 넘어

매입·전세	매입/NNG+·/SP+전세/NNG
임대가	임대/NNG+가/JKS
5만가구	5/SN+만/NR+가구/NNG
넘어	넘/VV+어/EF


# id : NWRW1800000048.63.5.1
현 정부 들어 건설 임대는 크게 감소

현	현/MMD
정부	정부/NNG
들어	들/VV+어/EC
건설	건설/NNG
임대는	임대/NNG+는/JX
크게	크/VA+게/EC
감소	감소/NNG


# id : NWRW1800000048.63.6.1
2013년엔 주택 공급 기준도 바꿔

2013년엔	2013/SN+년/NNB+에/JKB+ㄴ/JX
주택	주택/NNG
공급	공급/NNG
기준도	기준/NNG+도/JX
바꿔	바꾸/VV+어/EF


# id : NWRW1800000048.63.7.1
전 정부 물량까지 포함 ‘눈속임’도

전	전/MMD
정부	정부/NNG
물량까지	물량/NNG+까지/JX
포함	포함/NNG
‘눈속임’도	‘/SS+눈속임/NNG+’/SS+도/JX


# id : NWRW1800000048.63.8.1
공공임대주택 가운데 국민·영구·10년 공공임대 등 건설임대주택이 최근 몇해 동안 큰 폭으로 줄고, 기존 민간주택을 매입하거나 장기간 빌려 공공임대로 활용하는 ‘매입·전세임대주택’이 크게 늘어난 것으로 나타났다.

공공임대주택	공공/NNG+임대/NNG+주택/NNG
가운데	가운데/NNG
국민·영구·10년	국민/NNG+·/SP+영구/NNG+·/SP+10/SN+년/NNB
공공임대	공공/NNG+임대/NNG
등	등/NNB
건설임대주택이	건설/NNG+임대/NNG+주택/NNG+이/JKS
최근	최근/NNG
몇해	몇/NR+해/NNG
동안	동안/NNG
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
줄고,	줄/VV+고/EC+,/SP
기존	기존/NNG
민간주택을	민간/NNG+주택/NNG+을/JKO
매입하거나	매입/NNG+하/XSV+거나/EC
장기간	장기간/NNG
빌려	빌리/VV+어/EC
공공임대로	공공/NNG+임대/NNG+로/JKB
활용하는	활용/NNG+하/XSV+는/ETM
‘매입·전세임대주택’이	‘/SS+매입/NNG+·/SP+전세/NNG+임대/NNG+주택/NNG+’/SS+이/JKS
크게	크/VA+게/EC
늘어난	늘어나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.63.8.2
이에 따라 공공임대주택 전체 공급 물량이 최근 들어 다시 늘어나는 것처럼 보이지만 주거안정 지원 효과가 작아 전월세난의 배경이 되고 있다는 지적이 나온다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
공공임대주택	공공/NNG+임대/NNG+주택/NNG
전체	전체/NNG
공급	공급/NNG
물량이	물량/NNG+이/JKS
최근	최근/NNG
들어	들/VV+어/EC
다시	다시/MAG
늘어나는	늘어나/VV+는/ETM
것처럼	것/NNB+처럼/JKB
보이지만	보이/VV+지만/EC
주거안정	주거/NNG+안정/NNG
지원	지원/NNG
효과가	효과/NNG+가/JKS
작아	작/VA+아/EC
전월세난의	전월세난/NNG+의/JKG
배경이	배경/NNG+이/JKC
되고	되/VV+고/EC
있다는	있/VX+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.63.9.1
