# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.420
metadata : {}


# id : NWRW1800000021.420.1.1
■ ‘바람의 아들’ 이종범 4할 문턱서 눈물… 美 MLB 커루-브렛-그윈도 아슬아슬 대기록 놓쳐

■	■/SW
‘바람의	‘/SS+바람/NNG+의/JKG
아들’	아들/NNG+’/SS
이종범	이종범/NNP
4할	4/SN+할/NNB
문턱서	문턱/NNG+서/JKB
눈물…	눈물/NNG+…/SE
美	美/SH
MLB	MLB/SL
커루-브렛-그윈도	커루/NNP+-/SO+브렛/NNP+-/SO+그윈/NNP+도/JX
아슬아슬	아슬아슬/MAG
대기록	대/XPN+기록/NNG
놓쳐	놓치/VV+어/EF


# id : NWRW1800000021.420.2.1
1941년 테드 윌리엄스 이후 메이저리그의 수많은 타자가 4할 타율에 도전했지만 번번이 실패했다.

1941년	1941/SN+년/NNB
테드	테드/NNP
윌리엄스	윌리엄스/NNP
이후	이후/NNG
메이저리그의	메이저리그/NNG+의/JKG
수많은	수많/VA+은/ETM
타자가	타자/NNG+가/JKS
4할	4/SN+할/NNB
타율에	타율/NNG+에/JKB
도전했지만	도전/NNG+하/XSV+았/EP+지만/EC
번번이	번번이/MAG
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.420.2.2
통산 7차례나 타격왕을 차지했던 로드 커루(미네소타).

통산	통산/NNG
7차례나	7/SN+차례/NNG+나/JX
타격왕을	타격왕/NNG+을/JKO
차지했던	차지/NNG+하/XSV+았/EP+던/ETM
로드	로드/NNP
커루(미네소타).	커루/NNP+(/SS+미네소타/NNP+)/SS+./SF


# id : NWRW1800000021.420.2.3
그는 1977년 6월 26일부터 7월 10일까지 4할을 유지하다 0.388로 시즌을 마쳤다.

그는	그/NP+는/JX
1977년	1977/SN+년/NNB
6월	6/SN+월/NNB
26일부터	26/SN+일/NNB+부터/JX
7월	7/SN+월/NNB
10일까지	10/SN+일/NNB+까지/JX
4할을	4/SN+할/NNB+을/JKO
유지하다	유지/NNG+하/XSV+다/EC
0.388로	0/SN+./SP+388/SN+로/JKB
시즌을	시즌/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.420.2.4
3년 뒤 조지 브렛(캔자스시티)은 뒤늦게 불방망이를 뽐내며 8월 17일 4할을 넘겨 기대를 모았지만 최종 타율은 0.390이었다.

3년	3/SN+년/NNB
뒤	뒤/NNG
조지	조지/NNP
브렛(캔자스시티)은	브렛/NNP+(/SS+캔자스시티/NNP+)/SS+은/JX
뒤늦게	뒤늦/VA+게/EC
불방망이를	불방망이/NNG+를/JKO
뽐내며	뽐내/VV+며/EC
8월	8/SN+월/NNB
17일	17/SN+일/NNB
4할을	4/SN+할/NNB+을/JKO
넘겨	넘기/VV+어/EC
기대를	기대/NNG+를/JKO
모았지만	모으/VV+았/EP+지만/EC
최종	최종/NNG
타율은	타율/NNG+은/JX
0.390이었다.	0/SN+./SP+390/SN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.420.3.1
한동안 잠잠했던 4할 타자에 대한 관심은 1994년 다시 뜨거워졌다.

한동안	한/XPN+동안/NNG
잠잠했던	잠잠하/VA+았/EP+던/ETM
4할	4/SN+할/NNB
타자에	타자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심은	관심/NNG+은/JX
1994년	1994/SN+년/NNB
다시	다시/MAG
뜨거워졌다.	뜨거워지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.420.3.2
토니 그윈(샌디에이고)이 불을 댕겼다.

토니	토니/NNP
그윈(샌디에이고)이	그윈/NNP+(/SS+샌디에이고/NNP+)/SS+이/JKS
불을	불/NNG+을/JKO
댕겼다.	댕기/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.420.3.3
