# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.191
metadata : {}


# id : NWRW1800000038.191.1.1
면접관이 상사·동료 딸 합격시키고 성적 조작까지 하는 지방 공기업들

면접관이	면접관/NNG+이/JKS
상사·동료	상사/NNG+·/SP+동료/NNG
딸	딸/NNG
합격시키고	합격/NNG+시키/XSV+고/EC
성적	성적/NNG
조작까지	조작/NNG+까지/JX
하는	하/VV+는/ETM
지방	지방/NNG
공기업들	공기업/NNG+들/XSN


# id : NWRW1800000038.191.2.1
이달 출범하는 대구과학관, 공채 합격자 중 절반 가량이 공무원·기자 가족으로 밝혀져

이달	이달/NNG
출범하는	출범/NNG+하/XSV+는/ETM
대구과학관,	대구과학관/NNP+,/SP
공채	공채/NNG
합격자	합격자/NNG
중	중/NNB
절반	절반/NNG
가량이	가량/XSN+이/JKS
공무원·기자	공무원/NNG+·/SP+기자/NNG
가족으로	가족/NNG+으로/JKB
밝혀져	밝혀지/VV+어/EF


# id : NWRW1800000038.191.3.1
정부나 지방자치단체가 출연·출자한 산하 기관들에서 잇따라 비리가 드러나고 있다.

정부나	정부/NNG+나/JC
지방자치단체가	지방/NNG+자치/NNG+단체/NNG+가/JKS
출연·출자한	출연/NNG+·/SP+출자/NNG+하/XSV+ㄴ/ETM
산하	산하/NNG
기관들에서	기관/NNG+들/XSN+에서/JKB
잇따라	잇따르/VV+아/EC
비리가	비리/NNG+가/JKS
드러나고	드러나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.191.3.2
대구·경북에선 최근 1년 사이 5개 기관이 경찰 수사를 받아 무더기로 사법 처리됐다.

대구·경북에선	대구/NNP+·/SP+경북/NNP+에서/JKB+ㄴ/JX
최근	최근/NNG
1년	1/SN+년/NNB
사이	사이/NNG
5개	5/SN+개/NNB
기관이	기관/NNG+이/JKS
경찰	경찰/NNG
수사를	수사/NNG+를/JKO
받아	받/VV+아/EC
무더기로	무더기/NNG+로/JKB
사법	사법/NNG
처리됐다.	처리/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.191.4.1
이달 중 개관 예정인 대구 달성군 '국립대구과학관'은 최근 직원 채용 과정에서 공채 면접 합격자 24명 중 절반가량인 11명이 현직 공무원이거나 공무원 자녀, 기자 부인 등이었던 사실이 드러났다.

이달	이달/NNG
중	중/NNB
개관	개관/NNG
예정인	예정/NNG+이/VCP+ㄴ/ETM
대구	대구/NNP
달성군	달성군/NNP
'국립대구과학관'은	'/SS+국립대구과학관/NNP+'/SS+은/JX
최근	최근/NNG
직원	직원/NNG
채용	채용/NNG
과정에서	과정/NNG+에서/JKB
공채	공채/NNG
면접	면접/NNG
합격자	합격자/NNG
24명	24/SN+명/NNB
절반가량인	절반/NNG+가량/XSN+이/VCP+ㄴ/ETM
11명이	11/SN+명/NNB+이/JKS
현직	현직/NNG
공무원이거나	공무원/NNG+이/VCP+거나/EC
공무원	공무원/NNG
자녀,	자녀/NNG+,/SP
기자	기자/NNG
부인	부인/NNG
등이었던	등/NNB+이/VCP+었/EP+던/ETM
사실이	사실/NNG+이/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.191.4.2
시민단체들은 "현대판 음서제도"라며 강하게 반발하고 있다.

시민단체들은	시민/NNG+단체/NNG+들/XSN+은/JX
"현대판	"/SS+현대판/NNG
음서제도"라며	음서/NNG+제도/NNG+"/SS+이/VCP+라며/EC
강하게	강하/VA+게/EC
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.191.4.3
경찰은 4일 대구과학관에 대한 수사에 착수했으며, 대구시는 특별감사를 벌이기로 했다.

경찰은	경찰/NNG+은/JX
4일	4/SN+일/NNB
대구과학관에	대구과학관/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
수사에	수사/NNG+에/JKB
착수했으며,	착수/NNG+하/XSV+았/EP+으며/EC+,/SP
대구시는	대구시/NNP+는/JX
특별감사를	특별/NNG+감사/NNG+를/JKO
벌이기로	벌이/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.191.5.1
경찰에 따르면 대구과학관에 운영비(매년 100억여원)를 지원하고, 감사를 담당하는 주무부서인 대구시 정책관(서기관)의 딸(24)과 같은 실 소속인 서기관의 딸(25)이 나란히 합격했다.

경찰에	경찰/NNG+에/JKB
따르면	따르/VV+면/EC
대구과학관에	대구과학관/NNP+에/JKB
운영비(매년	운영비/NNG+(/SS+매년/MAG
100억여원)를	100/SN+억/NR+여/XSN+원/NNB+)/SS+를/JKO
지원하고,	지원/NNG+하/XSV+고/EC+,/SP
감사를	감사/NNG+를/JKO
담당하는	담당/NNG+하/XSV+는/ETM
주무부서인	주무/NNG+부서/NNG+이/VCP+ㄴ/ETM
대구시	대구시/NNP
정책관(서기관)의	정책관/NNG+(/SS+서기관/NNG+)/SS+의/JKG
딸(24)과	딸/NNG+(/SS+24/SN+)/SS+과/JKB
같은	같/VA+은/ETM
실	실/NNG
소속인	소속/NNG+이/VCP+ㄴ/ETM
서기관의	서기관/NNG+의/JKG
딸(25)이	딸/NNG+(/SS+25/SN+)/SS+이/JKS
나란히	나란히/MAG
합격했다.	합격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.191.5.2
면접을 맡은 사람은 이 공무원들의 부하직원인 사무관이었다.

면접을	면접/NNG+을/JKO
맡은	맡/VV+은/ETM
사람은	사람/NNG+은/JX
이	이/MMD
공무원들의	공무원/NNG+들/XSN+의/JKG
부하직원인	부하/NNG+직원/NNG+이/VCP+ㄴ/ETM
사무관이었다.	사무관/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.191.6.1
또 대구시 구청 고위직의 아들(29)과 영주시 사무관의 아들(32)도 합격해 고위 공무원 자녀만 4명이었다.

또	또/MAG
대구시	대구시/NNP
구청	구청/NNG
고위직의	고위직/NNG+의/JKG
아들(29)과	아들/NNG+(/SS+29/SN+)/SS+과/JC
영주시	영주시/NNP
사무관의	사무관/NNG+의/JKG
아들(32)도	아들/NNG+(/SS+32/SN+)/SS+도/JX
합격해	합격/NNG+하/XSV+아/EC
고위	고위/NNG
공무원	공무원/NNG
자녀만	자녀/NNG+만/JX
4명이었다.	4/SN+명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.191.6.2
모집 분야는 전시운영·교육연구·운영지원 등이었지만, 합격자 전공은 법학·불문학·조경학 등이었다.

모집	모집/NNG
분야는	분야/NNG+는/JX
전시운영·교육연구·운영지원	전시/NNG+운영/NNG+·/SP+교육/NNG+연구/NNG+·/SP+운영/NNG+지원/NNG
등이었지만,	등/NNB+이/VCP+었/EP+지만/EC+,/SP
합격자	합격자/NNG
전공은	전공/NNG+은/JX
법학·불문학·조경학	법학/NNG+·/SP+불문학/NNG+·/SP+조경학/NNG
등이었다.	등/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.191.7.1
과학관 설립 준비 등 관련 업무를 봤던 현직 공무원 5명도 채용됐다.

과학관	과학관/NNG
설립	설립/NNG
준비	준비/NNG
등	등/NNB
관련	관련/NNG
업무를	업무/NNG+를/JKO
봤던	보/VV+았/EP+던/ETM
현직	현직/NNG
공무원	공무원/NNG
5명도	5/SN+명/NNB+도/JX
채용됐다.	채용/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.191.7.2
이들 일부는 최종 채용이 결정되기도 전에 명예퇴직을 신청해 '합격이 예정됐던 것 아니냐'는 말이 나오고 있다.

이들	이/NP+들/XSN
일부는	일부/NNG+는/JX
최종	최종/NNG
채용이	채용/NNG+이/JKS
결정되기도	결정/NNG+되/XSV+기/ETN+도/JX
전에	전/NNG+에/JKB
명예퇴직을	명예퇴직/NNG+을/JKO
신청해	신청/NNG+하/XSV+아/EC
'합격이	'/SS+합격/NNG+이/JKS
예정됐던	예정/NNG+되/XSV+었/EP+던/ETM
것	것/NNB
아니냐'는	아니/VCN+냐/EF+'/SS+는/ETM
말이	말/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.191.7.3
지역 일간지 기자의 아내 2명도 합격했다.

지역	지역/NNG
일간지	일간지/NNG
기자의	기자/NNG+의/JKG
아내	아내/NNG
2명도	2/SN+명/NNB+도/JX
합격했다.	합격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.191.7.4
이들은 신체검사 등에서 결격사유가 없는 한 채용된다.

이들은	이/NP+들/XSN+은/JX
신체검사	신체검사/NNG
등에서	등/NNB+에서/JKB
결격사유가	결격/NNG+사유/NNG+가/JKS
없는	없/VA+는/ETM
한	한/NNG
채용된다.	채용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.191.7.5
연봉은 직급별로 4000만~7000만원 수준이어서 공무원보다 오히려 낫다는 말이 나온다.

연봉은	연봉/NNG+은/JX
직급별로	직급/NNG+별/XSN+로/JKB
4000만~7000만원	4000/SN+만/NR+~/SO+7000/SN+만/NR+원/NNB
수준이어서	수준/NNG+이/VCP+어서/EC
공무원보다	공무원/NNG+보다/JKB
오히려	오히려/MAG
낫다는	낫/VA+다는/ETM
말이	말/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.191.8.1
앞서 대구·경북에선 한국패션산업연구원, 대구테크노파크·경북테크노파크, 대구경북연구원 등 정부·지자체 출연기관들이 잇따라 경찰 수사를 받아 10여명이 구속되거나 불구속 입건됐다.

앞서	앞서/MAG
대구·경북에선	대구/NNP+·/SP+경북/NNP+에서/JKB+ㄴ/JX
한국패션산업연구원,	한국패션산업연구원/NNP+,/SP
대구테크노파크·경북테크노파크,	대구테크노파크/NNP+·/SP+경북테크노파크/NNP+,/SP
대구경북연구원	대구경북연구원/NNP
등	등/NNB
