# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.189
metadata : {}


# id : NWRW1800000038.189.1.1
학생들이 낸 등록금 1860억원… 39개大, 사학연금에 부당 지원

학생들이	학생/NNG+들/XSN+이/JKS
낸	내/VV+ㄴ/ETM
등록금	등록금/NNG
1860억원…	1860/SN+억/NR+원/NNB+…/SE
39개大,	39/SN+개/NNB+大/SH+,/SP
사학연금에	사학/NNG+연금/NNG+에/JKB
부당	부당/NNG
지원	지원/NNG


# id : NWRW1800000038.189.2.1
일부 사립대가 학생 등록금으로 교직원의 사학연금 개인부담금을 지원해 온 것으로 교육부 감사 결과 확인됐다.

일부	일부/NNG
사립대가	사립대/NNG+가/JKS
학생	학생/NNG
등록금으로	등록금/NNG+으로/JKB
교직원의	교직원/NNG+의/JKG
사학연금	사학/NNG+연금/NNG
개인부담금을	개인/NNG+부담금/NNG+을/JKO
지원해	지원/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
교육부	교육부/NNG
감사	감사/NNG
결과	결과/NNG
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.189.2.2
교육부는 "지난해 11월부터 4개월 동안 전국 39개 사립대를 대상으로 감사를 벌인 결과, 39개 사립대가 교직원의 사학연금 개인부담금을 교비회계 등에서 부당 지원한 것으로 나타났다"고 밝혔다.

교육부는	교육부/NNG+는/JX
"지난해	"/SS+지난해/NNG
11월부터	11/SN+월/NNB+부터/JX
4개월	4/SN+개월/NNB
동안	동안/NNG
전국	전국/NNG
39개	39/SN+개/NNB
사립대를	사립대/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
감사를	감사/NNG+를/JKO
벌인	벌이/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
사립대가	사립대/NNG+가/JKS
교직원의	교직원/NNG+의/JKG
사학연금	사학/NNG+연금/NNG
개인부담금을	개인/NNG+부담금/NNG+을/JKO
교비회계	교비/NNG+회계/NNG
등에서	등/NNB+에서/JKB
부당	부당/NNG
지원한	지원/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다"고	나타나/VV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


