# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.229
metadata : {}


# id : NWRW1800000036.229.1.1
“30년만에 형님 장례, 억울한 희생 없길”

“30년만에	“/SS+30/SN+년/NNB+만/NNB+에/JKB
형님	형/NNG+님/XSN
장례,	장례/NNG+,/SP
억울한	억울/NNG+하/XSA+ㄴ/ETM
희생	희생/NNG
없길”	없/VA+기/ETN+ㄹ/JKO+”/SS


# id : NWRW1800000036.229.2.1
[한겨레] 문덕수씨, 82년 국가폭력에 숨진 형님 유해 봉안

[한겨레]	[/SS+한겨레/NNP+]/SS
문덕수씨,	문덕수/NNP+씨/NNB+,/SP
82년	82/SN+년/NNB
국가폭력에	국가/NNG+폭력/NNG+에/JKB
숨진	숨지/VV+ㄴ/ETM
형님	형/NNG+님/XSN
유해	유해/NNG
봉안	봉안/NNG


# id : NWRW1800000036.229.3.1
“경찰이 국민의 인권을 존중하도록 교육을 강화해야 합니다.”

“경찰이	“/SS+경찰/NNG+이/JKS
국민의	국민/NNG+의/JKG
인권을	인권/NNG+을/JKO
존중하도록	존중/NNG+하/XSV+도록/EC
교육을	교육/NNG+을/JKO
강화해야	강화/NNG+하/XSV+아야/EC
합니다.”	하/VX+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000036.229.4.1
국가폭력에 희생당해 숨진 노동자 문영수씨의 장례를 30년 만에 치른 동생 문덕수(56·강원 춘천시·사진)씨는 15일 “더는 형님처럼 억울하고 분한 희생이 없어야 한다”며 목이 잠겼다.

국가폭력에	국가/NNG+폭력/NNG+에/JKB
희생당해	희생/NNG+당하/XSV+아/EC
숨진	숨지/VV+ㄴ/ETM
노동자	노동자/NNG
문영수씨의	문영수/NNP+씨/NNB+의/JKG
장례를	장례/NNG+를/JKO
30년	30/SN+년/NNB
만에	만/NNB+에/JKB
치른	치르/VV+ㄴ/ETM
동생	동생/NNG
문덕수(56·강원	문덕수/NNP+(/SS+56/SN+·/SP+강원/NNP
춘천시·사진)씨는	춘천시/NNP+·/SP+사진/NNG+)/SS+씨/NNB+는/JX
15일	15/SN+일/NNB
“더는	“/SS+더/MAG+는/JX
형님처럼	형/NNG+님/XSN+처럼/JKB
억울하고	억울/NNG+하/XSA+고/EC
분한	분/NNG+하/XSA+ㄴ/ETM
희생이	희생/NNG+이/JKS
없어야	없/VA+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
목이	목/NNG+이/JKS
잠겼다.	잠기/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.229.5.1
그는 이날 오전 광주 학동 전남대 의대에서 경찰 폭력으로 숨진 뒤 주검까지 훼손당한 채 버려졌던 형의 영결식을 열었다.

그는	그/NP+는/JX
이날	이날/NNG
오전	오전/NNG
광주	광주/NNP
학동	학동/NNP
전남대	전남대/NNP
의대에서	의대/NNG+에서/JKB
경찰	경찰/NNG
폭력으로	폭력/NNG+으로/JKB
숨진	숨지/VV+ㄴ/ETM
뒤	뒤/NNG
주검까지	주검/NNG+까지/JX
훼손당한	훼손/NNG+당하/XSV+ㄴ/ETM
채	채/NNB
버려졌던	버려지/VV+었/EP+던/ETM
형의	형/NNG+의/JKG
영결식을	영결식/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.229.5.2
1982년 당시 형이 숨진 광주 서부경찰서에서 노제를 열어 안병갑 서장과 이민철 전남대 의대 학장의 사과 인사를 받은 뒤, 춘천의 가족묘지에 유해를 봉안했다.

1982년	1982/SN+년/NNB
당시	당시/NNG
형이	형/NNG+이/JKS
숨진	숨지/VV+ㄴ/ETM
광주	광주/NNP
서부경찰서에서	서부/NNG+경찰서/NNG+에서/JKB
노제를	노제/NNG+를/JKO
열어	열/VV+어/EC
안병갑	안병갑/NNP
서장과	서장/NNG+과/JC
이민철	이민철/NNP
전남대	전남대/NNP
의대	의대/NNG
학장의	학장/NNG+의/JKG
사과	사과/NNG
인사를	인사/NNG+를/JKO
받은	받/VV+은/ETM
뒤,	뒤/NNG+,/SP
춘천의	춘천/NNP+의/JKG
가족묘지에	가족/NNG+묘지/NNG+에/JKB
유해를	유해/NNG+를/JKO
봉안했다.	봉안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.229.6.1
“그때 이 사건과 관련된 공무원 수십명 가운데 한 명이라도 양심적인 이가 있었다면 하는 아쉬움이 남습니다.

“그때	“/SS+그때/NNG
이	이/MMD
사건과	사건/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
공무원	공무원/NNG
수십명	수십/NR+명/NNB
가운데	가운데/NNG
한	한/MMN
명이라도	명/NNB+이라도/JX
양심적인	양심/NNG+적/XSN+이/VCP+ㄴ/ETM
이가	이/NNB+가/JKS
있었다면	있/VA+었/EP+다면/EC
하는	하/VV+는/ETM
아쉬움이	아쉬움/NNG+이/JKS
남습니다.	남/VV+습니다/EF+./SF


# id : NWRW1800000036.229.6.2
존귀한 생명을 빼앗고도 25년 동안 하나같이 감추려고만 했던 것 아닙니까?

존귀한	존귀/NNG+하/XSA+ㄴ/ETM
생명을	생명/NNG+을/JKO
빼앗고도	빼앗/VV+고/EC+도/JX
25년	25/SN+년/NNB
동안	동안/NNG
하나같이	하나같이/MAG
감추려고만	감추/VV+려고/EC+만/JX
했던	하/VX+았/EP+던/ETM
것	것/NNB
아닙니까?	아니/VCN+ㅂ니까/EF+?/SF


# id : NWRW1800000036.229.6.3
이 때문에 어머니마저 아들을 기다리다 지쳐 이듬해 돌아가시고 온 가족이 이루 말할 수 없는 아픔을 겪었습니다.”

이	이/MMD
때문에	때문/NNB+에/JKB
어머니마저	어머니/NNG+마저/JX
아들을	아들/NNG+을/JKO
기다리다	기다리/VV+다/EC
지쳐	지치/VV+어/EC
이듬해	이듬해/NNG
돌아가시고	돌아가/VV+시/EP+고/EC
온	온/MMN
가족이	가족/NNG+이/JKS
이루	이루/MAG
말할	말/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
아픔을	아픔/NNG+을/JKO
겪었습니다.”	겪/VV+었/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000036.229.7.1
문씨는 “모든 공무원들이 국민의 인권을 존중해야 한다”며 “특히 경찰은 반복되는 인권침해를 막기 위해 인권과 윤리 교육을 더 잘 받아야 한다”고 말했다.

문씨는	문/NNP+씨/NNB+는/JX
“모든	“/SS+모든/MMN
공무원들이	공무원/NNG+들/XSN+이/JKS
국민의	국민/NNG+의/JKG
인권을	인권/NNG+을/JKO
존중해야	존중/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“특히	“/SS+특히/MAG
경찰은	경찰/NNG+은/JX
반복되는	반복/NNG+되/XSV+는/ETM
인권침해를	인권/NNG+침해/NNG+를/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
인권과	인권/NNG+과/JC
윤리	윤리/NNG
교육을	교육/NNG+을/JKO
더	더/MAG
잘	잘/MAG
받아야	받/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.229.8.1
고 문영수씨는 28살이던 82년 8월 서울의 버스회사에서 일하다 부당해고된 뒤 직장을 알아보려고 광주로 내려갔다.

고	고/MMA
문영수씨는	문영수/NNP+씨/NNB+는/JX
28살이던	28/SN+살/NNB+이/VCP+던/ETM
82년	82/SN+년/NNB
8월	8/SN+월/NNB
서울의	서울/NNP+의/JKG
버스회사에서	버스/NNG+회사/NNG+에서/JKB
일하다	일/NNG+하/XSV+다/EC
부당해고된	부당/NNG+해고/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
직장을	직장/NNG+을/JKO
알아보려고	알아보/VV+려고/EC
광주로	광주/NNP+로/JKB
내려갔다.	내려가/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.229.8.2
사소한 폭행사건에 휘말려 서부경찰서에서 조사를 받던 중 폭행으로 숨진 그를 경찰은 행려병자로 둔갑시키고, 주검조차 전남대 의대에 기증했다.

사소한	사소하/VA+ㄴ/ETM
폭행사건에	폭행/NNG+사건/NNG+에/JKB
휘말려	휘말리/VV+어/EC
서부경찰서에서	서부/NNG+경찰서/NNG+에서/JKB
조사를	조사/NNG+를/JKO
받던	받/VV+던/ETM
중	중/NNB
폭행으로	폭행/NNG+으로/JKB
숨진	숨지/VV+ㄴ/ETM
그를	그/NP+를/JKO
경찰은	경찰/NNG+은/JX
행려병자로	행려병자/NNG+로/JKB
둔갑시키고,	둔갑/NNG+시키/XSV+고/EC+,/SP
주검조차	주검/NNG+조차/JX
전남대	전남대/NNP
의대에	의대/NNG+에/JKB
기증했다.	기증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.229.8.3
83년 해부학 실습용으로 쓰인 주검이 화장돼 전남대 의대에 안치된 사실은 87년에야 드러났다.

83년	83/SN+년/NNB
해부학	해부학/NNG
실습용으로	실습/NNG+용/XSN+으로/JKB
쓰인	쓰이/VV+ㄴ/ETM
주검이	주검/NNG+이/JKS
화장돼	화장/NNG+되/XSV+어/EC
전남대	전남대/NNP
의대에	의대/NNG+에/JKB
안치된	안치/NNG+되/XSV+ㄴ/ETM
사실은	사실/NNG+은/JX
87년에야	87/SN+년/NNB+에/JKB+야/JX
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.229.8.4
(<한겨레> 2012년 4월4일치 참조)

(<한겨레>	(/SS+</SS+한겨레/NNP+>/SS
2012년	2012/SN+년/NNB
4월4일치	4/SN+월/NNB+4/SN+일/NNB+치/NNB
참조)	참조/NNG+)/SS


# id : NWRW1800000036.229.9.1
이후 형의 억울함을 풀고자 애써온 덕수씨는 2009년 진실·화해를 위한 과거사정리위원회에 인권침해 구제를 진정한 지 3년 만에 국가를 상대로 손해배상 청구소송을 제기할 수 있었다.

이후	이후/NNG
형의	형/NNG+의/JKG
억울함을	억울/NNG+하/XSA+ㅁ/ETN+을/JKO
풀고자	풀/VV+고자/EC
애써온	애쓰/VV+어/EC+오/VX+ㄴ/ETM
덕수씨는	덕수/NNP+씨/NNB+는/JX
2009년	2009/SN+년/NNB
진실·화해를	진실/NNG+·/SP+화해/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
과거사정리위원회에	과거사/NNG+정리/NNG+위원회/NNG+에/JKB
