# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.135
metadata : {}


# id : NWRW1800000056.135.1.1
‘내가 쓸 물건은 내가 만든다’…무크지 ‘메이커스’ 창간

‘내가	‘/SS+내/NP+가/JKS
쓸	쓰/VV+ㄹ/ETM
물건은	물건/NNG+은/JX
내가	내/NP+가/JKS
만든다’…무크지	만들/VV+ㄴ다/EF+’/SS+…/SE+무크지/NNG
‘메이커스’	‘/SS+메이커스/NNP+’/SS
창간	창간/NNG


# id : NWRW1800000056.135.2.1
[한겨레] 동아시아 출판사, 일본 ‘어른의 과학’ 한국어판 창간

[한겨레]	[/SS+한겨레/NNP+]/SS
동아시아	동아시아/NNP
출판사,	출판사/NNG+,/SP
일본	일본/NNP
‘어른의	‘/SS+어른/NNG+의/JKG
과학’	과학/NNG+’/SS
한국어판	한국어판/NNG
창간	창간/NNG


# id : NWRW1800000056.135.3.1
창간호엔 천체투영관 키트 동봉…계절마다 발매 예정

창간호엔	창간호/NNG+에/JKB+ㄴ/JX
천체투영관	천체/NNG+투영관/NNG
키트	키트/NNG
동봉…계절마다	동봉/NNG+…/SE+계절/NNG+마다/JX
발매	발매/NNG
예정	예정/NNG


# id : NWRW1800000056.135.4.1
공장에서 물건을 대량생산하는 시대가 오래됐지만, 자신의 손으로 필요한 물건을 직접 만드는 ‘메이커’들은 꾸준히 존재해왔다.

공장에서	공장/NNG+에서/JKB
물건을	물건/NNG+을/JKO
대량생산하는	대량/NNG+생산/NNG+하/XSV+는/ETM
시대가	시대/NNG+가/JKS
오래됐지만,	오래/MAG+되/XSA+었/EP+지만/EC+,/SP
자신의	자신/NNG+의/JKG
손으로	손/NNG+으로/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
직접	직접/MAG
만드는	만들/VV+는/ETM
‘메이커’들은	‘/SS+메이커/NNG+’/SS+들/XSN+은/JX
꾸준히	꾸준히/MAG
존재해왔다.	존재/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.135.4.2
최근 최근 3D 프린터, 레이저 커터 등 신기술이 등장하면서 ‘메이커 운동’은 더욱 발전해 제조업을 혁신할 흐름으로 인식되고 있다.

최근	최근/MAG
3D	3/SN+D/SL
프린터,	프린터/NNG+,/SP
레이저	레이저/NNG
커터	커터/NNG
등	등/NNB
신기술이	신/XPN+기술/NNG+이/JKS
등장하면서	등장/NNG+하/XSV+면서/EC
‘메이커	‘/SS+메이커/NNG
운동’은	운동/NNG+’/SS+은/JX
더욱	더욱/MAG
발전해	발전/NNG+하/XSV+아/EC
제조업을	제조업/NNG+을/JKO
혁신할	혁신/NNG+하/XSV+ㄹ/ETM
흐름으로	흐름/NNG+으로/JKB
인식되고	인식/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.135.4.3
미국 샌프란시스코에선 2006년부터 메이커 페어가 시작됐고, 서울 메이커페어도 올해 10월로 6회를 맞는다.

미국	미국/NNP
샌프란시스코에선	샌프란시스코/NNP+에서/JKB+ㄴ/JX
2006년부터	2006/SN+년/NNB+부터/JX
메이커	메이커/NNG
페어가	페어/NNG+가/JKS
시작됐고,	시작/NNG+되/XSV+었/EP+고/EC+,/SP
서울	서울/NNP
메이커페어도	메이커/NNG+페어/NNG+도/JX
올해	올해/NNG
10월로	10/SN+월/NNB+로/JKB
6회를	6/SN+회/NNB+를/JKO
맞는다.	맞/VV+는다/EF+./SF


# id : NWRW1800000056.135.5.1
이런 메이커 운동의 정신을 표방하는 잡지가 국내에도 출간됐다.

이런	이런/MMD
메이커	메이커/NNG
운동의	운동/NNG+의/JKG
정신을	정신/NNG+을/JKO
표방하는	표방/NNG+하/XSV+는/ETM
잡지가	잡지/NNG+가/JKS
국내에도	국내/NNG+에/JKB+도/JX
출간됐다.	출간/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.135.5.2
