# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.404
metadata : {}


# id : NWRW1800000046.404.1.1
朴대통령, YS 영결식 참석 불투명

朴대통령,	朴/SH+대통령/NNG+,/SP
YS	YS/SL
영결식	영결식/NNG
참석	참석/NNG
불투명	불/XPN+투명/NNG


# id : NWRW1800000046.404.2.1
감기로 건강 좋지 않아 이번주 일정 취소할 듯

감기로	감기/NNG+로/JKB
건강	건강/NNG
좋지	좋/VA+지/EC
않아	않/VX+아/EC
이번주	이번/NNG+주/NNG
일정	일정/NNG
취소할	취소/NNG+하/XSV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000046.404.3.1
박근혜 대통령이 건강 상태가 좋지 않아 당초 이번 주 잡혀 있던 대외 일정의 취소를 검토 중인 것으로 24일 알려졌다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
건강	건강/NNG
상태가	상태/NNG+가/JKS
좋지	좋/VA+지/EC
않아	않/VX+아/EC
당초	당초/NNG
이번	이번/NNG
주	주/NNG
잡혀	잡히/VV+어/EC
있던	있/VX+던/ETM
대외	대외/NNG
일정의	일정/NNG+의/JKG
취소를	취소/NNG+를/JKO
검토	검토/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
24일	24/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.404.3.2
26일 국회의사당 앞에서 거행되는 김영삼 전 대통령의 영결식 참석도 불투명해진 상황이라고 여권 관계자는 전했다.

26일	26/SN+일/NNB
국회의사당	국회의사당/NNP
앞에서	앞/NNG+에서/JKB
거행되는	거행/NNG+되/XSV+는/ETM
김영삼	김영삼/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
영결식	영결식/NNG
참석도	참석/NNG+도/JX
불투명해진	불/XPN+투명/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
상황이라고	상황/NNG+이/VCP+라고/EC
여권	여권/NNG
관계자는	관계자/NNG+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.404.4.1
박 대통령은 감기 기운이 있는 상태에서 지난 14일부터 터키·필리핀·말레이시아에서 7박10일간의 다자외교 일정을 소화했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
감기	감기/NNG
기운이	기운/NNG+이/JKS
있는	있/VA+는/ETM
상태에서	상태/NNG+에서/JKB
지난	지나/VV+ㄴ/ETM
14일부터	14/SN+일/NNB+부터/JX
터키·필리핀·말레이시아에서	터키/NNP+·/SP+필리핀/NNP+·/SP+말레이시아/NNP+에서/JKB
7박10일간의	7/SN+박/NNB+10/SN+일/NNB+간/XSN+의/JKG
다자외교	다자/NNG+외교/NNG
일정을	일정/NNG+을/JKO
소화했다.	소화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.404.4.2
박 대통령은 감기가 더 악화된 상황에서 지난 23일 새벽에 귀국, 휴식을 취한 뒤 김 전 대통령의 빈소를 조문했다고 한다.

박	박/NNP
대통령은	대통령/NNG+은/JX
감기가	감기/NNG+가/JKS
더	더/MAG
악화된	악화/NNG+되/XSV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
지난	지나/VV+ㄴ/ETM
23일	23/SN+일/NNB
새벽에	새벽/NNG+에/JKB
귀국,	귀국/NNG+,/SP
휴식을	휴식/NNG+을/JKO
취한	취하/VV+ㄴ/ETM
뒤	뒤/NNG
김	김/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
빈소를	빈소/NNG+를/JKO
조문했다고	조문/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.404.5.1
여권 관계자는 "박 대통령이 26일 오전에 잡혔던 외부 행사는 불참할 가능성이 높고, 그날 오후 YS 영결식 참석을 놓고도 청와대가 고심 중인 걸로 안다"며 "그날 날씨가 영하권이라고 하는데 대통령이 소화할 수 있을지 모르겠다"고 했다.

여권	여권/NNG
관계자는	관계자/NNG+는/JX
"박	"/SS+박/NNP
대통령이	대통령/NNG+이/JKS
26일	26/SN+일/NNB
오전에	오전/NNG+에/JKB
잡혔던	잡히/VV+었/EP+던/ETM
외부	외부/NNG
행사는	행사/NNG+는/JX
불참할	불참/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높고,	높/VA+고/EC+,/SP
그날	그날/NNG
오후	오후/NNG
YS	YS/SL
영결식	영결식/NNG
참석을	참석/NNG+을/JKO
놓고도	놓/VV+고/EC+도/JX
청와대가	청와대/NNP+가/JKS
고심	고심/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
걸로	거/NNB+ㄹ로/JKB
안다"며	알/VV+ㄴ다/EF+"/SS+며/EC
