# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.121
metadata : {}


# id : NWRW1800000022.121.1.1
[강원] 감수(監守)보존 선박 '꼼짝마'

[강원]	[/SS+강원/NNP+]/SS
감수(監守)보존	감수/NNG+(/SS+監守/SH+)/SS+보존/NNG
선박	선박/NNG
'꼼짝마'	'/SS+꼼짝/MAG+말/VV+아/EF+'/SS


# id : NWRW1800000022.121.2.1
해경이 채무를 갚지 못해 출항이 제한된 감수(監守)보존 선박에 대한 관리를 강화한다.

해경이	해경/NNG+이/JKS
채무를	채무/NNG+를/JKO
갚지	갚/VV+지/EC
못해	못하/VX+아/EC
출항이	출항/NNG+이/JKS
제한된	제한/NNG+되/XSV+ㄴ/ETM
감수(監守)보존	감수/NNG+(/SS+監守/SH+)/SS+보존/NNG
선박에	선박/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관리를	관리/NNG+를/JKO
강화한다.	강화/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.121.3.1
동해해경은 7일 감수보존 선박 도주에 대한 효율적 대응을 위해 현장 검거훈련을 실시한다고 밝혔다.

동해해경은	동해/NNP+해경/NNG+은/JX
7일	7/SN+일/NNB
감수보존	감수/NNG+보존/NNG
선박	선박/NNG
도주에	도주/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
효율적	효율/NNG+적/XSN
대응을	대응/NNG+을/JKO
위해	위하/VV+아/EC
현장	현장/NNG
검거훈련을	검거/NNG+훈련/NNG+을/JKO
실시한다고	실시/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.121.3.2
이번 훈련에는 함정 6척과 헬기 1대, 특공대원 10명 등이 참여해 대응 능력을 점검한다.

이번	이번/NNG
훈련에는	훈련/NNG+에/JKB+는/JX
함정	함정/NNG
6척과	6/SN+척/NNB+과/JC
헬기	헬기/NNG
1대,	1/SN+대/NNB+,/SP
특공대원	특공대원/NNG
10명	10/SN+명/NNB
등이	등/NNB+이/JKS
참여해	참여/NNG+하/XSV+아/EC
대응	대응/NNG
능력을	능력/NNG+을/JKO
점검한다.	점검/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.121.4.1
동해항과 묵호항에는 각종 채무관계를 해결하지 못한 외국 선박 4척이 압류된 상태로 발이 묶여 있다.

동해항과	동해항/NNP+과/JC
묵호항에는	묵호항/NNP+에/JKB+는/JX
각종	각종/NNG
채무관계를	채무/NNG+관계/NNG+를/JKO
해결하지	해결/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
외국	외국/NNG
선박	선박/NNG
4척이	4/SN+척/NNB+이/JKS
압류된	압류/NNG+되/XSV+ㄴ/ETM
상태로	상태/NNG+로/JKB
발이	발/NNG+이/JKS
묶여	묶이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.121.4.2
해경은 "감수보존 선박은 사전 허가 없이 출항을 할 경우 법에 따라 처벌을 받게 된다"고 말했다.

해경은	해경/NNG+은/JX
"감수보존	"/SS+감수/NNG+보존/NNG
선박은	선박/NNG+은/JX
사전	사전/NNG
허가	허가/NNG
없이	없이/MAG
출항을	출항/NNG+을/JKO
할	하/VV+ㄹ/ETM
경우	경우/NNG
법에	법/NNG+에/JKB
따라	따르/VV+아/EC
처벌을	처벌/NNG+을/JKO
받게	받/VV+게/EC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.121.5.1
감수보존 선박은 국내에 입항한 외국 선박이 유류비나 수리비용 등을 갚지 못해 채무불이행으로 가압류돼 출항이 금지된 배를 말한다.

감수보존	감수/NNG+보존/NNG
선박은	선박/NNG+은/JX
국내에	국내/NNG+에/JKB
입항한	입항/NNG+하/XSV+ㄴ/ETM
외국	외국/NNG
선박이	선박/NNG+이/JKS
유류비나	유류비/NNG+나/JC
수리비용	수리/NNG+비용/NNG
등을	등/NNB+을/JKO
갚지	갚/VV+지/EC
못해	못하/VX+아/EC
채무불이행으로	채무/NNG+불/XPN+이행/NNG+으로/JKB
가압류돼	가/XPN+압류/NNG+되/XSV+어/EC
출항이	출항/NNG+이/JKS
금지된	금지/NNG+되/XSV+ㄴ/ETM
배를	배/NNG+를/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


