# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.5
metadata : {}


# id : NWRW1800000021.5.1.1
[대구/경북]대구 청년취업 ‘3색 지원’

[대구/경북]대구	[/SS+대구/NNP+//SP+경북/NNP+]/SS+대구/NNP
청년취업	청년/NNG+취업/NNG
‘3색	‘/SS+3/SN+색/NNG
지원’	지원/NNG+’/SS


# id : NWRW1800000021.5.2.1
일자리를 원하는 지역 젊은층을 위한 고용촉진 사업이 다양하게 실시된다.

일자리를	일자리/NNG+를/JKO
원하는	원/NNG+하/XSV+는/ETM
지역	지역/NNG
젊은층을	젊/VA+은/ETM+층/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
고용촉진	고용/NNG+촉진/NNG
사업이	사업/NNG+이/JKS
다양하게	다양/NNG+하/XSA+게/EC
실시된다.	실시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.5.3.1
6일 대구지방노동청 종합고용지원센터에 따르면 취업에 어려움을 겪는 청년층을 위해 이달부터 ‘뉴 스타트 프로젝트’와 ‘직장체험 프로그램’, ‘중소기업 청년인턴제’ 등 취업지원 서비스를 제공하기로 했다.

6일	6/SN+일/NNB
대구지방노동청	대구지방노동청/NNP
종합고용지원센터에	종합/NNG+고용/NNG+지원/NNG+센터/NNG+에/JKB
따르면	따르/VV+면/EC
취업에	취업/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪는	겪/VV+는/ETM
청년층을	청년/NNG+층/XSN+을/JKO
위해	위하/VV+아/EC
이달부터	이달/NNG+부터/JX
‘뉴	‘/SS+뉴/NNG
스타트	스타트/NNG
프로젝트’와	프로젝트/NNG+’/SS+와/JC
‘직장체험	‘/SS+직장/NNG+체험/NNG
프로그램’,	프로그램/NNG+’/SS+,/SP
‘중소기업	‘/SS+중소기업/NNG
청년인턴제’	청년/NNG+인턴/NNG+제/XSN+’/SS
등	등/NNB
취업지원	취업/NNG+지원/NNG
서비스를	서비스/NNG+를/JKO
제공하기로	제공/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.5.4.1
뉴 스타트 프로젝트는 고졸 이하 학력자나, 실업기간 6개월 이상의 장기 구직자 등 청년 실업자 1100여 명에게 개별 집중상담을 통해 직업훈련과 직장체험을 하도록 한 뒤 취업을 알선하는 종합고용지원 서비스.

뉴	뉴/NNG
스타트	스타트/NNG
프로젝트는	프로젝트/NNG+는/JX
고졸	고졸/NNG
이하	이하/NNG
학력자나,	학력자/NNG+나/JC+,/SP
실업기간	실업/NNG+기간/NNG
6개월	6/SN+개월/NNB
이상의	이상/NNG+의/JKG
장기	장기/NNG
구직자	구직자/NNG
등	등/NNB
청년	청년/NNG
실업자	실업자/NNG
1100여	1100/SN+여/XSN
명에게	명/NNB+에게/JKB
개별	개별/NNG
집중상담을	집중/NNG+상담/NNG+을/JKO
통해	통하/VV+아/EC
직업훈련과	직업/NNG+훈련/NNG+과/JC
직장체험을	직장/NNG+체험/NNG+을/JKO
하도록	하/VV+도록/EC
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
취업을	취업/NNG+을/JKO
알선하는	알선/NNG+하/XSV+는/ETM
종합고용지원	종합/NNG+고용/NNG+지원/NNG
서비스.	서비스/NNG+./SF


# id : NWRW1800000021.5.5.1
이 사업 참가자는 4주간의 심층상담 등 소정의 과정을 이수하면 1인당 30만 원의 수당을 받을 수 있다.

이	이/MMD
사업	사업/NNG
참가자는	참가자/NNG+는/JX
4주간의	4/SN+주/NNB+간/XSN+의/JKG
심층상담	심층/NNG+상담/NNG
등	등/NNB
소정의	소정/NNG+의/JKG
과정을	과정/NNG+을/JKO
이수하면	이수/NNG+하/XSV+면/EC
1인당	1/SN+인/NNG+당/XSN
30만	30/SN+만/NR
원의	원/NNB+의/JKG
