# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.149
metadata : {}


# id : NWRW1800000038.149.1.1
"나를 만들어 준 장학금… 이젠 내가 그 장학금 키워야죠"

"나를	"/SS+나/NP+를/JKO
만들어	만들/VV+어/EC
준	주/VX+ㄴ/ETM
장학금…	장학금/NNG+…/SE
이젠	이제/NNG+ㄴ/JX
내가	내/NP+가/JKS
그	그/MMD
장학금	장학금/NNG
키워야죠"	키우/VV+어야지/EF+요/JX+"/SS


# id : NWRW1800000038.149.2.1
高大 '인봉 장학금' 고갈 위기, 수혜자 80여명 모금에 동참

高大	高大/SH
'인봉	'/SS+인봉/NNP
장학금'	장학금/NNG+'/SS
고갈	고갈/NNG
위기,	위기/NNG+,/SP
수혜자	수혜자/NNG
80여명	80/SN+여/XSN+명/NNB
모금에	모금/NNG+에/JKB
동참	동참/NNG


# id : NWRW1800000038.149.3.1
170여명에게 장학금을 준 고려대 '인봉 장학금'.

170여명에게	170/SN+여/XSN+명/NNB+에게/JKB
장학금을	장학금/NNG+을/JKO
준	주/VV+ㄴ/ETM
고려대	고려대/NNP
'인봉	'/SS+인봉/NNP
장학금'.	장학금/NNG+'/SS+./SF


# id : NWRW1800000038.149.3.2
낮아진 금리로 안정적인 지급에 어려움이 생기자, 어려웠던 시절 이 장학금을 받고 졸업한 수혜자들이 명맥을 잇기 위해 뭉쳤다.

낮아진	낮/VA+아/EC+지/VX+ㄴ/ETM
금리로	금리/NNG+로/JKB
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
지급에	지급/NNG+에/JKB
어려움이	어려움/NNG+이/JKS
생기자,	생기/VV+자/EC+,/SP
어려웠던	어렵/VA+었/EP+던/ETM
시절	시절/NNG
이	이/MMD
장학금을	장학금/NNG+을/JKO
받고	받/VV+고/EC
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
수혜자들이	수혜자/NNG+들/XSN+이/JKS
명맥을	명맥/NNG+을/JKO
잇기	잇/VV+기/ETN
위해	위하/VV+아/EC
뭉쳤다.	뭉치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.149.3.3
인봉 장학금은 고려대 출신 사업가 김모(65)씨가 지난 1986년 5000만원을 기부해 조성됐다.

인봉	인봉/NNP
장학금은	장학금/NNG+은/JX
고려대	고려대/NNP
출신	출신/NNG
사업가	사업가/NNG
김모(65)씨가	김/NNP+모/NP+(/SS+65/SN+)/SS+씨/NNB+가/JKS
지난	지나/VV+ㄴ/ETM
1986년	1986/SN+년/NNB
5000만원을	5000/SN+만/NR+원/NNB+을/JKO
기부해	기부/NNG+하/XSV+아/EC
조성됐다.	조성/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.149.3.4
'인봉(仁峰)'은 작고한 김씨 부친의 호(號)다.

'인봉(仁峰)'은	'/SS+인봉/NNP+(/SS+仁峰/SH+)/SS+'/SS+은/JX
작고한	작고/NNG+하/XSV+ㄴ/ETM
김씨	김/NNP+씨/NNB
부친의	부친/NNG+의/JKG
호(號)다.	호/NNG+(/SS+號/SH+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.149.3.5
김씨는 이후에도 꾸준히 기부를 계속해 기금은 현재 15억원까지 늘어났다.

김씨는	김/NNP+씨/NNB+는/JX
이후에도	이후/NNG+에/JKB+도/JX
꾸준히	꾸준히/MAG
기부를	기부/NNG+를/JKO
계속해	계속/NNG+하/XSV+아/EC
기금은	기금/NNG+은/JX
현재	현재/MAG
15억원까지	15/SN+억/NR+원/NNB+까지/JX
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.149.3.6
하지만 매년 10명에게 8000만원의 장학금을 지급하기 위해선 원금을 써야 할 상황이다.

하지만	하지만/MAJ
매년	매년/MAG
10명에게	10/SN+명/NNB+에게/JKB
8000만원의	8000/SN+만/NR+원/NNB+의/JKG
장학금을	장학금/NNG+을/JKO
지급하기	지급/NNG+하/XSV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
원금을	원금/NNG+을/JKO
써야	쓰/VV+어야/EC
할	하/VX+ㄹ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.149.3.7
원금을 쓰면 15~20년 후 기금이 고갈된다.

원금을	원금/NNG+을/JKO
쓰면	쓰/VV+면/EC
15~20년	15/SN+~/SO+20/SN+년/NNB
후	후/NNG
기금이	기금/NNG+이/JKS
고갈된다.	고갈/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.149.4.1
