# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.201
metadata : {}


# id : NWRW1800000036.201.1.1
[이사람] 노비·유모…그대들은 내 가족이었소

[이사람]	[/SS+이/MMD+사람/NNG+]/SS
노비·유모…그대들은	노비/NNG+·/SP+유모/NNG+…/SE+그대/NP+들/XSN+은/JX
내	나/NP+의/JKG
가족이었소	가족/NNG+이/VCP+었/EP+소/EF


# id : NWRW1800000036.201.2.1
[한겨레] 신해진 교수, 조선 선비들이 남긴 ‘애제문’ 책으로

[한겨레]	[/SS+한겨레/NNP+]/SS
신해진	신해진/NNP
교수,	교수/NNG+,/SP
조선	조선/NNP
선비들이	선비/NNG+들/XSN+이/JKS
남긴	남기/VV+ㄴ/ETM
‘애제문’	‘/SS+애제문/NNG+’/SS
책으로	책/NNG+으로/JKB


# id : NWRW1800000036.201.3.1
“마마자국이 있었으며, 성품이 유순하고 말씨도 차분했으며, 나를 얼싸안아 보살펴준 것이 매우 정성스러웠다.”

“마마자국이	“/SS+마마/NNG+자국/NNG+이/JKS
있었으며,	있/VA+었/EP+으며/EC+,/SP
성품이	성품/NNG+이/JKS
유순하고	유순하/VA+고/EC
말씨도	말씨/NNG+도/JX
차분했으며,	차분하/VA+았/EP+으며/EC+,/SP
나를	나/NP+를/JKO
얼싸안아	얼싸안/VV+아/EC
보살펴준	보살피/VV+어/EC+주/VX+ㄴ/ETM
것이	것/NNB+이/JKS
매우	매우/MAG
정성스러웠다.”	정성/NNG+스럽/XSA+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000036.201.3.2
조선 후기 실학자 이익(1681~1763)이 네 살 때 숨진 유모 ‘승정’을 추억한 글이다.

조선	조선/NNP
후기	후기/NNG
실학자	실학자/NNG
이익(1681~1763)이	이익/NNP+(/SS+1681/SN+~/SO+1763/SN+)/SS+이/JKS
네	네/MMN
살	살/NNB
때	때/NNG
숨진	숨지/VV+ㄴ/ETM
유모	유모/NNG
‘승정’을	‘/SS+승정/NNP+’/SS+을/JKO
추억한	추억/NNG+하/XSV+ㄴ/ETM
글이다.	글/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.201.3.3
나이 들어 도성 서대문길 옆에 묻혔다는 유모의 무덤을 찾으려다 실패한 그는 유모를 생각하며 쓴 제문에 “다른 어미에게서 젖 먹여 길러질 때면 몹시 따르지만 장성하면 정성껏 보답하는 자가 없다”며 “죽을 때까지 1년에 한번씩 제사 지내겠다”고 약속했다.

나이	나이/NNG
들어	들/VV+어/EC
도성	도성/NNG
서대문길	서대문/NNP+길/NNG
옆에	옆/NNG+에/JKB
묻혔다는	묻히/VV+었/EP+다는/ETM
유모의	유모/NNG+의/JKG
무덤을	무덤/NNG+을/JKO
찾으려다	찾/VV+으려다/EC
실패한	실패/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
유모를	유모/NNG+를/JKO
생각하며	생각/NNG+하/XSV+며/EC
쓴	쓰/VV+ㄴ/ETM
제문에	제문/NNG+에/JKB
“다른	“/SS+다른/MMD
어미에게서	어미/NNG+에게서/JKB
젖	젖/NNG
먹여	먹이/VV+어/EC
길러질	기르/VV+어/EC+지/VX+ㄹ/ETM
때면	때/NNG+이/VCP+면/EC
몹시	몹시/MAG
따르지만	따르/VV+지만/EC
장성하면	장성/NNG+하/XSV+면/EC
정성껏	정성껏/MAG
보답하는	보답/NNG+하/XSV+는/ETM
자가	자/NNB+가/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“죽을	“/SS+죽/VV+을/ETM
때까지	때/NNG+까지/JX
1년에	1/SN+년/NNB+에/JKB
한번씩	한/MMN+번/NNB+씩/XSN
제사	제사/NNG
지내겠다”고	지내/VV+겠/EP+다/EF+”/SS+고/JKQ
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.201.4.1
떠난 이 그리워하며 쓴 글 모아

떠난	떠나/VV+ㄴ/ETM
이	이/NNB
그리워하며	그리워하/VV+며/EC
쓴	쓰/VV+ㄴ/ETM
글	글/NNG
모아	모으/VV+아/EF


# id : NWRW1800000036.201.5.1
송시열·이익 등 진한 슬픔 표현

송시열·이익	송시열/NNP+·/SP+이익/NNP
등	등/NNB
진한	진하/VA+ㄴ/ETM
슬픔	슬픔/NNG
표현	표현/NNG


# id : NWRW1800000036.201.6.1
족보 샅샅이 찾고 각주 꼼꼼히

족보	족보/NNG
샅샅이	샅샅이/MAG
찾고	찾/VV+고/EC
각주	각주/NNG
꼼꼼히	꼼꼼히/MAG


# id : NWRW1800000036.201.7.1
신해진(55·사진) 전남대 교수(국문학)가 편역한 <떠난 사람에 대한 그리움의 미학, 애제문(哀祭文)>(보고사 펴냄)은 ‘가족’이라는 인연을 죽음 때문에 떠나보낸 슬픔을 담은 책이다.

신해진(55·사진)	신해진/NNP+(/SS+55/SN+·/SP+사진/NNG+)/SS
전남대	전남대/NNP
교수(국문학)가	교수/NNG+(/SS+국문학/NNG+)/SS+가/JKS
편역한	편역/NNG+하/XSV+ㄴ/ETM
<떠난	</SS+떠나/VV+ㄴ/ETM
사람에	사람/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
그리움의	그리움/NNG+의/JKG
미학,	미학/NNG+,/SP
