# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.235
metadata : {}


# id : NWRW1800000054.235.1.1
옥수수에서 뽑은 항공유 넣고 한국여객기, 미국서 날아왔다

옥수수에서	옥수수/NNG+에서/JKB
뽑은	뽑/VV+은/ETM
항공유	항공유/NNG
넣고	넣/VV+고/EC
한국여객기,	한국/NNP+여객기/NNG+,/SP
미국서	미국/NNP+서/JKB
날아왔다	날아오/VV+았/EP+다/EF


# id : NWRW1800000054.235.2.1
바이오항공유 5% 혼합 첫 운항, 온실가스 감축 친환경연료 기대… 항공유보다 2배 비싼 값이 숙제

바이오항공유	바이오/NNG+항공유/NNG
5%	5/SN+%/SW
혼합	혼합/NNG
첫	첫/MMN
운항,	운항/NNG+,/SP
온실가스	온실가스/NNG
감축	감축/NNG
친환경연료	친/XPN+환경/NNG+연료/NNG
기대…	기대/NNG+…/SE
항공유보다	항공유/NNG+보다/JKB
2배	2/SN+배/NNG
비싼	비싸/VA+ㄴ/ETM
값이	값/NNG+이/JKS
숙제	숙제/NNG


# id : NWRW1800000054.235.3.1
우리나라 국적 항공기 최초로 식물에서 추출한 '바이오(bio) 항공유'를 활용한 운항이 이뤄졌다.

우리나라	우리나라/NNG
국적	국적/NNG
항공기	항공기/NNG
최초로	최초/NNG+로/JKB
식물에서	식물/NNG+에서/JKB
추출한	추출/NNG+하/XSV+ㄴ/ETM
'바이오(bio)	'/SS+바이오/NNG+(/SS+bio/SL+)/SS
항공유'를	항공유/NNG+'/SS+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
운항이	운항/NNG+이/JKS
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.235.3.2
바이오 항공유는 곡물이나 식물, 조류(藻類), 폐식용유, 산림 부산물 등에서 뽑아낸 성분을 가공해 만든다.

바이오	바이오/NNG
항공유는	항공유/NNG+는/JX
곡물이나	곡물/NNG+이나/JC
식물,	식물/NNG+,/SP
조류(藻類),	조류/NNG+(/SS+藻類/SH+)/SS+,/SP
폐식용유,	폐/XPN+식용유/NNG+,/SP
산림	산림/NNG
부산물	부산물/NNG
등에서	등/NNB+에서/JKB
뽑아낸	뽑아내/VV+ㄴ/ETM
성분을	성분/NNG+을/JKO
가공해	가공/NNG+하/XSV+아/EC
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.235.4.1
국토교통부와 대한항공은 "미국 시카고공항에서 출발해 약 14시간을 비행한 뒤 지난 9일 오후 4시쯤 인천공항에 도착한 대한항공 여객기가 바이오 항공유와 기존 항공유를 섞은 연료로 비행했다"면서 "바이오 항공유로 비행한 국내 첫 사례"라고 10일 밝혔다.

국토교통부와	국토/NNG+교통부/NNG+와/JC
대한항공은	대한항공/NNP+은/JX
"미국	"/SS+미국/NNP
시카고공항에서	시카고공항/NNP+에서/JKB
출발해	출발/NNG+하/XSV+아/EC
약	약/MMA
14시간을	14/SN+시간/NNB+을/JKO
비행한	비행/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
오후	오후/NNG
4시쯤	4/SN+시/NNB+쯤/XSN
인천공항에	인천공항/NNP+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
대한항공	대한항공/NNP
여객기가	여객기/NNG+가/JKS
바이오	바이오/NNG
항공유와	항공유/NNG+와/JC
기존	기존/NNG
항공유를	항공유/NNG+를/JKO
섞은	섞/VV+은/ETM
연료로	연료/NNG+로/JKB
비행했다"면서	비행/NNG+하/XSV+았/EP+다/EF+"/SS+면서/EC
"바이오	"/SS+바이오/NNG
항공유로	항공유/NNG+로/JKB
국내	국내/NNG
첫	첫/MMN
사례"라고	사례/NNG+"/SS+라고/JKQ
10일	10/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.235.4.2
이 여객기는 기존 항공유 95%, 옥수수 등에서 뽑아낸 바이오 항공유가 5% 든 연료로 비행했다.

이	이/MMD
여객기는	여객기/NNG+는/JX
기존	기존/NNG
항공유	항공유/NNG
95%,	95/SN+%/SW+,/SP
옥수수	옥수수/NNG
등에서	등/NNB+에서/JKB
뽑아낸	뽑아내/VV+ㄴ/ETM
바이오	바이오/NNG
항공유가	항공유/NNG+가/JKS
5%	5/SN+%/SW
든	들/VV+ㄴ/ETM
연료로	연료/NNG+로/JKB
비행했다.	비행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.235.5.1
바이오 항공유가 주목받는 것은 지구온난화를 유발하는 온실가스를 기존 항공유보다 65~90% 덜 배출하기 때문이다.

바이오	바이오/NNG
항공유가	항공유/NNG+가/JKS
주목받는	주목/NNG+받/XSV+는/ETM
것은	것/NNB+은/JX
지구온난화를	지구/NNG+온난/NNG+화/XSN+를/JKO
유발하는	유발/NNG+하/XSV+는/ETM
온실가스를	온실가스/NNG+를/JKO
기존	기존/NNG
항공유보다	항공유/NNG+보다/JKB
65~90%	65/SN+~/SO+90/SN+%/SW
덜	덜/MAG
배출하기	배출/NNG+하/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.235.5.2
현재 전 세계 항공기 운항 과정에서 배출되는 온실가스는 전체 온실가스 배출량의 약 2%를 차지한다.

현재	현재/MAG
전	전/MMN
세계	세계/NNG
항공기	항공기/NNG
운항	운항/NNG
과정에서	과정/NNG+에서/JKB
배출되는	배출/NNG+되/XSV+는/ETM
온실가스는	온실가스/NNG+는/JX
전체	전체/NNG
온실가스	온실가스/NNG
배출량의	배출량/NNG+의/JKG
약	약/MMA
2%를	2/SN+%/SW+를/JKO
차지한다.	차지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.235.5.3
폭발적인 항공 수요 증가로 2050년엔 현재 배출량의 3배가량으로 늘어날 전망이다.

폭발적인	폭발/NNG+적/XSN+이/VCP+ㄴ/ETM
항공	항공/NNG
수요	수요/NNG
증가로	증가/NNG+로/JKB
2050년엔	2050/SN+년/NNB+에/JKB+ㄴ/JX
현재	현재/NNG
배출량의	배출량/NNG+의/JKG
3배가량으로	3/SN+배/NNG+가량/XSN+으로/JKB
늘어날	늘어나/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.235.5.4
항공업계에선 바이오 항공유 수요가 점점 늘어나 2050년이면 세계 항공유 사용량의 25%까지 늘어날 것으로 예상한다.

항공업계에선	항공업/NNG+계/XSN+에서/JKB+ㄴ/JX
바이오	바이오/NNG
항공유	항공유/NNG
수요가	수요/NNG+가/JKS
점점	점점/MAG
늘어나	늘어나/VV+아/EC
2050년이면	2050/SN+년/NNB+이/VCP+면/EC
세계	세계/NNG
사용량의	사용량/NNG+의/JKG
25%까지	25/SN+%/SW+까지/JX
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상한다.	예상/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.235.6.1
현재 미국 유나이티드항공, 네덜란드 KLM, 독일 루프트한자 등 일부 항공사들은 바이오 항공유를 일정 비율로 섞은 항공유로 이미 운항하고 있다.

현재	현재/MAG
미국	미국/NNP
유나이티드항공,	유나이티드항공/NNP+,/SP
네덜란드	네덜란드/NNP
KLM,	KLM/SL+,/SP
독일	독일/NNP
루프트한자	루프트한자/NNP
등	등/NNB
일부	일부/NNG
항공사들은	항공사/NNG+들/XSN+은/JX
바이오	바이오/NNG
항공유를	항공유/NNG+를/JKO
일정	일정/NNG
비율로	비율/NNG+로/JKB
섞은	섞/VV+은/ETM
항공유로	항공유/NNG+로/JKB
이미	이미/MAG
운항하고	운항/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.235.7.1
외국 항공사들은 경쟁적으로 바이오 항공유 시험 비행을 하고 있다.

외국	외국/NNG
항공사들은	항공사/NNG+들/XSN+은/JX
경쟁적으로	경쟁/NNG+적/XSN+으로/JKB
바이오	바이오/NNG
항공유	항공유/NNG
시험	시험/NNG
비행을	비행/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.235.7.2
일본항공은 2009년 1월 엔진 네 개 중 한 개에 바이오 항공유를 50% 혼합해 시험 비행했고, 미국 알래스카항공은 작년 11월 한 개 엔진에 바이오 항공유를 20% 혼합해 사용했다.

일본항공은	일본항공/NNP+은/JX
2009년	2009/SN+년/NNB
1월	1/SN+월/NNB
엔진	엔진/NNG
네	네/MMN
개	개/NNB
중	중/NNB
한	한/MMN
개에	개/NNB+에/JKB
바이오	바이오/NNG
항공유를	항공유/NNG+를/JKO
50%	50/SN+%/SW
혼합해	혼합/NNG+하/XSV+아/EC
시험	시험/NNG
비행했고,	비행/NNG+하/XSV+았/EP+고/EC+,/SP
미국	미국/NNP
알래스카항공은	알래스카항공/NNP+은/JX
작년	작년/NNG
11월	11/SN+월/NNB
엔진에	엔진/NNG+에/JKB
20%	20/SN+%/SW
사용했다.	사용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.235.7.3
싱가포르항공도 올해 5~8월에 폐식용유로 만든 바이오 항공유를 섞어 12차례 운항했다.

싱가포르항공도	싱가포르항공/NNP+도/JX
올해	올해/NNG
5~8월에	5/SN+~/SO+8/SN+월/NNB+에/JKB
폐식용유로	폐/XPN+식용유/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
바이오	바이오/NNG
항공유를	항공유/NNG+를/JKO
섞어	섞/VV+어/EC
12차례	12/SN+차례/NNG
운항했다.	운항/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.235.7.4
국제민간항공기구(ICAO)에 따르면 전 세계적으로 현재까지 4만 회 이상 바이오 항공유를 이용한 비행이 성공적으로 이뤄졌다.

국제민간항공기구(ICAO)에	국제민간항공기구/NNP+(/SS+ICAO/SL+)/SS+에/JKB
따르면	따르/VV+면/EC
전	전/MMN
세계적으로	세계/NNG+적/XSN+으로/JKB
현재까지	현재/NNG+까지/JX
4만	4/SN+만/NR
회	회/NNB
이상	이상/NNG
바이오	바이오/NNG
항공유를	항공유/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
비행이	비행/NNG+이/JKS
성공적으로	성공/NNG+적/XSN+으로/JKB
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.235.8.1
국토부 관계자는 "바이오 항공유 확대를 위해선 기존 항공유보다 2~3배 비싼 가격 문제가 풀어야 할 과제"라며 "온실가스 감축이라는 명확한 목표가 있는 만큼 바이오 항공유를 사용한 운항 활성화 방안을 마련해 나갈 것"이라고 말했다.

국토부	국토부/NNG
관계자는	관계자/NNG+는/JX
"바이오	"/SS+바이오/NNG
항공유	항공유/NNG
확대를	확대/NNG+를/JKO
위해선	위하/VV+아서/EC+ㄴ/JX
기존	기존/NNG
항공유보다	항공유/NNG+보다/JKB
2~3배	2/SN+~/SO+3/SN+배/NNG
비싼	비싸/VA+ㄴ/ETM
가격	가격/NNG
문제가	문제/NNG+가/JKS
풀어야	풀/VV+어야/EC
할	하/VX+ㄹ/ETM
과제"라며	과제/NNG+"/SS+이/VCP+라며/EC
"온실가스	"/SS+온실가스/NNG
감축이라는	감축/NNG+이/VCP+라는/ETM
명확한	명확하/VA+ㄴ/ETM
목표가	목표/NNG+가/JKS
있는	있/VA+는/ETM
만큼	만큼/NNB
바이오	바이오/NNG
항공유를	항공유/NNG+를/JKO
사용한	사용/NNG+하/XSV+ㄴ/ETM
운항	운항/NNG
활성화	활성/NNG+화/XSN
방안을	방안/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


