# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.267
metadata : {}


# id : NWRW1800000022.267.1.1
[제주·서울] 드라마·영화 세트장 찾는 관광객 크게 늘어;16개 작품 촬영 중·완료

[제주·서울]	[/SS+제주/NNP+·/SP+서울/NNP+]/SS
드라마·영화	드라마/NNG+·/SP+영화/NNG
세트장	세트장/NNG
찾는	찾/VV+는/ETM
관광객	관광객/NNG
크게	크/VA+게/EC
늘어;16개	늘/VV+어/EF+;/SW+16/SN+개/NNB
작품	작품/NNG
촬영	촬영/NNG
중·완료	중/NNB+·/SP+완료/NNG


# id : NWRW1800000022.267.2.1
제주의 아름다운 풍광이 올여름 TV 안방극장을 사로잡고 있다.

제주의	제주/NNP+의/JKG
아름다운	아름답/VA+ㄴ/ETM
풍광이	풍광/NNG+이/JKS
올여름	올여름/NNG
TV	TV/SL
안방극장을	안방극장/NNG+을/JKO
사로잡고	사로잡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.267.3.1
제주도는 현재 영화와 드라마 11개 작품이 제주에서 촬영이 완료됐고 2편이 촬영 중이라고 6일 밝혔다.

제주도는	제주도/NNP+는/JX
현재	현재/MAG
영화와	영화/NNG+와/JC
드라마	드라마/NNG
11개	11/SN+개/NNB
작품이	작품/NNG+이/JKS
제주에서	제주/NNP+에서/JKB
촬영이	촬영/NNG+이/JKS
완료됐고	완료/NNG+되/XSV+었/EP+고/EC
2편이	2/SN+편/NNB+이/JKS
촬영	촬영/NNG
중이라고	중/NNB+이/VCP+라고/EC
6일	6/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.267.3.2
또 3편은 제작 준비 단계에 있다.

또	또/MAG
3편은	3/SN+편/NNB+은/JX
제작	제작/NNG
준비	준비/NNG
단계에	단계/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.267.4.1
먼저 지성과 성유리가 주연한 SBS TV 수목극 '태양을 삼켜라'가 같은 시간대 시청률 1위를 달리면서 서귀포시 남원읍 위미리 세트장을 찾는 관광객들이 급증하고 있다.

먼저	먼저/MAG
지성과	지성/NNP+과/JC
성유리가	성유리/NNP+가/JKS
주연한	주연/NNG+하/XSV+ㄴ/ETM
SBS	SBS/SL
TV	TV/SL
수목극	수목극/NNG
'태양을	'/SS+태양/NNG+을/JKO
삼켜라'가	삼키/VV+어라/EF+'/SS+가/JKS
같은	같/VA+은/ETM
시간대	시간대/NNG
시청률	시청/NNG+률/XSN
1위를	1/SN+위/NNB+를/JKO
달리면서	달리/VV+면서/EC
서귀포시	서귀포시/NNP
남원읍	남원읍/NNP
위미리	위미리/NNP
세트장을	세트장/NNG+을/JKO
찾는	찾/VV+는/ETM
관광객들이	관광객/NNG+들/XSN+이/JKS
급증하고	급증/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.267.4.2
이 드라마는 제주도를 국제도시로 만들려는 젊은이들의 야망과 꿈을 그린 것으로, 고두심·진구·임정은·박광현 등이 출연했다.

이	이/MMD
드라마는	드라마/NNG+는/JX
제주도를	제주도/NNP+를/JKO
국제도시로	국제도시/NNG+로/JKB
만들려는	만들/VV+려는/ETM
젊은이들의	젊은이/NNG+들/XSN+의/JKG
야망과	야망/NNG+과/JC
꿈을	꿈/NNG+을/JKO
그린	그리/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
고두심·진구·임정은·박광현	고두심/NNP+·/SP+진구/NNP+·/SP+임정은/NNP+·/SP+박광현/NNP
등이	등/NNB+이/JKS
출연했다.	출연/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.267.4.3
또 17세기 중반 제주도에 표류했던 네덜란드인 하멜을 모티브로 조선시대 푸른 눈 이방인이 제주에 표류했다는 동화 같은 설정에서 시작되는 트렌디 사극 '탐나는 도다'가 8일 MBC 여름 특선드라마로 첫 방영될 예정이다.

또	또/MAG
17세기	17/SN+세기/NNG
중반	중반/NNG
제주도에	제주도/NNP+에/JKB
표류했던	표류/NNG+하/XSV+았/EP+던/ETM
네덜란드인	네덜란드인/NNG
하멜을	하멜/NNP+을/JKO
모티브로	모티브/NNG+로/JKB
조선시대	조선시대/NNG
푸른	푸르/VA+ㄴ/ETM
눈	눈/NNG
이방인이	이방인/NNG+이/JKS
제주에	제주/NNP+에/JKB
표류했다는	표류/NNG+하/XSV+았/EP+다는/ETM
동화	동화/NNG
같은	같/VA+은/ETM
설정에서	설정/NNG+에서/JKB
시작되는	시작/NNG+되/XSV+는/ETM
트렌디	트렌디/NNG
사극	사극/NNG
'탐나는	'/SS+탐나/VV+는/ETM
도다'가	도다/EF+'/SS+가/JKS
8일	8/SN+일/NNB
MBC	MBC/SL
여름	여름/NNG
특선드라마로	특선/NNG+드라마/NNG+로/JKB
첫	첫/MMN
방영될	방영/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.267.4.4
이 사극은 지난해 8~10월 사계리 하멜기념관, 김녕리 월정해안, 제주민속촌박물관, 한라체육관 수영장, 섭지코지, 방선문, 성산일출봉 해안, 표선민속촌 등에서 촬영이 진행됐다.

이	이/MMD
사극은	사극/NNG+은/JX
지난해	지난해/NNG
8~10월	8/SN+~/SO+10/SN+월/NNB
사계리	사계리/NNP
하멜기념관,	하멜기념관/NNP+,/SP
김녕리	김녕리/NNP
월정해안,	월정해안/NNP+,/SP
제주민속촌박물관,	제주민속촌박물관/NNP+,/SP
한라체육관	한라체육관/NNP
수영장,	수영장/NNG+,/SP
섭지코지,	섭지코지/NNP+,/SP
방선문,	방선문/NNP+,/SP
성산일출봉	성산일출봉/NNP
해안,	해안/NNG+,/SP
표선민속촌	표선민속촌/NNP
등에서	등/NNB+에서/JKB
촬영이	촬영/NNG+이/JKS
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.267.4.5
이밖에 김혜수·이지아·류시원이 공연하는 SBS TV 주말특별기획 '스타일'도 최근 시청률 1위를 차지하며 화려하게 출발했다.

이밖에	이/NP+밖/NNG+에/JKB
김혜수·이지아·류시원이	김혜수/NNP+·/SP+이지아/NNP+·/SP+류시원/NNP+이/JKS
공연하는	공연/NNG+하/XSV+는/ETM
SBS	SBS/SL
TV	TV/SL
주말특별기획	주말/NNG+특별/NNG+기획/NNG
'스타일'도	'/SS+스타일/NNP+'/SS+도/JX
최근	최근/MAG
시청률	시청/NNG+률/XSN
1위를	1/SN+위/NNB+를/JKO
차지하며	차지/NNG+하/XSV+며/EC
화려하게	화려하/VA+게/EC
출발했다.	출발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.267.4.6
초록뱀미디어의 KBS 특별기획드라마 '추노'도 10월부터 방송될 예정이어서 제주도가 TV를 통한 홍보 효과에 큰 기대를 걸고 있다.

초록뱀미디어의	초록뱀미디어/NNP+의/JKG
KBS	KBS/SL
특별기획드라마	특별/NNG+기획/NNG+드라마/NNG
'추노'도	'/SS+추노/NNP+'/SS+도/JX
10월부터	10/SN+월/NNB+부터/JX
방송될	방송/NNG+되/XSV+ㄹ/ETM
예정이어서	예정/NNG+이/VCP+어서/EC
제주도가	제주도/NNP+가/JKS
TV를	TV/SL+를/JKO
통한	통하/VV+ㄴ/ETM
홍보	홍보/NNG
효과에	효과/NNG+에/JKB
큰	크/VA+ㄴ/ETM
기대를	기대/NNG+를/JKO
걸고	걸/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.267.5.1
이밖에 배창호 감독이 연출하는 아리랑 TV 영화 '한국, 영화를 만나다―제주편'은 첫 번째 에피소드 촬영을 마친 상태로, 전 세계 180개국에 방영될 예정이다.

이밖에	이/NP+밖/NNG+에/JKB
배창호	배창호/NNP
감독이	감독/NNG+이/JKS
연출하는	연출/NNG+하/XSV+는/ETM
아리랑	아리랑/NNP
TV	TV/SL
영화	영화/NNG
'한국,	'/SS+한국/NNP+,/SP
영화를	영화/NNG+를/JKO
만나다―제주편'은	만나/VV+다/EF+―/SS+제주/NNP+편/NNB+'/SS+은/JX
첫	첫/MMN
번째	번/NNB+째/XSN
에피소드	에피소드/NNG
촬영을	촬영/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
상태로,	상태/NNG+로/JKB+,/SP
전	전/MMN
세계	세계/NNG
180개국에	180/SN+개국/NNB+에/JKB
방영될	방영/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


