# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.69
metadata : {}


# id : NWRW1800000021.69.1.1
[광주/전남]50세 아버지-20세 아들 나란히 같은 과에

[광주/전남]50세	[/SS+광주/NNP+//SP+전남/NNP+]/SS+50/SN+세/NNB
아버지-20세	아버지/NNG+-/SO+20/SN+세/NNB
아들	아들/NNG
나란히	나란히/MAG
같은	같/VA+은/ETM
과에	과/NNG+에/JKB


# id : NWRW1800000021.69.2.1
쉰 살의 아버지와 스무 살 아들이 같은 대학, 같은 학과에 나란히 입학했다.

쉰	쉰/NR
살의	살/NNB+의/JKG
아버지와	아버지/NNG+와/JC
스무	스무/MMN
살	살/NNB
아들이	아들/NNG+이/JKS
같은	같/VA+은/ETM
대학,	대학/NNG+,/SP
학과에	학과/NNG+에/JKB
나란히	나란히/MAG
입학했다.	입학/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.69.3.1
전남 나주시 동신대 안경광학과 신입생인 남국현 씨(50)와 진성 씨(20) 부자.

전남	전남/NNP
나주시	나주시/NNP
동신대	동신대/NNP
안경광학과	안경/NNG+광학과/NNG
신입생인	신입/NNG+생/XSN+이/VCP+ㄴ/ETM
남국현	남국현/NNP
씨(50)와	씨/NNB+(/SS+50/SN+)/SS+와/JC
진성	진성/NNP
씨(20)	씨/NNB+(/SS+20/SN+)/SS
부자.	부자/NNG+./SF


# id : NWRW1800000021.69.4.1
목포시 하당동에서 의류업을 하는 아버지 남 씨는 고등학교를 졸업한 지 30년 만에 늦깎이 대학생이 됐다.

목포시	목포시/NNP
하당동에서	하당동/NNP+에서/JKB
의류업을	의류업/NNG+을/JKO
하는	하/VV+는/ETM
아버지	아버지/NNG
남	남/NNP
씨는	씨/NNB+는/JX
고등학교를	고등학교/NNG+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
지	지/NNB
30년	30/SN+년/NNB
만에	만/NNB+에/JKB
늦깎이	늦깎이/NNG
대학생이	대학/NNG+생/XSN+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.69.4.2
아들은 올해 목포 홍일고를 졸업했다.

아들은	아들/NNG+은/JX
올해	올해/NNG
목포	목포/NNP
홍일고를	홍일고/NNP+를/JKO
졸업했다.	졸업/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.69.5.1
가정형편이 어려워 중학교 졸업 후 농사일을 거들다 뒤늦게 고교를 다녔던 남 씨는 사업을 하면서도 공인중개사 자격증을 따고 평생교육원을 수료하는 등 배움의 열정을 채워갔다.

가정형편이	가정/NNG+형편/NNG+이/JKS
어려워	어렵/VA+어/EC
중학교	중학교/NNG
졸업	졸업/NNG
후	후/NNG
농사일을	농사일/NNG+을/JKO
거들다	거들/VV+다/EC
뒤늦게	뒤늦/VA+게/EC
고교를	고교/NNG+를/JKO
다녔던	다니/VV+었/EP+던/ETM
남	남/NNP
씨는	씨/NNB+는/JX
사업을	사업/NNG+을/JKO
하면서도	하/VV+면서/EC+도/JX
공인중개사	공인/NNG+중개사/NNG
자격증을	자격증/NNG+을/JKO
따고	따/VV+고/EC
평생교육원을	평생/NNG+교육원/NNG+을/JKO
수료하는	수료/NNG+하/XSV+는/ETM
등	등/NNB
배움의	배우/VV+ㅁ/ETN+의/JKG
열정을	열정/NNG+을/JKO
채워갔다.	채우/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.69.6.1
남 씨에게 대학은 또 다른 도전이었다.

남	남/NNP
씨에게	씨/NNB+에게/JKB
대학은	대학/NNG+은/JX
또	또/MAG
다른	다른/MMD
도전이었다.	도전/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.69.6.2
무엇보다 묵묵히 내조하며 뒷바라지를 해준 아내의 격려와 후원이 큰 힘이 됐다.

무엇보다	무엇/NP+보다/JKB
묵묵히	묵묵히/MAG
내조하며	내조/NNG+하/XSV+며/EC
뒷바라지를	뒷바라지/NNG+를/JKO
해준	하/VV+아/EC+주/VX+ㄴ/ETM
아내의	아내/NNG+의/JKG
격려와	격려/NNG+와/JC
후원이	후원/NNG+이/JKS
큰	크/VA+ㄴ/ETM
힘이	힘/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.69.7.1
남 씨는 “전문자격증을 딸 수 있고 졸업 후 곧바로 현장에서 일할 수 있는 실용학문을 하고 싶어 안경광학과를 지원했다”며 “남보다 늦게 출발하는 만큼 더 열심히 공부할 것”이라고 말했다.

남	남/NNP
씨는	씨/NNB+는/JX
“전문자격증을	“/SS+전문/NNG+자격증/NNG+을/JKO
딸	따/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
졸업	졸업/NNG
후	후/NNG
곧바로	곧바로/MAG
현장에서	현장/NNG+에서/JKB
일할	일/NNG+하/XSV+ㄹ/ETM
있는	있/VA+는/ETM
실용학문을	실용/NNG+학문/NNG+을/JKO
하고	하/VV+고/EC
싶어	싶/VX+어/EC
안경광학과를	안경/NNG+광학과/NNG+를/JKO
지원했다”며	지원/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“남보다	“/SS+남/NNG+보다/JKB
늦게	늦/VA+게/EC
출발하는	출발/NNG+하/XSV+는/ETM
만큼	만큼/NNB
더	더/MAG
열심히	열심히/MAG
공부할	공부/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.69.8.1
남 씨 부자는 대학이나 사회에서 필요한 영어 공부를 위해 개학 전부터 함께 회화학원에 다니고 있다.

남	남/NNP
씨	씨/NNB
부자는	부자/NNG+는/JX
대학이나	대학/NNG+이나/JC
사회에서	사회/NNG+에서/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
영어	영어/NNP
공부를	공부/NNG+를/JKO
위해	위하/VV+아/EC
개학	개학/NNG
전부터	전/NNG+부터/JX
함께	함께/MAG
회화학원에	회화/NNG+학원/NNG+에/JKB
다니고	다니/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.69.9.1
진성 씨는 “아버지가 공인중개사 시험을 준비하실 때 굉장히 열심히 하셨는데 대학 공부도 잘해내시리라 믿는다”고 말했다.

진성	진성/NNP
씨는	씨/NNB+는/JX
“아버지가	“/SS+아버지/NNG+가/JKS
공인중개사	공인/NNG+중개사/NNG
시험을	시험/NNG+을/JKO
준비하실	준비/NNG+하/XSV+시/EP+ㄹ/ETM
때	때/NNG
굉장히	굉장히/MAG
