# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.409
metadata : {}


# id : NWRW1800000021.409.1.1
[동아일보 속의 근대 100경]<62> 범죄

[동아일보	[/SS+동아일보/NNP
속의	속/NNG+의/JKG
근대	근대/NNG
100경]<62>	100/SN+경/NNG+]/SS+</SS+62/SN+>/SS
범죄	범죄/NNG


# id : NWRW1800000021.409.2.1
《“서대문 밧 현저동에 잇는 서대문감옥에는 … 임의(이미) 형긔가 결뎡되어 복역하는 죄수가 남자가 일천오백십사명이오 여자가 구십오명인대 남자죄수의 범죄는 절도 사백칠십륙명이 가장 만흔대 그 원인은 대개 생활 곤난으로 할 수 업시 절도짓을 한 것이요 그 다음은 강도가 삼백여명인대….” ―동아일보 1923년 2월 26일자》

《“서대문	《/SS+“/SS+서대문/NNP
밧	밧/NNG
현저동에	현저동/NNP+에/JKB
잇는	잇/VV+는/ETM
서대문감옥에는	서대문/NNP+감옥/NNG+에/JKB+는/JX
…	…/SE
임의(이미)	임의/MAG+(/SS+이미/MAG+)/SS
형긔가	형긔/NNG+가/JKS
결뎡되어	결뎡/NNG+되/XSV+어/EC
복역하는	복역/NNG+하/XSV+는/ETM
죄수가	죄수/NNG+가/JKS
남자가	남자/NNG+가/JKS
일천오백십사명이오	일천오백십사/NR+명/NNB+이/VCP+오/EC
여자가	여자/NNG+가/JKS
구십오명인대	구십오/NR+명/NNB+이/VCP+ㄴ대/EC
남자죄수의	남자/NNG+죄수/NNG+의/JKG
범죄는	범죄/NNG+는/JX
절도	절도/NNG
사백칠십륙명이	사백칠십륙/NR+명/NNB+이/JKS
가장	가장/MAG
만흔대	많/VA+은대/EC
그	그/MMD
원인은	원인/NNG+은/JX
대개	대개/MAG
생활	생활/NNG
곤난으로	곤난/NNG+으로/JKB
할	하/VV+ㄹ/ETM
수	수/NNB
업시	업시/MAG
절도짓을	절도/NNG+짓/NNG+을/JKO
한	하/VV+ㄴ/ETM
것이요	것/NNB+이/VCP+요/EC
다음은	다음/NNG+은/JX
강도가	강도/NNG+가/JKS
삼백여명인대….”	삼백/NR+여/XSN+명/NNB+이/VCP+ㄴ대/EC+…/SE+./SF+”/SS
―동아일보	―/SS+동아일보/NNP
1923년	1923/SN+년/NNB
2월	2/SN+월/NNB
26일자》	26/SN+일/NNB+자/NNG+》/SS


# id : NWRW1800000021.409.3.1
1921년 일제의 한 경찰관은 다음과 같이 털어놓았다.

1921년	1921/SN+년/NNB
일제의	일제/NNG+의/JKG
한	한/MMN
경찰관은	경찰관/NNG+은/JX
다음과	다음/NNG+과/JKB
같이	같이/MAG
털어놓았다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.409.3.2
“조선인의 범죄에 대한 특y(特點)을 말하자면 그 내용이 단순하니 곳 교묘한 범죄와 보통사람의 지혜로는 헤아릴 수가 없시 복잡하게 꿈인 일은 별로히 업다고 하야도 과언이 아니다.”

“조선인의	“/SS+조선인/NNG+의/JKG
범죄에	범죄/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
특y(特點)을	특/NNG+y/SL+(/SS+特點/SH+)/SS+을/JKO
말하자면	말/NNG+하/XSV+자면/EC
그	그/MMD
내용이	내용/NNG+이/JKS
단순하니	단순/NNG+하/XSA+니/EC
곳	곳/MAG
교묘한	교묘하/VA+ㄴ/ETM
범죄와	범죄/NNG+와/JC
보통사람의	보통/NNG+사람/NNG+의/JKG
지혜로는	지혜/NNG+로/JKB+는/JX
헤아릴	헤아리/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없시	없시/MAG
복잡하게	복잡하/VA+게/EC
꿈인	꿈이/VV+ㄴ/ETM
일은	일/NNG+은/JX
별로히	별로히/MAG
업다고	업/VV+다고/EC
하야도	하/VV+야도/EC
과언이	과언/NNG+이/JKC
아니다.”	아니/VCN+다/EF+./SF+”/SS


# id : NWRW1800000021.409.3.3
당시 한국에서의 범죄는 사기 등 경제사범이 많은 일본인들의 범죄에 비해 생활범죄가 많고 수법은 대부분 순진했다는 말이다.

당시	당시/NNG
한국에서의	한국/NNP+에서/JKB+의/JKG
범죄는	범죄/NNG+는/JX
사기	사기/NNG
등	등/NNB
경제사범이	경제/NNG+사범/NNG+이/JKS
많은	많/VA+은/ETM
일본인들의	일본인/NNG+들/XSN+의/JKG
범죄에	범죄/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
생활범죄가	생활/NNG+범죄/NNG+가/JKS
많고	많/VA+고/EC
수법은	수법/NNG+은/JX
대부분	대/XPN+부분/NNG
순진했다는	순진/NNG+하/XSA+았/EP+다는/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.409.4.1
그러나 1930년대에 들어서면서 조선 전체를 경악하게 한 대형 범죄사건이 잇따라 일어났다.

그러나	그러나/MAJ
1930년대에	1930/SN+년대/NNB+에/JKB
들어서면서	들어서/VV+면서/EC
조선	조선/NNP
전체를	전체/NNG+를/JKO
경악하게	경악/NNG+하/XSV+게/EC
한	하/VX+ㄴ/ETM
대형	대형/NNG
범죄사건이	범죄/NNG+사건/NNG+이/JKS
잇따라	잇따르/VV+아/EC
일어났다.	일어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.409.4.2
1933년 5월 16일 일어난 ‘목 없는 아이’ 사건은 미신의 영향을 짙게 받던 당시 조선의 우울한 초상을 드러냈다.

1933년	1933/SN+년/NNB
5월	5/SN+월/NNB
16일	16/SN+일/NNB
일어난	일어나/VV+ㄴ/ETM
‘목	‘/SS+목/NNG
없는	없/VA+는/ETM
아이’	아이/NNG+’/SS
사건은	사건/NNG+은/JX
미신의	미신/NNG+의/JKG
영향을	영향/NNG+을/JKO
짙게	짙/VA+게/EC
받던	받/VV+던/ETM
당시	당시/NNG
조선의	조선/NNP+의/JKG
우울한	우울/NNG+하/XSA+ㄴ/ETM
초상을	초상/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.409.4.3
이날 서울 중림동의 쓰레기 처리장에서 유아의 머리가 발견된 데 이어 21일 만에 한 묘지에서 아이의 몸뚱이가 발견된 것이다.

이날	이날/NNG
서울	서울/NNP
중림동의	중림동/NNP+의/JKG
쓰레기	쓰레기/NNG
처리장에서	처리장/NNG+에서/JKB
유아의	유아/NNG+의/JKG
머리가	머리/NNG+가/JKS
발견된	발견/NNG+되/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
21일	21/SN+일/NNB
만에	만/NNB+에/JKB
한	한/MMN
묘지에서	묘지/NNG+에서/JKB
아이의	아이/NNG+의/JKG
몸뚱이가	몸뚱이/NNG+가/JKS
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.409.4.4
20여 일에 걸친 수사 끝에 윤모 씨가 간질병을 앓는 아들이 어린이의 뇌를 먹으면 나을 수 있다는 말을 듣고 벌인 범죄임이 밝혀졌다.

20여	20/SN+여/XSN
일에	일/NNB+에/JKB
걸친	걸치/VV+ㄴ/ETM
수사	수사/NNG
끝에	끝/NNG+에/JKB
윤모	윤/NNP+모/NP
씨가	씨/NNB+가/JKS
간질병을	간질병/NNG+을/JKO
앓는	앓/VV+는/ETM
아들이	아들/NNG+이/JKS
어린이의	어린이/NNG+의/JKG
뇌를	뇌/NNG+를/JKO
먹으면	먹/VV+으면/EC
나을	낫/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
말을	말/NNG+을/JKO
듣고	듣/VV+고/EC
벌인	벌이/VV+ㄴ/ETM
범죄임이	범죄/NNG+이/VCP+ㅁ/ETN+이/JKS
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.409.5.1
1932년 1월 일어난 ‘78만 원 도난사건’은 당시로서는 상상하기 힘든 액수로, 서민들의 혀를 내두르게 했다.

1932년	1932/SN+년/NNB
1월	1/SN+월/NNB
일어난	일어나/VV+ㄴ/ETM
