# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.374
metadata : {}


# id : NWRW1800000036.374.1.1
안상수·이동관·장광근 등“MB맨 공천 탈락땐…중대결단”

안상수·이동관·장광근	안상수/NNP+·/SP+이동관/NNP+·/SP+장광근/NNP
등“MB맨	등/NNB+“/SS+MB/SL+맨/NNG
공천	공천/NNG
탈락땐…중대결단”	탈락/NNG+때/NNG+ㄴ/JX+…/SE+중대/NNG+결단/NNG+”/SS


# id : NWRW1800000036.374.2.1
[한겨레] ‘무소속 출마’ 뜻 내보여

[한겨레]	[/SS+한겨레/NNP+]/SS
‘무소속	‘/SS+무/XPN+소속/NNG
출마’	출마/NNG+’/SS
뜻	뜻/NNG
내보여	내보이/VV+어/EF


# id : NWRW1800000036.374.3.1
새누리당의 본격적인 공천자 발표를 앞두고 친이명박계 공천 신청자들이 무소속 출마 가능성을 언급하고 나섰다.

새누리당의	새누리당/NNP+의/JKG
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
공천자	공천자/NNG
발표를	발표/NNG+를/JKO
앞두고	앞두/VV+고/EC
친이명박계	친/XPN+이명박/NNP+계/XSN
공천	공천/NNG
신청자들이	신청자/NNG+들/XSN+이/JKS
무소속	무/XPN+소속/NNG
출마	출마/NNG
가능성을	가능/NNG+성/XSN+을/JKO
언급하고	언급/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.374.3.2
18대 총선 당시의 ‘친박연대’ 대신 이번엔 ‘친이연대’가 뜨는 것 아니냐는 얘기도 나온다.

18대	18/SN+대/NNB
총선	총선/NNG
당시의	당시/NNG+의/JKG
‘친박연대’	‘/SS+친박연대/NNP+’/SS
대신	대신/NNG
이번엔	이번/NNG+에/JKB+ㄴ/JX
‘친이연대’가	‘/SS+친/XPN+이/NNP+연대/NNG+’/SS+가/JKS
뜨는	뜨/VV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
얘기도	얘기/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.374.4.1
안상수 전 대표는 1일 <시비에스> 라디오 프로그램에 나와 “(지역구인 경기) 의왕·과천 지역을 전략지역으로 선정한 것은 전혀 이해가 안 된다”며 “이런 불신이 자꾸 쌓이면 공천 탈락자들이 결국은 무소속 연대라도 만들어서 총선을 어렵게 할 수 있다”고 말했다.

안상수	안상수/NNP
전	전/MMD
대표는	대표/NNG+는/JX
1일	1/SN+일/NNB
<시비에스>	</SS+시비에스/NNP+>/SS
라디오	라디오/NNG
프로그램에	프로그램/NNG+에/JKB
나와	나오/VV+아/EC
“(지역구인	“/SS+(/SS+지역구/NNG+이/VCP+ㄴ/ETM
경기)	경기/NNP+)/SS
의왕·과천	의왕/NNP+·/SP+과천/NNP
지역을	지역/NNG+을/JKO
전략지역으로	전략/NNG+지역/NNG+으로/JKB
선정한	선정/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
전혀	전혀/MAG
이해가	이해/NNG+가/JKC
안	안/MAG
된다”며	되/VV+ㄴ다/EF+”/SS+며/EC
“이런	“/SS+이런/MMD
불신이	불신/NNG+이/JKS
자꾸	자꾸/MAG
쌓이면	쌓이/VV+면/EC
공천	공천/NNG
탈락자들이	탈락자/NNG+들/XSN+이/JKS
결국은	결국/NNG+은/JX
무소속	무/XPN+소속/NNG
연대라도	연대/NNG+이/VCP+라도/EC
만들어서	만들/VV+어서/EC
총선을	총선/NNG+을/JKO
어렵게	어렵/VA+게/EC
할	하/VX+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.374.4.2
그는 “엠비(MB)맨 이라고 공천이 안 되면 무소속으로 출마하겠다는 사람이 20~30명보다 많다”고 덧붙였다.

그는	그/NP+는/JX
“엠비(MB)맨	“/SS+엠비/NNP+(/SS+MB/SL+)/SS+맨/NNG
이라고	이라고/JKQ
공천이	공천/NNG+이/JKC
안	안/MAG
되면	되/VV+면/EC
무소속으로	무/XPN+소속/NNG+으로/JKB
출마하겠다는	출마/NNG+하/XSV+겠/EP+다는/ETM
사람이	사람/NNG+이/JKS
20~30명보다	20/SN+~/SO+30/SN+명/NNB+보다/JKB
많다”고	많/VA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.374.5.1
서울 종로에 공천신청을 한 이동관 전 청와대 홍보수석도 “불공정 경선이나 낙하산식 공천이 이뤄지면 중대결단을 할 수밖에 없다”며 무소속 출마 가능성을 표시했다.

서울	서울/NNP
종로에	종로/NNP+에/JKB
공천신청을	공천/NNG+신청/NNG+을/JKO
한	하/VV+ㄴ/ETM
이동관	이동관/NNP
전	전/MMD
청와대	청와대/NNP
홍보수석도	홍보/NNG+수석/NNG+도/JX
“불공정	“/SS+불/XPN+공정/NNG
경선이나	경선/NNG+이나/JC
낙하산식	낙하산식/NNG
공천이	공천/NNG+이/JKS
이뤄지면	이뤄지/VV+면/EC
중대결단을	중대/NNG+결단/NNG+을/JKO
할	하/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”며	없/VA+다/EF+”/SS+며/EC
무소속	무/XPN+소속/NNG
출마	출마/NNG
가능성을	가능/NNG+성/XSN+을/JKO
표시했다.	표시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.374.5.2
종로 역시 전략공천 가능성이 큰 곳으로 분류된다.

종로	종로/NNP
역시	역시/MAG
전략공천	전략/NNG+공천/NNG
가능성이	가능/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
곳으로	곳/NNG+으로/JKB
분류된다.	분류/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.374.5.3
장광근 의원(서울 동대문갑)도 1일 여의도 당사에서 불법정치자금 수수 혐의로 진행 중인 재판의 대법원 판결이 나오는 15일 이전에 당이 자신을 배제하고 공천을 확정하면 무소속 출마 가능성도 배제할 수 없다는 뜻을 밝혔다.

장광근	장광근/NNP
의원(서울	의원/NNG+(/SS+서울/NNP
동대문갑)도	동대문갑/NNP+)/SS+도/JX
1일	1/SN+일/NNB
여의도	여의도/NNP
당사에서	당사/NNG+에서/JKB
불법정치자금	불법/NNG+정치/NNG+자금/NNG
수수	수수/NNG
혐의로	혐의/NNG+로/JKB
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
재판의	재판/NNG+의/JKG
대법원	대/XPN+법원/NNG
판결이	판결/NNG+이/JKS
나오는	나오/VV+는/ETM
15일	15/SN+일/NNB
이전에	이전/NNG+에/JKB
당이	당/NNG+이/JKS
자신을	자신/NNG+을/JKO
배제하고	배제/NNG+하/XSV+고/EC
공천을	공천/NNG+을/JKO
확정하면	확정/NNG+하/XSV+면/EC
무소속	무/XPN+소속/NNG
출마	출마/NNG
가능성도	가능/NNG+성/XSN+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.374.6.1
친이계 인사들의 무소속 출마 언급은 3일께부터 본격적으로 나올 공천자 발표에 앞서 당 공천위원회를 압박하려는 의도가 담겨 있다.

친이계	친/XPN+이/NNP+계/XSN
인사들의	인사/NNG+들/XSN+의/JKG
무소속	무/XPN+소속/NNG
출마	출마/NNG
언급은	언급/NNG+은/JX
3일께부터	3/SN+일/NNB+께/XSN+부터/JX
본격적으로	본격/NNG+적/XSN+으로/JKB
나올	나오/VV+ㄹ/ETM
공천자	공천자/NNG
발표에	발표/NNG+에/JKB
앞서	앞서/VV+어/EC
당	당/NNG
공천위원회를	공천/NNG+위원회/NNG+를/JKO
압박하려는	압박/NNG+하/XSV+려는/ETM
의도가	의도/NNG+가/JKS
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.374.6.2
‘공천 탈락=정치 보복’으로 비치게 하려는 전략으로 보인다.

‘공천	‘/SS+공천/NNG
탈락=정치	탈락/NNG+=/SW+정치/NNG
보복’으로	보복/NNG+’/SS+으로/JKB
비치게	비치/VV+게/EC
하려는	하/VX+려는/ETM
전략으로	전략/NNG+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.374.7.1
그러나 당 안팎에선 이들이 무소속으로 출마한다고 해도 계파나 세력을 따로 거느리지 않아 파괴력이 크지 않을 것이란 전망이 많다.

그러나	그러나/MAJ
당	당/NNG
안팎에선	안팎/NNG+에서/JKB+ㄴ/JX
이들이	이/NP+들/XSN+이/JKS
무소속으로	무/XPN+소속/NNG+으로/JKB
출마한다고	출마/NNG+하/XSV+ㄴ다고/EC
해도	하/VV+아도/EC
계파나	계파/NNG+나/JC
세력을	세력/NNG+을/JKO
따로	따로/MAG
거느리지	거느리/VV+지/EC
않아	않/VX+아/EC
파괴력이	파괴력/NNG+이/JKS
크지	크/VA+지/EC
않을	않/VX+을/ETM
것이란	것/NNB+이/VCP+란/ETM
전망이	전망/NNG+이/JKS
많다.	많/VA+다/EF+./SF


