# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.233
metadata : {}


# id : NWRW1800000030.233.1.1
천재 가드 폴, 클리퍼스로… 볼만해진 LA 더비

천재	천재/NNG
가드	가드/NNG
폴,	폴/NNP+,/SP
클리퍼스로…	클리퍼스/NNP+로/JKB+…/SE
볼만해진	보/VV+ㄹ/ETM+만/NNB+하/XSA+아/EC+지/VX+ㄴ/ETM
LA	LA/SL
더비	더비/NNG


# id : NWRW1800000030.233.2.1
•어시스트·스틸왕 총 5번 오른 NBA 최고의 포인트 가드… 만년 하위 클리퍼스, 전력 상승 연습경기에서 레이커스 눌러

•어시스트·스틸왕	•/SW+어시스트/NNG+·/SP+스틸왕/NNG
총	총/MMA
5번	5/SN+번/NNB
오른	오르/VV+ㄴ/ETM
NBA	NBA/SL
최고의	최고/NNG+의/JKG
포인트	포인트/NNG
가드…	가드/NNG+…/SE
만년	만년/NNG
하위	하위/NNG
클리퍼스,	클리퍼스/NNP+,/SP
전력	전력/NNG
상승	상승/NNG
연습경기에서	연습/NNG+경기/NNG+에서/JKB
레이커스	레이커스/NNP
눌러	누르/VV+어/EF


# id : NWRW1800000030.233.3.1
수익금 배분을 둘러싼 '노사 갈등'을 빚었던 NBA(미 프로농구)가 우여곡절 끝에 뉴욕, LA 등 미국 5개 도시에서 크리스마스(한국시각으론 26일)에 막을 올린다.

수익금	수익금/NNG
배분을	배분/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
'노사	'/SS+노사/NNG
갈등'을	갈등/NNG+'/SS+을/JKO
빚었던	빚/VV+었/EP+던/ETM
NBA(미	NBA/SL+(/SS+미/NNP
프로농구)가	프로/NNG+농구/NNG+)/SS+가/JKS
우여곡절	우여곡절/NNG
끝에	끝/NNG+에/JKB
뉴욕,	뉴욕/NNP+,/SP
LA	LA/SL
등	등/NNB
미국	미국/NNP
5개	5/SN+개/NNB
도시에서	도시/NNG+에서/JKB
크리스마스(한국시각으론	크리스마스/NNG+(/SS+한국/NNP+시각/NNG+으로/JKB+ㄴ/JX
26일)에	26/SN+일/NNB+)/SS+에/JKB
막을	막/NNG+을/JKO
올린다.	올리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.233.3.2
개막이 예년에 비해 두 달 가까이 늦어지면서 종전 팀당 82경기에서 66경기로 리그 일정이 줄어들었다.

개막이	개막/NNG+이/JKS
예년에	예년/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
두	두/MMN
달	달/NNB
가까이	가까이/MAG
늦어지면서	늦어지/VV+면서/EC
종전	종전/NNG
팀당	팀/NNG+당/XSN
82경기에서	82/SN+경기/NNG+에서/JKB
66경기로	66/SN+경기/NNG+로/JKB
리그	리그/NNG
일정이	일정/NNG+이/JKS
줄어들었다.	줄어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.233.3.3
하지만 개막을 애타게 기다렸던 팬들에겐 반가운 소식이다.

하지만	하지만/MAJ
개막을	개막/NNG+을/JKO
애타게	애타/VV+게/EC
기다렸던	기다리/VV+었/EP+던/ETM
팬들에겐	팬/NNG+들/XSN+에게/JKB+ㄴ/JX
반가운	반갑/VA+ㄴ/ETM
소식이다.	소식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.233.4.1
한겨울 추위 속에서 뜨겁게 달아오를 도시는 레이커스와 클리퍼스가 연고지로 삼고 있는 로스앤젤레스다.

한겨울	한/XPN+겨울/NNG
추위	추위/NNG
속에서	속/NNG+에서/JKB
뜨겁게	뜨겁/VA+게/EC
달아오를	달아오르/VV+ㄹ/ETM
도시는	도시/NNG+는/JX
레이커스와	레이커스/NNP+와/JC
클리퍼스가	클리퍼스/NNP+가/JKS
연고지로	연고지/NNG+로/JKB
삼고	삼/VV+고/EC
있는	있/VX+는/ETM
로스앤젤레스다.	로스앤젤레스/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000030.233.4.2
