# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.238
metadata : {}


# id : NWRW1800000029.238.1.1
법정으로 가는 ‘不孝’… “자식에게 생활비 받아달라” 소송 9년새 3배로 늘어

법정으로	법정/NNG+으로/JKB
가는	가/VV+는/ETM
‘不孝’…	‘/SS+不孝/SH+’/SS+…/SE
“자식에게	“/SS+자식/NNG+에게/JKB
생활비	생활비/NNG
받아달라”	받/VV+아/EC+달/VX+라/EF+”/SS
소송	소송/NNG
9년새	9/SN+년/NNB+새/NNG
3배로	3/SN+배/NNG+로/JKB
늘어	늘/VV+어/EF


# id : NWRW1800000029.238.2.1
“연 끊었으니 복지급여 달라” 소송… 大法지급 판결

“연	“/SS+연/NNG
끊었으니	끊/VV+었/EP+으니/EC
복지급여	복지/NNG+급여/NNG
달라”	달/VV+라/EF+”/SS
소송…	소송/NNG+…/SE
大法지급	大法/SH+지급/NNG
판결	판결/NNG


# id : NWRW1800000029.238.3.1
전통적 효(孝) 사상이 갈수록 옅어지고 가족해체가 가속화하면서 자식이 부모를 부양하는 문제를 둘러싼 법적다툼이 늘고 있다.

전통적	전통/NNG+적/XSN
효(孝)	효/NNG+(/SS+孝/SH+)/SS
사상이	사상/NNG+이/JKS
갈수록	갈수록/MAG
옅어지고	옅/VA+어/EC+지/VX+고/EC
가족해체가	가족/NNG+해체/NNG+가/JKS
가속화하면서	가속/NNG+화/XSN+하/XSV+면서/EC
자식이	자식/NNG+이/JKS
부모를	부모/NNG+를/JKO
부양하는	부양/NNG+하/XSV+는/ETM
문제를	문제/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
법적다툼이	법/NNG+적/XSN+다툼/NNG+이/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.238.4.1
대법원 1부(주심 이인복 대법관)는 생계가 곤란한데도 주민등록상 부양 의무자가 있다는 이유로 사회복지서비스와 급여 제공을 거절당한 권모 씨(68·여)가 대구 달서구청장을 상대로 낸 사회복지서비스 및 급여 부적합결정처분 취소청구소송 상고심에서 권 씨의 손을 들어줬다고 30일 밝혔다.

대법원	대/XPN+법원/NNG
1부(주심	1/SN+부/NNG+(/SS+주심/NNG
이인복	이인복/NNP
대법관)는	대/XPN+법관/NNG+)/SS+는/JX
생계가	생계/NNG+가/JKS
곤란한데도	곤란/NNG+하/XSA+ㄴ데/EC+도/JX
주민등록상	주민/NNG+등록/NNG+상/XSN
부양	부양/NNG
의무자가	의무자/NNG+가/JKS
있다는	있/VA+다는/ETM
이유로	이유/NNG+로/JKB
사회복지서비스와	사회/NNG+복지/NNG+서비스/NNG+와/JC
급여	급여/NNG
제공을	제공/NNG+을/JKO
거절당한	거절/NNG+당하/XSV+ㄴ/ETM
권모	권/NNP+모/NP
씨(68·여)가	씨/NNB+(/SS+68/SN+·/SP+여/NNG+)/SS+가/JKS
대구	대구/NNP
달서구청장을	달서구청장/NNG+을/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
사회복지서비스	사회/NNG+복지/NNG+서비스/NNG
및	및/MAG
부적합결정처분	부/XPN+적합/NNG+결정/NNG+처분/NNG
취소청구소송	취소/NNG+청구/NNG+소송/NNG
상고심에서	상고심/NNG+에서/JKB
권	권/NNP
씨의	씨/NNB+의/JKG
손을	손/NNG+을/JKO
들어줬다고	들/VV+어/EC+주/VX+었/EP+다고/EC
30일	30/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.238.5.1
권 씨는 남편의 사업 부도로 생계가 어렵게 되자 지난해 4월 달서구에 사회복지서비스 제공을 신청했지만 거부당했다.

권	권/NNP
씨는	씨/NNB+는/JX
남편의	남편/NNG+의/JKG
사업	사업/NNG
부도로	부도/NNG+로/JKB
생계가	생계/NNG+가/JKS
어렵게	어렵/VA+게/EC
되자	되/VV+자/EC
지난해	지난해/NNG
4월	4/SN+월/NNB
달서구에	달서구/NNP+에/JKB
사회복지서비스	사회/NNG+복지/NNG+서비스/NNG
제공을	제공/NNG+을/JKO
