# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.9
metadata : {}


# id : NWRW1800000022.9.1.1
"국가 대표로 누군가를 설득하는 경험에 매료됐어요";제1회 아시아청소년모의국회(AYP) 참가해보니…

"국가	"/SS+국가/NNG
대표로	대표/NNG+로/JKB
누군가를	누구/NP+이/VCP+ㄴ가/EF+를/JKO
설득하는	설득/NNG+하/XSV+는/ETM
경험에	경험/NNG+에/JKB
매료됐어요";제1회	매료/NNG+되/XSV+었/EP+어요/EF+"/SS+;/SP+제/XPN+1/SN+회/NNB
아시아청소년모의국회(AYP)	아시아/NNP+청소년/NNG+모의/NNG+국회/NNG+(/SS+AYP/SL+)/SS
참가해보니…	참가/NNG+하/XSV+아/EC+보/VX+니/EC+…/SE


# id : NWRW1800000022.9.2.1
“팀을 이뤄 국정현안, 사회적 이슈 등을 주제로 밤새 연구하고 토론하는 것이 좋았어요.

“팀을	“/SS+팀/NNG+을/JKO
이뤄	이루/VV+어/EC
국정현안,	국정/NNG+현안/NNG+,/SP
사회적	사회/NNG+적/XSN
이슈	이슈/NNG
등을	등/NNB+을/JKO
주제로	주제/NNG+로/JKB
밤새	밤새/NNG
연구하고	연구/NNG+하/XSV+고/EC
토론하는	토론/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
좋았어요.	좋/VA+았/EP+어요/EF+./SF


# id : NWRW1800000022.9.2.2
제 의견을 내세우면서 누군가를 설득한다는 색다른 경험에 가슴 뛰었죠.

제	저/NP+의/JKG
의견을	의견/NNG+을/JKO
내세우면서	내세우/VV+면서/EC
누군가를	누구/NP+이/VCP+ㄴ가/EF+를/JKO
설득한다는	설득/NNG+하/XSV+ㄴ다는/ETM
색다른	색다르/VA+ㄴ/ETM
경험에	경험/NNG+에/JKB
가슴	가슴/NNG
뛰었죠.	뛰/VV+었/EP+죠/EF+./SF


# id : NWRW1800000022.9.2.3
또 흔히 하는 영어회화가 아니라 국제회의 등에서 사용되는 격식 있는 영어를 배우고 말하면서 영어 실력도 더 성숙해졌어요.”

또	또/MAG
흔히	흔히/MAG
하는	하/VV+는/ETM
영어회화가	영어/NNP+회화/NNG+가/JKC
아니라	아니/VCN+라/EC
국제회의	국제회의/NNG
등에서	등/NNB+에서/JKB
사용되는	사용/NNG+되/XSV+는/ETM
격식	격식/NNG
있는	있/VA+는/ETM
영어를	영어/NNP+를/JKO
배우고	배우/VV+고/EC
말하면서	말/NNG+하/XSV+면서/EC
영어	영어/NNP
실력도	실력/NNG+도/JX
더	더/MAG
성숙해졌어요.”	성숙/NNG+하/XSA+아/EC+지/VX+었/EP+어요/EF+./SF+”/SS


# id : NWRW1800000022.9.3.1
지난 1월 2일부터 사흘간 서울 코엑스에서 열린 제1회 아시아청소년모의국회(Asia Youth Parliament, 이하 AYP).

지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
2일부터	2/SN+일/NNB+부터/JX
사흘간	사흘/NNG+간/XSN
서울	서울/NNP
코엑스에서	코엑스/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
제1회	제/XPN+1/SN+회/NNB
아시아청소년모의국회(Asia	아시아/NNP+청소년/NNG+모의/NNG+국회/NNG+(/SS+Asia/SL
Youth	Youth/SL
Parliament,	Parliament/SL+,/SP
이하	이하/NNG
AYP).	AYP/SL+)/SS+./SF


# id : NWRW1800000022.9.3.2
조선일보와 ㈜맛있는공부가 주최하는 AYP는 중·고생들이 모여 국내외 정치, 경제, 사회, 외교 등의 시사이슈들을 토론하고 법안을 상정하는 등 시뮬레이션을 통해 국회를 경험해보는 회의.

조선일보와	조선일보/NNP+와/JC
㈜맛있는공부가	㈜/SW+맛있는공부/NNP+가/JKS
주최하는	주최/NNG+하/XSV+는/ETM
AYP는	AYP/SL+는/JX
중·고생들이	중·고생/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
국내외	국내외/NNG
정치,	정치/NNG+,/SP
경제,	경제/NNG+,/SP
사회,	사회/NNG+,/SP
외교	외교/NNG
등의	등/NNB+의/JKG
시사이슈들을	시사/NNG+이슈/NNG+들/XSN+을/JKO
토론하고	토론/NNG+하/XSV+고/EC
법안을	법안/NNG+을/JKO
상정하는	상정/NNG+하/XSV+는/ETM
등	등/NNB
시뮬레이션을	시뮬레이션/NNG+을/JKO
통해	통하/VV+아/EC
국회를	국회/NNG+를/JKO
경험해보는	경험/NNG+하/XSV+아/EC+보/VX+는/ETM
회의.	회의/NNG+./SF


# id : NWRW1800000022.9.3.3
모든 과정은 국제회의에 의거한 정통 영어 토론방식으로 진행됐다.

모든	모든/MMN
과정은	과정/NNG+은/JX
국제회의에	국제회의/NNG+에/JKB
의거한	의거/NNG+하/XSV+ㄴ/ETM
정통	정통/NNG
영어	영어/NNP
토론방식으로	토론/NNG+방식/NNG+으로/JKB
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.9.3.4
3일간 진행된 AYP에서 수상자로 선정된 백혜린(19·민사고3)양, 김현규(18·민사고2)군, 정재원(18·민사고2)양, 박성우(17·용인외고1)군은 AYP에서 빼어난 영어토론실력을 선보였다.

3일간	3/SN+일/NNB+간/XSN
진행된	진행/NNG+되/XSV+ㄴ/ETM
AYP에서	AYP/SL+에서/JKB
수상자로	수상자/NNG+로/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
백혜린(19·민사고3)양,	백혜린/NNP+(/SS+19/SN+·/SP+민사고/NNP+3/SN+)/SS+양/NNB+,/SP
김현규(18·민사고2)군,	김현규/NNP+(/SS+18/SN+·/SP+민사고/NNP+2/SN+)/SS+군/NNB+,/SP
정재원(18·민사고2)양,	정재원/NNP+(/SS+18/SN+·/SP+민사고/NNP+2/SN+)/SS+양/NNB+,/SP
박성우(17·용인외고1)군은	박성우/NNP+(/SS+17/SN+·/SP+용인외고/NNP+1/SN+)/SS+군/NNB+은/JX
빼어난	빼어나/VA+ㄴ/ETM
영어토론실력을	영어/NNP+토론/NNG+실력/NNG+을/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.9.4.1
이들은 AYP뿐 아니라 서울모의유엔회의(MUNOS), 국제모의유엔회의(THIMUN) 등 다양한 모의회의에 참가 경력이 있는 실력파.

이들은	이/NP+들/XSN+은/JX
AYP뿐	AYP/SL+뿐/JX
아니라	아니/VCN+라/EC
서울모의유엔회의(MUNOS),	서울/NNP+모의/NNG+유엔/NNP+회의/NNG+(/SS+MUNOS/SL+)/SS+,/SP
