# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.91
metadata : {}


# id : NWRW1800000038.91.1.1
김민기·김광석 생각나는 편안한 목소리

김민기·김광석	김민기/NNP+·/SP+김광석/NNP
생각나는	생각나/VV+는/ETM
편안한	편안/NNG+하/XSA+ㄴ/ETM
목소리	목소리/NNG


# id : NWRW1800000038.91.2.1
포크 싱어송라이터 김목인, 두 번째 앨범 '한 다발의 시선'… 일기 같은 얘기에 멜로디 얹어

포크	포크/NNG
싱어송라이터	싱어송라이터/NNG
김목인,	김목인/NNP+,/SP
두	두/MMN
번째	번/NNB+째/XSN
앨범	앨범/NNG
'한	'/SS+한/MMN
다발의	다발/NNG+의/JKG
시선'…	시선/NNG+'/SS+…/SE
일기	일기/NNG
같은	같/VA+은/ETM
얘기에	얘기/NNG+에/JKB
멜로디	멜로디/NNG
얹어	얹/VV+어/EF


# id : NWRW1800000038.91.3.1
김목인이 2년 전 첫 앨범 '음악가 자신의 노래'를 내놓았을 때 소박하고 고졸(古拙)한 1980년대 포크송들이 생각났다.

김목인이	김목인/NNP+이/JKS
2년	2/SN+년/NNB
전	전/MMD
첫	첫/MMN
앨범	앨범/NNG
'음악가	'/SS+음악가/NNG
자신의	자신/NNG+의/JKG
노래'를	노래/NNG+'/SS+를/JKO
내놓았을	내놓/VV+았/EP+을/ETM
때	때/NNG
소박하고	소박하/VA+고/EC
고졸(古拙)한	고졸/XR+(/SS+古拙/SH+)/SS+하/XSA+ㄴ/ETM
1980년대	1980/SN+년대/NNB
포크송들이	포크/NNG+송/NNG+들/XSN+이/JKS
생각났다.	생각나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.91.3.2
김민기와 동물원, 김광석을 동시에 떠올리게 하는 이 싱어송라이터의 음악은 까치발을 들고 아우성치는 음악들 사이에 혼자 웅크리고 앉아 있는 것 같았다.

김민기와	김민기/NNP+와/JC
동물원,	동물원/NNP+,/SP
김광석을	김광석/NNP+을/JKO
동시에	동시/NNG+에/JKB
떠올리게	떠올리/VV+게/EC
하는	하/VX+는/ETM
이	이/MMD
싱어송라이터의	싱어송라이터/NNG+의/JKG
음악은	음악/NNG+은/JX
까치발을	까치발/NNG+을/JKO
들고	들/VV+고/EC
아우성치는	아우성치/VV+는/ETM
음악들	음악/NNG+들/XSN
사이에	사이/NNG+에/JKB
혼자	혼자/MAG
웅크리고	웅크리/VV+고/EC
앉아	앉/VV+아/EC
있는	있/VX+는/ETM
것	것/NNB
같았다.	같/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.91.4.1
'나무 같은 사람이 돼라'는 뜻의 이름(木人)을 가진 이 서른다섯 살 음악가가 두 번째 앨범 '한 다발의 시선'을 발표했다.

'나무	'/SS+나무/NNG
같은	같/VA+은/ETM
사람이	사람/NNG+이/JKC
돼라'는	되/VV+어라/EF+'/SS+는/ETM
뜻의	뜻/NNG+의/JKG
이름(木人)을	이름/NNG+(/SS+木人/SH+)/SS+을/JKO
가진	가지/VV+ㄴ/ETM
이	이/MMD
서른다섯	서른다섯/NR
살	살/NNB
음악가가	음악가/NNG+가/JKS
두	두/MMN
번째	번/NNB+째/XSN
앨범	앨범/NNG
'한	'/SS+한/MMN
다발의	다발/NNG+의/JKG
시선'을	시선/NNG+'/SS+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.91.4.2
나무로 된 악기들(피아노, 기타, 첼로, 바이올린, 콘트라베이스)을 주축으로 만든 그의 신곡들은 오래된 가구 같은 음색에 실려 깊고 편안한 울림을 준다.

나무로	나무/NNG+로/JKB
된	되/VV+ㄴ/ETM
악기들(피아노,	악기/NNG+들/XSN+(/SS+피아노/NNG+,/SP
기타,	기타/NNG+,/SP
첼로,	첼로/NNG+,/SP
바이올린,	바이올린/NNG+,/SP
콘트라베이스)을	콘트라베이스/NNG+)/SS+을/JKO
주축으로	주축/NNG+으로/JKB
만든	만들/VV+ㄴ/ETM
그의	그/NP+의/JKG
신곡들은	신곡/NNG+들/XSN+은/JX
오래된	오래/MAG+되/XSA+ㄴ/ETM
가구	가구/NNG
같은	같/VA+은/ETM
음색에	음색/NNG+에/JKB
실려	실리/VV+어/EC
깊고	깊/VA+고/EC
편안한	편안/NNG+하/XSA+ㄴ/ETM
울림을	울림/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.91.4.3
멜로디는 종종 동요처럼 단순하거나 뮤지컬 음악처럼 들린다.

멜로디는	멜로디/NNG+는/JX
종종	종종/MAG
동요처럼	동요/NNG+처럼/JKB
단순하거나	단순/NNG+하/XSA+거나/EC
뮤지컬	뮤지컬/NNG
음악처럼	음악/NNG+처럼/JKB
들린다.	들리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.91.4.4
이내 이런 음악이 오래전부터 있었음을 깨닫는다.

이내	이내/MAG
이런	이런/MMD
음악이	음악/NNG+이/JKS
오래전부터	오래전/NNG+부터/JX
있었음을	있/VA+었/EP+음/ETN+을/JKO
깨닫는다.	깨닫/VV+는다/EF+./SF


# id : NWRW1800000038.91.4.5
음악은 귀에 낀 전자음의 더께를 걷어내 준다.

음악은	음악/NNG+은/JX
귀에	귀/NNG+에/JKB
낀	끼/VV+ㄴ/ETM
전자음의	전자음/NNG+의/JKG
더께를	더께/NNG+를/JKO
걷어내	걷/VV+어/EC+내/VX+어/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.91.4.6
상쾌한 음악 체험이다.

상쾌한	상쾌하/VA+ㄴ/ETM
음악	음악/NNG
체험이다.	체험/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.91.5.1
지난 8일 서울 서교동 한 카페에서 김목인을 만났을 때 그의 외모가 '80년대적'이어서 약간 놀랐다.

지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
서울	서울/NNP
서교동	서교동/NNP
한	한/MMN
카페에서	카페/NNG+에서/JKB
김목인을	김목인/NNP+을/JKO
만났을	만나/VV+았/EP+을/ETM
때	때/NNG
그의	그/NP+의/JKG
외모가	외모/NNG+가/JKS
'80년대적'이어서	'/SS+80/SN+년대/NNB+적/XSN+'/SS+이/VCP+어서/EC
약간	약간/MAG
놀랐다.	놀라/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.91.5.2
유행 타지 않는 옷차림과 머리 모양, 그리고 이십 몇년 전 마주쳤던 것 같은 얼굴이었다.

유행	유행/NNG
타지	타/VV+지/EC
않는	않/VX+는/ETM
옷차림과	옷차림/NNG+과/JKB
머리	머리/NNG
모양,	모양/NNG+,/SP
그리고	그리고/MAJ
이십	이십/NR
몇년	몇/NR+년/NNB
전	전/NNG
마주쳤던	마주치/VV+었/EP+던/ETM
것	것/NNB
같은	같/VA+은/ETM
얼굴이었다.	얼굴/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.91.5.3
그는 고려대 신문방송학과를 3년까지 다니고 중퇴했는데, "음악을 하기 위해서라기보다 학교에 다닐 이유가 별반 없어서" 그랬다고 했다.

그는	그/NP+는/JX
고려대	고려대/NNP
신문방송학과를	신문/NNG+방송학과/NNG+를/JKO
3년까지	3/SN+년/NNB+까지/JX
다니고	다니/VV+고/EC
중퇴했는데,	중퇴/NNG+하/XSV+았/EP+는데/EC+,/SP
"음악을	"/SS+음악/NNG+을/JKO
하기	하/VV+기/ETN
위해서라기보다	위하/VV+아서/EC+이/VCP+라기/ETN+보다/JKB
학교에	학교/NNG+에/JKB
다닐	다니/VV+ㄹ/ETM
이유가	이유/NNG+가/JKS
별반	별반/MAG
없어서"	없/VA+어서/EC+"/SS
그랬다고	그러/VV+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.91.5.4
대학 때는 지독한 영화광이었고 영화 연출가를 꿈꿨으나 우연히 음악의 길에 들어섰다.

대학	대학/NNG
때는	때/NNG+는/JX
지독한	지독하/VA+ㄴ/ETM
영화광이었고	영화/NNG+광/XSN+이/VCP+었/EP+고/EC
영화	영화/NNG
연출가를	연출가/NNG+를/JKO
