# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.402
metadata : {}


# id : NWRW1800000024.402.1.1
대우인터내셔널, 내년 상반기 주인 찾는다

대우인터내셔널,	대우인터내셔널/NNP+,/SP
내년	내년/NNG
상반기	상반기/NNG
주인	주인/NNG
찾는다	찾/VV+는다/EF


# id : NWRW1800000024.402.2.1
대우인터내셔널 매각 작업이 본격적으로 시작되면서 내년 상반기까지는 새 주인을 찾을 수 있을 것으로 보인다.

대우인터내셔널	대우인터내셔널/NNP
매각	매각/NNG
작업이	작업/NNG+이/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
시작되면서	시작/NNG+되/XSV+면서/EC
내년	내년/NNG
상반기까지는	상반기/NNG+까지/JX+는/JX
새	새/MMA
주인을	주인/NNG+을/JKO
찾을	찾/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.402.3.1
4일 자산관리공사(캠코)와 공적자금관리위원회 등에 따르면 캠코는 지난달 말 대우인터내셔널 매각 주간사로 ‘삼정케이피엠지(KPMG)-메릴린치 컨소시엄’을 선정하고 주요 매각 일정을 확정했다.

4일	4/SN+일/NNB
자산관리공사(캠코)와	자산관리공사/NNP+(/SS+캠코/NNP+)/SS+와/JC
공적자금관리위원회	공/NNG+적/XSN+자금/NNG+관리/NNG+위원회/NNG
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
캠코는	캠코/NNP+는/JX
지난달	지난달/NNG
말	말/NNB
대우인터내셔널	대우인터내셔널/NNP
매각	매각/NNG
주간사로	주간사/NNG+로/JKB
‘삼정케이피엠지(KPMG)-메릴린치	‘/SS+삼정케이피엠지/NNP+(/SS+KPMG/SL+)/SS+-/SO+메릴린치/NNP
컨소시엄’을	컨소시엄/NNG+’/SS+을/JKO
선정하고	선정/NNG+하/XSV+고/EC
주요	주요/NNG
일정을	일정/NNG+을/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.402.3.2
캠코는 이달 중 법무법인과 회계법인이 선정되면 한달간 실사를 진행한 뒤 12월 중에 매각 공고를 낼 계획이다.

캠코는	캠코/NNP+는/JX
이달	이달/NNG
중	중/NNB
법무법인과	법무/NNG+법인/NNG+과/JC
회계법인이	회계/NNG+법인/NNG+이/JKS
선정되면	선정/NNG+되/XSV+면/EC
한달간	한/MMN+달/NNB+간/XSN
실사를	실사/NNG+를/JKO
진행한	진행/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
12월	12/SN+월/NNB
중에	중/NNB+에/JKB
매각	매각/NNG
공고를	공고/NNG+를/JKO
낼	내/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.402.3.3
캠코는 내년 1~2월에 투자자들로부터 인수의향서를 접수한 뒤, 예비실사·본입찰 등의 절차를 거쳐 3~4월께 우선협상 대상자를 선정할 방침이다.

캠코는	캠코/NNP+는/JX
내년	내년/NNG
1~2월에	1/SN+~/SO+2/SN+월/NNB+에/JKB
투자자들로부터	투자자/NNG+들/XSN+로부터/JKB
인수의향서를	인수/NNG+의향서/NNG+를/JKO
접수한	접수/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
예비실사·본입찰	예비/NNG+실사/NNG+·/SP+본입찰/NNG
등의	등/NNB+의/JKG
절차를	절차/NNG+를/JKO
거쳐	거치/VV+어/EC
3~4월께	3/SN+~/SO+4/SN+월/NNB+께/XSN
우선협상	우선/NNG+협상/NNG
대상자를	대상자/NNG+를/JKO
선정할	선정/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.402.3.4
캠코는 양해각서 체결·정밀실사 등을 진행한 뒤 6월 말까지는 매각을 완료할 수 있을 것으로 전망하고 있다.

캠코는	캠코/NNP+는/JX
양해각서	양해/NNG+각서/NNG
체결·정밀실사	체결/NNG+·/SP+정밀/NNG+실사/NNG
등을	등/NNB+을/JKO
진행한	진행/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
6월	6/SN+월/NNB
말까지는	말/NNB+까지/JX+는/JX
매각을	매각/NNG+을/JKO
완료할	완료/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
전망하고	전망/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.402.4.1
대우인터내셔널 인수 대상자로는 인수 의향을 이미 공식적으로 밝힌 포스코를 포함해 한화그룹, 에스케이(SK)그룹, 지에스(GS)그룹 등이 잠재적인 후보자로 거론되고 있다.

대우인터내셔널	대우인터내셔널/NNP
인수	인수/NNG
대상자로는	대상자/NNG+로/JKB+는/JX
의향을	의향/NNG+을/JKO
이미	이미/MAG
공식적으로	공식/NNG+적/XSN+으로/JKB
밝힌	밝히/VV+ㄴ/ETM
포스코를	포스코/NNP+를/JKO
포함해	포함/NNG+하/XSV+아/EC
한화그룹,	한화그룹/NNP+,/SP
에스케이(SK)그룹,	에스케이/NNP+(/SS+SK/SL+)/SS+그룹/NNG+,/SP
지에스(GS)그룹	지에스/NNP+(/SS+GS/SL+)/SS+그룹/NNG
등이	등/NNB+이/JKS
잠재적인	잠재/NNG+적/XSN+이/VCP+ㄴ/ETM
후보자로	후보자/NNG+로/JKB
거론되고	거론/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


