# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.184
metadata : {}


# id : NWRW1800000048.184.1.1
‘심산상’에 김중배 선생…“민주화 희망 살린 명칼럼 평가”

‘심산상’에	‘/SS+심산상/NNP+’/SS+에/JKB
김중배	김중배/NNP
선생…“민주화	선생/NNG+…/SE+“/SS+민주/NNG+화/XSN
희망	희망/NNG
살린	살리/VV+ㄴ/ETM
명칼럼	명칼럼/NNG
평가”	평가/NNG+”/SS


# id : NWRW1800000048.184.2.1
김창숙 선생 기려 9년만에 선정

김창숙	김창숙/NNP
선생	선생/NNG
기려	기리/VV+어/EC
9년만에	9/SN+년/NNB+만/NNB+에/JKB
선정	선정/NNG


# id : NWRW1800000048.184.3.1
김중배(81) 전 한겨레신문사 사장이 9년 만에 시상을 재개한 심산상의 수상자로 뽑혔다고 심산김창숙연구회(회장 김정탁)가 4일 밝혔다.

김중배(81)	김중배/NNP+(/SS+81/SN+)/SS
전	전/MMD
한겨레신문사	한겨레신문사/NNP
사장이	사장/NNG+이/JKS
9년	9/SN+년/NNB
만에	만/NNB+에/JKB
시상을	시상/NNG+을/JKO
재개한	재개/NNG+하/XSV+ㄴ/ETM
심산상의	심산상/NNP+의/JKG
수상자로	수상자/NNG+로/JKB
뽑혔다고	뽑히/VV+었/EP+다고/EC
심산김창숙연구회(회장	심산김창숙연구회/NNP+(/SS+회장/NNG
김정탁)가	김정탁/NNP+)/SS+가/JKS
4일	4/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.184.4.1
독립운동가이자 성균관대 초대 총장을 지낸 심산 김창숙 선생을 기려 1986년 제정된 심산상은 2006년 리영희 선생을 17회 수상자로 발표한 이후 8년 동안 시상을 중단했다.

독립운동가이자	독립운동가/NNG+이/VCP+자/EC
성균관대	성균관대/NNP
초대	초대/NNG
총장을	총장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
심산	심산/NNP
김창숙	김창숙/NNP
선생을	선생/NNG+을/JKO
기려	기리/VV+어/EC
1986년	1986/SN+년/NNB
제정된	제정/NNG+되/XSV+ㄴ/ETM
심산상은	심산상/NNP+은/JX
2006년	2006/SN+년/NNB
리영희	리영희/NNP
17회	17/SN+회/NNB
수상자로	수상자/NNG+로/JKB
발표한	발표/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
8년	8/SN+년/NNB
동안	동안/NNG
시상을	시상/NNG+을/JKO
중단했다.	중단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.184.4.2
시상식은 13일 성균관대 명륜동 캠퍼스 국제관에서 열린다.

시상식은	시상식/NNG+은/JX
13일	13/SN+일/NNB
성균관대	성균관대/NNP
명륜동	명륜동/NNP
캠퍼스	캠퍼스/NNG
