# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.29
metadata : {}


# id : NWRW1800000054.29.1.1
죽음 앞둔 간암 말기 류샤오보, 왜 "외국 가겠다" 고집부릴까

죽음	죽음/NNG
앞둔	앞두/VV+ㄴ/ETM
간암	간암/NNG
말기	말기/NNG
류샤오보,	류샤오보/NNP+,/SP
왜	왜/MAG
"외국	"/SS+외국/NNG
가겠다"	가/VV+겠/EP+다/EF+"/SS
고집부릴까	고집부리/VV+ㄹ까/EF


# id : NWRW1800000054.29.2.1
지인들 "부부가 해외로 가면 아내가 자유 얻는다고 생각해"

지인들	지인/NNG+들/XSN
"부부가	"/SS+부부/NNG+가/JKS
해외로	해외/NNG+로/JKB
가면	가/VV+면/EC
아내가	아내/NNG+가/JKS
자유	자유/NNG
얻는다고	얻/VV+는다고/EC
생각해"	생각/NNG+하/XSV+아/EF+"/SS


# id : NWRW1800000054.29.3.1
중국 반(反)체제 인사 류샤오보(劉曉波·62)가 말기 간암으로 사경을 헤매면서도 해외 치료를 고집하는 것은 아내 류샤(劉霞·56)를 향한 사랑 때문이라고 홍콩 사우스차이나모닝포스트(SCMP)가 11일(현지 시각) 보도했다.

중국	중국/NNP
반(反)체제	반/XPN+(/SS+反/SH+)/SS+체제/NNG
인사	인사/NNG
류샤오보(劉曉波·62)가	류샤오보/NNP+(/SS+劉曉波/SH+·/SP+62/SN+)/SS+가/JKS
말기	말기/NNG
간암으로	간암/NNG+으로/JKB
사경을	사경/NNG+을/JKO
헤매면서도	헤매/VV+면서/EC+도/JX
해외	해외/NNG
치료를	치료/NNG+를/JKO
고집하는	고집/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
아내	아내/NNG
류샤(劉霞·56)를	류샤/NNP+(/SS+劉霞/SH+·/SP+56/SN+)/SS+를/JKO
향한	향하/VV+ㄴ/ETM
사랑	사랑/NNG
때문이라고	때문/NNB+이/VCP+라고/EC
홍콩	홍콩/NNP
사우스차이나모닝포스트(SCMP)가	사우스차이나모닝포스트/NNP+(/SS+SCMP/SL+)/SS+가/JKS
11일(현지	11/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.29.4.1
SCMP는 류샤오보의 친구들을 인용해 "류샤오보가 살 날이 얼마 남지 않은 지금도 해외에서 치료받기를 간절히 바라고 있다"며 "그가 중국을 떠나고 싶어 하는 것은 아내가 함께 나가 자유로운 나라에서 살길 바라기 때문"이라고 전했다.

SCMP는	SCMP/SL+는/JX
류샤오보의	류샤오보/NNP+의/JKG
친구들을	친구/NNG+들/XSN+을/JKO
인용해	인용/NNG+하/XSV+아/EC
"류샤오보가	"/SS+류샤오보/NNP+가/JKS
살	살/VV+ㄹ/ETM
날이	날/NNG+이/JKS
얼마	얼마/NNG
남지	남/VV+지/EC
않은	않/VX+은/ETM
지금도	지금/NNG+도/JX
해외에서	해외/NNG+에서/JKB
