# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.388
metadata : {}


# id : NWRW1800000054.388.1.1
"北, ICBM 최종단계 '3단 엔진' 시험한 듯"

"北,	"/SS+北/SH+,/SP
ICBM	ICBM/SL
최종단계	최종/NNG+단계/NNG
'3단	'/SS+3/SN+단/NNB
엔진'	엔진/NNG+'/SS
시험한	시험/NNG+하/XSV+ㄴ/ETM
듯"	듯/NNB+"/SS


# id : NWRW1800000054.388.2.1
美본토 타격 기술에 한층 다가서… 대기권 재진입 시험도 할 가능성

美본토	美/SH+본토/NNG
타격	타격/NNG
기술에	기술/NNG+에/JKB
한층	한층/MAG
다가서…	다가서/VV+어/EC+…/SE
대기권	대기/NNG+권/XSN
재진입	재/XPN+진입/NNG
시험도	시험/NNG+도/JX
할	하/VV+ㄹ/ETM
가능성	가능/NNG+성/XSN


# id : NWRW1800000054.388.3.1
북한이 지난 22일 ICBM(대륙간탄도미사일)의 1~3단 엔진 중 최종 단계인 3단 엔진 연소 시험을 실시했을 가능성이 높다고 로이터와 AFP 등이 23일 보도했다.

북한이	북한/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
22일	22/SN+일/NNB
ICBM(대륙간탄도미사일)의	ICBM/SL+(/SS+대륙/NNG+간/NNB+탄도/NNG+미사일/NNG+)/SS+의/JKG
1~3단	1/SN+~/SO+3/SN+단/NNB
엔진	엔진/NNG
중	중/NNB
최종	최종/NNG
단계인	단계/NNG+이/VCP+ㄴ/ETM
3단	3/SN+단/NNB
연소	연소/NNG
시험을	시험/NNG+을/JKO
실시했을	실시/NNG+하/XSV+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다고	높/VA+다고/EC
로이터와	로이터/NNP+와/JC
AFP	AFP/SL
등이	등/NNB+이/JKS
23일	23/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.388.4.1
외신들은 복수의 미 정부 당국자를 인용해 "북한이 22일 평안북도 철산군 동창리 장거리 미사일 발사장에서 ICBM 로켓 엔진 시험을 실시했다"며 "미국은 이번 시험이 ICBM의 최종 단계 엔진을 위한 것으로 평가하고 있다"고 했다.

외신들은	외신/NNG+들/XSN+은/JX
복수의	복수/NNG+의/JKG
미	미/NNP
정부	정부/NNG
당국자를	당국자/NNG+를/JKO
인용해	인용/NNG+하/XSV+아/EC
"북한이	"/SS+북한/NNP+이/JKS
22일	22/SN+일/NNB
평안북도	평안북도/NNP
철산군	철산군/NNP
동창리	동창리/NNP
장거리	장거리/NNG
미사일	미사일/NNG
발사장에서	발사장/NNG+에서/JKB
ICBM	ICBM/SL
로켓	로켓/NNG
엔진	엔진/NNG
시험을	시험/NNG+을/JKO
실시했다"며	실시/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"미국은	"/SS+미국/NNP+은/JX
이번	이번/NNG
시험이	시험/NNG+이/JKS
ICBM의	ICBM/SL+의/JKG
최종	최종/NNG
단계	단계/NNG
엔진을	엔진/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
평가하고	평가/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.388.4.2
북한은 지난 3월 ICBM 1단 엔진에 사용될 수 있는 신형 엔진 연소 시험에 성공해, 이번 시험에 성공했을 경우 ICBM 완성에 더 다가선 것으로 분석된다.

북한은	북한/NNP+은/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
ICBM	ICBM/SL
1단	1/SN+단/NNB
엔진에	엔진/NNG+에/JKB
사용될	사용/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
신형	신형/NNG
엔진	엔진/NNG
연소	연소/NNG
시험에	시험/NNG+에/JKB
성공해,	성공/NNG+하/XSV+아/EC+,/SP
이번	이번/NNG
성공했을	성공/NNG+하/XSV+았/EP+을/ETM
경우	경우/NNG
완성에	완성/NNG+에/JKB
더	더/MAG
다가선	다가서/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.388.4.3
우리 군 관계자는 이에 대해 "북한이 엔진 연소 시험을 실시했을 가능성을 신중하게 분석 중이며 ICBM 3단 엔진 시험이었는지는 좀 더 확인이 필요하다"고 했다.

우리	우리/NP
군	군/NNG
관계자는	관계자/NNG+는/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
"북한이	"/SS+북한/NNP+이/JKS
엔진	엔진/NNG
연소	연소/NNG
시험을	시험/NNG+을/JKO
실시했을	실시/NNG+하/XSV+았/EP+을/ETM
가능성을	가능/NNG+성/XSN+을/JKO
신중하게	신중/NNG+하/XSA+게/EC
분석	분석/NNG
중이며	중/NNB+이/VCP+며/EC
ICBM	ICBM/SL
3단	3/SN+단/NNB
시험이었는지는	시험/NNG+이/VCP+었/EP+는지/EF+는/JX
좀	좀/MAG
더	더/MAG
확인이	확인/NNG+이/JKS
필요하다"고	필요/NNG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.388.5.1
북한은 지난 3월 동창리 발사장에서 김정은 노동당 위원장의 참관 아래 강력한 신형 고출력 엔진 연소 시험에 성공했다.

북한은	북한/NNP+은/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
동창리	동창리/NNP
발사장에서	발사장/NNG+에서/JKB
김정은	김정은/NNP
노동당	노동당/NNP
위원장의	위원장/NNG+의/JKG
참관	참관/NNG
아래	아래/NNG
강력한	강력/NNG+하/XSA+ㄴ/ETM
신형	신형/NNG
고출력	고/XPN+출력/NNG
엔진	엔진/NNG
연소	연소/NNG
시험에	시험/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.388.5.2
당시 김정은은 이를 '3·18 혁명'으로 부르며 큰 의미를 부여했다.

당시	당시/NNG
김정은은	김정은/NNP+은/JX
이를	이/NP+를/JKO
'3·18	'/SS+3/SN+·/SP+18/SN
혁명'으로	혁명/NNG+'/SS+으로/JKB
부르며	부르/VV+며/EC
큰	크/VA+ㄴ/ETM
의미를	의미/NNG+를/JKO
부여했다.	부여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.388.5.3
이 엔진은 북한이 작년 9월 연소 시험을 한 80tf(톤포스·80t 중량을 밀어 올릴 수 있는 힘)짜리 액체 연료 엔진에 미사일 자세 제어를 위한 보조 엔진 4개를 붙인 형태다.

이	이/MMD
엔진은	엔진/NNG+은/JX
북한이	북한/NNP+이/JKS
작년	작년/NNG
9월	9/SN+월/NNB
연소	연소/NNG
시험을	시험/NNG+을/JKO
한	하/VV+ㄴ/ETM
80tf(톤포스·80t	80/SN+tf/SW+(/SS+톤포스/NNB+·/SP+80/SN+t/SW
중량을	중량/NNG+을/JKO
밀어	밀/VV+어/EC
올릴	올리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
힘)짜리	힘/NNG+)/SS+짜리/XSN
액체	액체/NNG
연료	연료/NNG
엔진에	엔진/NNG+에/JKB
미사일	미사일/NNG
자세	자세/NNG
제어를	제어/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
보조	보조/NNG
엔진	엔진/NNG
4개를	4/SN+개/NNB+를/JKO
붙인	붙이/VV+ㄴ/ETM
형태다.	형태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.388.5.4
북한은 지난달 14일 신형 중장거리탄도미사일 화성-12형에 이 엔진을 달아 2100㎞의 최고 고도로 약 780㎞를 비행하는 데 성공, 최대 사거리 4500~5000㎞의 준(準)ICBM 능력을 과시했다.

북한은	북한/NNP+은/JX
지난달	지난달/NNG
14일	14/SN+일/NNB
신형	신형/NNG
중장거리탄도미사일	중장거리/NNG+탄도/NNG+미사일/NNG
화성-12형에	화성-12/NNP+형/XSN+에/JKB
이	이/MMD
엔진을	엔진/NNG+을/JKO
달아	달/VV+아/EC
2100㎞의	2100/SN+㎞/SW+의/JKG
최고	최고/NNG
고도로	고도/NNG+로/JKB
약	약/MMA
780㎞를	780/SN+㎞/SW+를/JKO
비행하는	비행/NNG+하/XSV+는/ETM
데	데/NNB
성공,	성공/NNG+,/SP
최대	최대/NNG
사거리	사거리/NNG
4500~5000㎞의	4500/SN+~/SO+5000/SN+㎞/SW+의/JKG
준(準)ICBM	준/XPN+(/SS+準/SH+)/SS+ICBM/SL
능력을	능력/NNG+을/JKO
과시했다.	과시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.388.5.5
북한은 이 엔진 2~3개를 묶어 ICBM 1단 로켓으로 활용, 최대 사거리 1만2000㎞ 이상으로 미 본토를 타격하는 본격적인 ICBM을 개발할 것으로 예상되고 있다.

북한은	북한/NNP+은/JX
이	이/MMD
엔진	엔진/NNG
2~3개를	2/SN+~/SO+3/SN+개/NNB+를/JKO
묶어	묶/VV+어/EC
ICBM	ICBM/SL
1단	1/SN+단/NNB
로켓으로	로켓/NNG+으로/JKB
활용,	활용/NNG+,/SP
최대	최대/NNG
사거리	사거리/NNG
1만2000㎞	1/SN+만/NR+2000/SN+㎞/SW
이상으로	이상/NNG+으로/JKB
미	미/NNP
본토를	본토/NNG+를/JKO
타격하는	타격/NNG+하/XSV+는/ETM
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
ICBM을	ICBM/SL+을/JKO
개발할	개발/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되고	예상/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.388.5.6
군 당국은 북한이 금년 내 ICBM 시험 발사를 통해 최대 7000~8000도의 열을 견디는 대기권 재진입 시험도 할 가능성이 있다고 보고 있다.

군	군/NNG
당국은	당국/NNG+은/JX
북한이	북한/NNP+이/JKS
금년	금년/NNG
내	내/NNB
ICBM	ICBM/SL
시험	시험/NNG
발사를	발사/NNG+를/JKO
통해	통하/VV+아/EC
최대	최대/NNG
7000~8000도의	7000/SN+~/SO+8000/SN+도/NNB+의/JKG
열을	열/NNG+을/JKO
견디는	견디/VV+는/ETM
대기권	대기/NNG+권/XSN
재진입	재/XPN+진입/NNG
시험도	시험/NNG+도/JX
할	하/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다고	있/VA+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


