# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.154
metadata : {}


# id : NWRW1800000054.154.1.1
[핫 코너] 탄핵반대 생중계… 중장년도 팟캐스트(인터넷방송) 방송

[핫	[/SS+핫/NNG
코너]	코너/NNG+]/SS
탄핵반대	탄핵/NNG+반대/NNG
생중계…	생/XPN+중계/NNG+…/SE
중장년도	중장년/NNG+도/JX
팟캐스트(인터넷방송)	팟캐스트/NNG+(/SS+인터넷/NNG+방송/NNG+)/SS
방송	방송/NNG


# id : NWRW1800000054.154.2.1
젊은층 전유물?

젊은층	젊/VA+은/ETM+층/NNG
전유물?	전유물/NNG+?/SF


# id : NWRW1800000054.154.2.2
집회 알리고 댓글로 참석… 보수성향 '신의 한수' 시청자 5만 넘어

집회	집회/NNG
알리고	알리/VV+고/EC
댓글로	댓글/NNG+로/JKB
참석…	참석/NNG+…/SE
보수성향	보수/NNG+성향/NNG
'신의	'/SS+신/NNG+의/JKG
한수'	한/MMN+수/NNG+'/SS
시청자	시청자/NNG
5만	5/SN+만/NR
넘어	넘/VV+어/EF


# id : NWRW1800000054.154.3.1
"휴대폰으로 통화와 문자밖에 안 하던 제가 이제 스마트폰으로 집회 실시간 중계도 봐요.

"휴대폰으로	"/SS+휴대폰/NNG+으로/JKB
통화와	통화/NNG+와/JC
문자밖에	문자/NNG+밖에/JX
안	안/MAG
하던	하/VV+던/ETM
제가	제/NP+가/JKS
이제	이제/MAG
스마트폰으로	스마트폰/NNG+으로/JKB
집회	집회/NNG
실시간	실시간/NNG
중계도	중계/NNG+도/JX
봐요.	보/VV+아요/EF+./SF


# id : NWRW1800000054.154.3.2
많이 발전했죠?"

많이	많이/MAG
발전했죠?"	발전/NNG+하/XSV+았/EP+죠/EF+?/SF+"/SS


# id : NWRW1800000054.154.4.1
지난 6일 오후 서울 용산구 국방부 청사 앞에서 열린 박근혜 대통령 탄핵 반대 집회.

지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
용산구	용산구/NNP
국방부	국방부/NNG
청사	청사/NNG
앞에서	앞/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
박근혜	박근혜/NNP
대통령	대통령/NNG
탄핵	탄핵/NNG
반대	반대/NNG
집회.	집회/NNG+./SF


# id : NWRW1800000054.154.4.2
교사 출신의 주부 이모(60)씨는 "팟캐스트(인터넷 방송)를 보고 집회에 참가했다"며 이렇게 말했다.

교사	교사/NNG
출신의	출신/NNG+의/JKG
주부	주부/NNG
이모(60)씨는	이/NNP+모/NP+(/SS+60/SN+)/SS+씨/NNB+는/JX
"팟캐스트(인터넷	"/SS+팟캐스트/NNG+(/SS+인터넷/NNG
방송)를	방송/NNG+)/SS+를/JKO
보고	보/VV+고/EC
집회에	집회/NNG+에/JKB
참가했다"며	참가/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.154.4.3
공무원 출신인 이씨 남편도 스마트폰으로 여러 정보를 검색하고 있었다.

공무원	공무원/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
이씨	이/NNP+씨/NNB
남편도	남편/NNG+도/JX
스마트폰으로	스마트폰/NNG+으로/JKB
여러	여러/MMN
정보를	정보/NNG+를/JKO
검색하고	검색/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.154.4.4
이날 집회에서는 한 중년 남성이 소형 카메라를 들고 분주히 현장 상황을 촬영하고 있었다.

이날	이날/NNG
집회에서는	집회/NNG+에서/JKB+는/JX
한	한/MMN
중년	중년/NNG
남성이	남성/NNG+이/JKS
소형	소형/NNG
카메라를	카메라/NNG+를/JKO
들고	들/VV+고/EC
분주히	분주히/MAG
현장	현장/NNG
상황을	상황/NNG+을/JKO
촬영하고	촬영/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.154.4.5
인터넷 동영상 사이트인 유튜브를 통해 집회를 실시간 중계한 것이다.

인터넷	인터넷/NNG
동영상	동영상/NNG
사이트인	사이트/NNG+이/VCP+ㄴ/ETM
유튜브를	유튜브/NNP+를/JKO
통해	통하/VV+아/EC
집회를	집회/NNG+를/JKO
실시간	실시간/NNG
중계한	중계/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.154.4.6
이 중계 화면의 실시간 채팅창에는 '내일 집회는 어디서 열리나요, 반드시 참석하겠습니다' 같은 응원 메시지가 이어졌다.

이	이/MMD
중계	중계/NNG
화면의	화면/NNG+의/JKG
실시간	실시간/NNG
채팅창에는	채팅/NNG+창/NNG+에/JKB+는/JX
'내일	'/SS+내일/NNG
집회는	집회/NNG+는/JX
어디서	어디/NP+서/JKB
열리나요,	열리/VV+나/EF+요/JX+,/SP
반드시	반드시/MAG
참석하겠습니다'	참석/NNG+하/XSV+겠/EP+습니다/EF+'/SS
같은	같/VA+은/ETM
응원	응원/NNG
메시지가	메시지/NNG+가/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.154.5.1
젊은 세대의 전유물로 여겨졌던 팟캐스트 방송이 최근 탄핵 반대를 주장하는 중장년층에 유행하고 있다.

젊은	젊/VA+은/ETM
세대의	세대/NNG+의/JKG
전유물로	전유물/NNG+로/JKB
여겨졌던	여기/VV+어/EC+지/VX+었/EP+던/ETM
팟캐스트	팟캐스트/NNG
방송이	방송/NNG+이/JKS
최근	최근/MAG
탄핵	탄핵/NNG
반대를	반대/NNG+를/JKO
주장하는	주장/NNG+하/XSV+는/ETM
중장년층에	중장년/NNG+층/XSN+에/JKB
유행하고	유행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.154.5.2
보수 성향 중장년층이 정치적 성향에 맞는 팟캐스트 방송을 선택해 시청하는 것이다.

보수	보수/NNG
성향	성향/NNG
중장년층이	중장년/NNG+층/XSN+이/JKS
정치적	정치/NNG+적/XSN
성향에	성향/NNG+에/JKB
맞는	맞/VV+는/ETM
팟캐스트	팟캐스트/NNG
방송을	방송/NNG+을/JKO
선택해	선택/NNG+하/XSV+아/EC
시청하는	시청/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.154.5.3
'애국 팟캐스트 방송'을 표방하는 유튜브 채널 '신의 한수'는 구독자 수가 5만명을 넘었다.

'애국	'/SS+애국/NNG
팟캐스트	팟캐스트/NNG
방송'을	방송/NNG+'/SS+을/JKO
표방하는	표방/NNG+하/XSV+는/ETM
유튜브	유튜브/NNP
채널	채널/NNG
'신의	'/SS+신/NNG+의/JKG
한수'는	한/MMN+수/NNG+'/SS+는/JX
구독자	구독자/NNG
수가	수/NNG+가/JKS
5만명을	5/SN+만/NR+명/NNB+을/JKO
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.154.5.4
예비역 공군 소장 한성주씨가 진행하는 인터넷 방송 '땅굴안보국민연합'도 구독자가 1만5000명에 달한다.

