# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.39
metadata : {}


# id : NWRW1800000032.39.1.1
금산법 따라 에버랜드 지분 20.64% 매각 추진삼성, 지주사 전환·경영권 승계 탄력받나

금산법	금산법/NNG
따라	따르/VV+아/EC
에버랜드	에버랜드/NNP
지분	지분/NNG
20.64%	20/SN+./SP+64/SN+%/SW
매각	매각/NNG
추진삼성,	추진/NNG+삼성/NNP+,/SP
지주사	지주사/NNG
전환·경영권	전환/NNG+·/SP+경영/NNG+권/XSN
승계	승계/NNG
탄력받나	탄력/NNG+받/XSV+나/EF


# id : NWRW1800000032.39.2.1
순환출자 고리 약해지지만 지배구조엔 큰 변화없어 삼성 “주당 장부가 214만원” ‘헐값 증여’ 논란 다시 일듯

순환출자	순환/NNG+출자/NNG
고리	고리/NNG
약해지지만	약하/VA+아/EC+지/VX+지만/EC
지배구조엔	지배/NNG+구조/NNG+에/JKB+ㄴ/JX
큰	크/VA+ㄴ/ETM
변화없어	변화/NNG+없/VA+어/EC
삼성	삼성/NNP
“주당	“/SS+주당/NNG
장부가	장부/NNG+가/JKS
214만원”	214/SN+만/NR+원/NNB+”/SS
‘헐값	‘/SS+헐값/NNG
증여’	증여/NNG+’/SS
논란	논란/NNG
다시	다시/MAG
일듯	일/VV+듯/EC


# id : NWRW1800000032.39.3.1
삼성카드가 법에서 정한 한도를 초과해 보유하고 있는 삼성에버랜드 지분 매각 작업에 착수했다.

삼성카드가	삼성카드/NNP+가/JKS
법에서	법/NNG+에서/JKB
정한	정하/VV+ㄴ/ETM
한도를	한도/NNG+를/JKO
초과해	초과/NNG+하/XSV+아/EC
보유하고	보유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
삼성에버랜드	삼성에버랜드/NNP
지분	지분/NNG
매각	매각/NNG
작업에	작업/NNG+에/JKB
착수했다.	착수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.39.3.2
삼성카드의 지분이 누구에게 어떤 방식으로 넘어가고, 삼성그룹의 지배구조 개선과 3세 경영권 승계 작업에는 어떤 영향을 미칠지에 관심이 쏠리고 있다.

삼성카드의	삼성카드/NNP+의/JKG
지분이	지분/NNG+이/JKS
누구에게	누구/NP+에게/JKB
어떤	어떤/MMD
방식으로	방식/NNG+으로/JKB
넘어가고,	넘어가/VV+고/EC+,/SP
삼성그룹의	삼성그룹/NNP+의/JKG
지배구조	지배/NNG+구조/NNG
개선과	개선/NNG+과/JC
3세	3/SN+세/NNB
경영권	경영/NNG+권/XSN
승계	승계/NNG
작업에는	작업/NNG+에/JKB+는/JX
영향을	영향/NNG+을/JKO
미칠지에	미치/VV+ㄹ지/EF+에/JKB
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.39.4.1
■ 순환형 출자 고리 약화될 듯 삼성그룹은 14일 삼성카드의 삼성에버랜드 보유지분(25.6%) 가운데 20.64%(51만6000주)를 대량매매(블록딜) 방식으로 매각하는 작업을 추진중이라고 밝혔다.

■	■/SW
순환형	순환/NNG+형/XSN
출자	출자/NNG
고리	고리/NNG
약화될	약화/NNG+되/XSV+ㄹ/ETM
듯	듯/NNB
삼성그룹은	삼성그룹/NNP+은/JX
14일	14/SN+일/NNB
삼성카드의	삼성카드/NNP+의/JKG
삼성에버랜드	삼성에버랜드/NNP
보유지분(25.6%)	보유/NNG+지분/NNG+(/SS+25/SN+./SP+6/SN+%/SW+)/SS
가운데	가운데/NNG
20.64%(51만6000주)를	20/SN+./SP+64/SN+%/SW+(/SS+51/SN+만/NR+6000/SN+주/NNG+)/SS+를/JKO
대량매매(블록딜)	대량/NNG+매매/NNG+(/SS+블록딜/NNG+)/SS
방식으로	방식/NNG+으로/JKB
매각하는	매각/NNG+하/XSV+는/ETM
작업을	작업/NNG+을/JKO
추진중이라고	추진/NNG+중/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.39.4.2
삼성 관계자는 “주요 외국계 투자은행들에게 입찰제안요청서를 발송했다”며 “제안 내용을 받아본 뒤 가장 효율적인 방안을 제시한 업체를 골라 주관사로 삼을 방침”이라고 말했다.

삼성	삼성/NNP
관계자는	관계자/NNG+는/JX
“주요	“/SS+주요/NNG
외국계	외국/NNG+계/XSN
투자은행들에게	투자/NNG+은행/NNG+들/XSN+에게/JKB
입찰제안요청서를	입찰/NNG+제안/NNG+요청서/NNG+를/JKO
발송했다”며	발송/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“제안	“/SS+제안/NNG
내용을	내용/NNG+을/JKO
받아본	받/VV+아/EC+보/VX+ㄴ/ETM
뒤	뒤/NNG
가장	가장/MAG
효율적인	효율/NNG+적/XSN+이/VCP+ㄴ/ETM
방안을	방안/NNG+을/JKO
제시한	제시/NNG+하/XSV+ㄴ/ETM
업체를	업체/NNG+를/JKO
골라	고르/VV+아/EC
주관사로	주관사/NNG+로/JKB
삼을	삼/VV+을/ETM
방침”이라고	방침/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.39.5.1
삼성 쪽은 에버랜드 지분 매각에 나선 배경에 대해 “현행 법과 약속을 지키기 위한 것”이라고 밝혔다.

삼성	삼성/NNP
쪽은	쪽/NNB+은/JX
에버랜드	에버랜드/NNP
지분	지분/NNG
매각에	매각/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
배경에	배경/NNG+에/JKB
대해	대하/VV+아/EC
“현행	“/SS+현행/NNG
