# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.245
metadata : {}


# id : NWRW1800000052.245.1.1
민족의 영산 ‘태백산’, 국립공원으로 새출발

민족의	민족/NNG+의/JKG
영산	영산/NNG
‘태백산’,	‘/SS+태백산/NNP+’/SS+,/SP
국립공원으로	국립/NNG+공원/NNG+으로/JKB
새출발	새/MMA+출발/NNG


# id : NWRW1800000052.245.2.1
국내 22번째 국립공원 지정…무사고 기원 고사 지내

국내	국내/NNG
22번째	22/SN+번/NNB+째/XSN
국립공원	국립/NNG+공원/NNG
지정…무사고	지정/NNG+…/SE+무/XPN+사고/NNG
기원	기원/NNG
고사	고사/NNG
지내	지내/VV+어/EF


# id : NWRW1800000052.245.3.1
‘민족의 영산’ 태백산이 국내 스물두번째 국립공원으로 지정됐다.

‘민족의	‘/SS+민족/NNG+의/JKG
영산’	영산/NNG+’/SS
태백산이	태백산/NNP+이/JKS
국내	국내/NNG
스물두번째	스물두/MMN+번/NNB+째/XSN
국립공원으로	국립/NNG+공원/NNG+으로/JKB
지정됐다.	지정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.245.4.1
국립공원관리공단은 22일 오후 강원 태백시 소도동 당골 입구에서 ‘무사고, 자연보호, 탐방객 안전’ 등을 기원하는 고사를 시작으로 태백산국립공원사무소의 업무를 시작했다.

국립공원관리공단은	국립공원관리공단/NNP+은/JX
22일	22/SN+일/NNB
오후	오후/NNG
강원	강원/NNP
태백시	태백시/NNP
소도동	소도동/NNP
당골	당골/NNP
입구에서	입구/NNG+에서/JKB
‘무사고,	‘/SS+무/XPN+사고/NNG+,/SP
자연보호,	자연/NNG+보호/NNG+,/SP
탐방객	탐방객/NNG
안전’	안전/NNG+’/SS
등을	등/NNB+을/JKO
기원하는	기원/NNG+하/XSV+는/ETM
고사를	고사/NNG+를/JKO
시작으로	시작/NNG+으로/JKB
태백산국립공원사무소의	태백산국립공원사무소/NNP+의/JKG
업무를	업무/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.245.4.2
국립공원 지정일은 광복 71돌과 22번째 국립공원이 되는 것을 기념하려고, 8월22일로 결정했다.

국립공원	국립/NNG+공원/NNG
지정일은	지정일/NNG+은/JX
광복	광복/NNG
71돌과	71/SN+돌/NNB+과/JC
22번째	22/SN+번/NNB+째/XSN
국립공원이	국립/NNG+공원/NNG+이/JKC
되는	되/VV+는/ETM
것을	것/NNB+을/JKO
기념하려고,	기념/NNG+하/XSV+려고/EC+,/SP
8월22일로	8/SN+월/NNB+22/SN+일/NNB+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.245.5.1
태백산은 1989년 도립공원으로 지정된 지 27년 만에 국립공원이 됐다.

태백산은	태백산/NNP+은/JX
1989년	1989/SN+년/NNB
도립공원으로	도립/NNG+공원/NNG+으로/JKB
지정된	지정/NNG+되/XSV+ㄴ/ETM
지	지/NNB
27년	27/SN+년/NNB
만에	만/NNB+에/JKB
국립공원이	국립/NNG+공원/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.245.5.2
강원도에선 설악산과 오대산, 치악산에 이어 4번째 국립공원이 탄생했다.

강원도에선	강원도/NNP+에서/JKB+ㄴ/JX
설악산과	설악산/NNP+과/JC
오대산,	오대산/NNP+,/SP
치악산에	치악산/NNP+에/JKB
이어	잇/VV+어/EC
4번째	4/SN+번/NNB+째/XSN
국립공원이	국립/NNG+공원/NNG+이/JKS
탄생했다.	탄생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.245.5.3
태백산국립공원 구역은 △강원 태백시 51.2㎢ △강원 영월군 0.1㎢ △강원 정선군 0.9㎢ △경북 봉화군 17.9㎢ 등 모두 70.1㎢로 기존 도립공원 면적(17.4㎢)의 4배가 넘는다.

태백산국립공원	태백산국립공원/NNP
구역은	구역/NNG+은/JX
△강원	△/SW+강원/NNP
태백시	태백시/NNP
51.2㎢	51/SN+./SP+2/SN+㎢/SW
영월군	영월군/NNP
0.1㎢	0/SN+./SP+1/SN+㎢/SW
정선군	정선군/NNP
0.9㎢	0/SN+./SP+9/SN+㎢/SW
△경북	△/SW+경북/NNP
봉화군	봉화군/NNP
17.9㎢	17/SN+./SP+9/SN+㎢/SW
등	등/NNB
