# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.100
metadata : {}


# id : NWRW1800000053.100.1.1
미세먼지에 꽃가루… 알레르기성 결막염 주의

미세먼지에	미세/NNG+먼지/NNG+에/JKB
꽃가루…	꽃가루/NNG+…/SE
알레르기성	알레르기/NNG+성/XSN
결막염	결막염/NNG
주의	주의/NNG


# id : NWRW1800000053.100.2.1
어린이-20대 이상 여성 특히 취약… 렌즈 대신 안경 쓰고 인공눈물 사용 눈 가려우면 비비지 말고 냉찜질… 꽃가루 알레르기 약물로 예방 가능

어린이-20대	어린이/NNG+-/SO+20/SN+대/NNB
이상	이상/NNG
여성	여성/NNG
특히	특히/MAG
취약…	취약/NNG+…/SE
렌즈	렌즈/NNG
대신	대신/NNG
안경	안경/NNG
쓰고	쓰/VV+고/EC
인공눈물	인공/NNG+눈물/NNG
사용	사용/NNG
눈	눈/NNG
가려우면	가렵/VA+으면/EC
비비지	비비/VV+지/EC
말고	말/VX+고/EC
냉찜질…	냉찜질/NNG+…/SE
꽃가루	꽃가루/NNG
알레르기	알레르기/NNG
약물로	약물/NNG+로/JKB
예방	예방/NNG
가능	가능/NNG


# id : NWRW1800000053.100.3.1
요즘 미세먼지가 기승을 부리면서 마스크를 쓰고 다니는 사람이 급증하고 있다.

요즘	요즘/NNG
미세먼지가	미세/NNG+먼지/NNG+가/JKS
기승을	기승/NNG+을/JKO
부리면서	부리/VV+면서/EC
마스크를	마스크/NNG+를/JKO
쓰고	쓰/VV+고/EC
다니는	다니/VV+는/ETM
사람이	사람/NNG+이/JKS
급증하고	급증/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.100.3.2
호흡기 질환뿐 아니라 알레르기성 결막염 예방을 위해서도 필요한 조치다.

호흡기	호흡기/NNG
질환뿐	질환/NNG+뿐/JX
아니라	아니/VCN+라/EC
알레르기성	알레르기/NNG+성/XSN
결막염	결막염/NNG
예방을	예방/NNG+을/JKO
위해서도	위하/VV+아서/EC+도/JX
필요한	필요/NNG+하/XSA+ㄴ/ETM
조치다.	조치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.100.4.1
봄철 집중적으로 발생하는 알레르기성 결막염은 눈을 감싸고 있는 결막에 미세먼지, 꽃가루, 진드기 등으로 염증이 생기는 질환이다.

봄철	봄철/NNG
집중적으로	집중/NNG+적/XSN+으로/JKB
발생하는	발생/NNG+하/XSV+는/ETM
알레르기성	알레르기/NNG+성/XSN
결막염은	결막염/NNG+은/JX
눈을	눈/NNG+을/JKO
감싸고	감싸/VV+고/EC
있는	있/VX+는/ETM
결막에	결막/NNG+에/JKB
미세먼지,	미세/NNG+먼지/NNG+,/SP
꽃가루,	꽃가루/NNG+,/SP
진드기	진드기/NNG
등으로	등/NNB+으로/JKB
염증이	염증/NNG+이/JKS
생기는	생기/VV+는/ETM
질환이다.	질환/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.100.4.2
눈이 가렵거나 이물감이 느껴지고 충혈되거나 평소보다 눈곱이 많이 끼면 알레르기성 결막염을 의심해 봐야 한다.

눈이	눈/NNG+이/JKS
가렵거나	가렵/VA+거나/EC
이물감이	이물감/NNG+이/JKS
느껴지고	느끼/VV+어/EC+지/VX+고/EC
충혈되거나	충혈/NNG+되/XSV+거나/EC
평소보다	평소/NNG+보다/JKB
눈곱이	눈곱/NNG+이/JKS
많이	많이/MAG
끼면	끼/VV+면/EC
알레르기성	알레르기/NNG+성/XSN
결막염을	결막염/NNG+을/JKO
의심해	의심/NNG+하/XSV+아/EC
봐야	보/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.100.4.3
증상이 심하면 시력 저하로 이어지기도 한다.

증상이	증상/NNG+이/JKS
심하면	심하/VA+면/EC
시력	시력/NNG
저하로	저하/NNG+로/JKB
이어지기도	이어지/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.100.5.1
특히 어린 자녀를 둔 부모와 20대 이상 여성은 알레르기성 결막염에 걸리지 않도록 각별히 신경을 써야 한다.

특히	특히/MAG
어린	어리/VA+ㄴ/ETM
자녀를	자녀/NNG+를/JKO
둔	두/VV+ㄴ/ETM
부모와	부모/NNG+와/JC
20대	20/SN+대/NNB
이상	이상/NNG
여성은	여성/NNG+은/JX
알레르기성	알레르기/NNG+성/XSN
결막염에	결막염/NNG+에/JKB
걸리지	걸리/VV+지/EC
않도록	않/VX+도록/EC
각별히	각별히/MAG
신경을	신경/NNG+을/JKO
써야	쓰/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.100.5.2
