# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.72
metadata : {}


# id : NWRW1800000054.72.1.1
편혜영 단편 '식물 애호', 美 뉴요커誌에 실려

편혜영	편혜영/NNP
단편	단편/NNG
'식물	'/SS+식물/NNG
애호',	애호/NNG+'/SS+,/SP
美	美/SH
뉴요커誌에	뉴요커/NNP+誌/SH+에/JKB
실려	실리/VV+어/EF


# id : NWRW1800000054.72.2.1
소설가 편혜영의 단편 '식물 애호'(Caring for plants)가 미국 시사 주간지 '뉴요커' 7월 3일 자에 실렸다.

소설가	소설가/NNG
편혜영의	편혜영/NNP+의/JKG
단편	단편/NNG
'식물	'/SS+식물/NNG
애호'(Caring	애호/NNG+'/SS+(/SS+Caring/SL
for	for/SL
plants)가	plants/SL+)/SS+가/JKS
미국	미국/NNP
시사	시사/NNG
주간지	주간지/NNG
'뉴요커'	'/SS+뉴요커/NNP+'/SS
7월	7/SN+월/NNB
3일	3/SN+일/NNB
자에	자/NNG+에/JKB
실렸다.	실리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.72.2.2
이문열의 단편 '익명의 섬'이 지난 2011년 뉴요커에 실린 데 이어 한국 작가로는 두 번째로 소개됐다.

이문열의	이문열/NNP+의/JKG
단편	단편/NNG
'익명의	'/SS+익명/NNG+의/JKG
섬'이	섬/NNG+'/SS+이/JKS
지난	지나/VV+ㄴ/ETM
2011년	2011/SN+년/NNB
뉴요커에	뉴요커/NNP+에/JKB
실린	실리/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
한국	한국/NNP
작가로는	작가/NNG+로/JKB+는/JX
두	두/MMN
번째로	번/NNB+째/XSN+로/JKB
소개됐다.	소개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.72.2.3
2011년 동인문학상을 받은 편혜영은 기괴한 상상력으로 현실의 이면(裏面)을 그려낸 작가.

2011년	2011/SN+년/NNB
동인문학상을	동인/NNP+문학상/NNG+을/JKO
받은	받/VV+은/ETM
편혜영은	편혜영/NNP+은/JX
기괴한	기괴하/VA+ㄴ/ETM
상상력으로	상상력/NNG+으로/JKB
현실의	현실/NNG+의/JKG
이면(裏面)을	이면/NNG+(/SS+裏面/SH+)/SS+을/JKO
그려낸	그리/VV+어/EC+내/VX+ㄴ/ETM
작가.	작가/NNG+./SF


# id : NWRW1800000054.72.3.1
뉴요커는 매주 100만부 넘게 발행하는 시사 교양지로, 미국 유명 작가를 비롯해 해외 주요 작가들의 작품을 엄선해서 게재해왔다.

뉴요커는	뉴요커/NNP+는/JX
매주	매주/MAG
100만부	100/SN+만/NR+부/NNB
넘게	넘/VV+게/EC
발행하는	발행/NNG+하/XSV+는/ETM
시사	시사/NNG
교양지로,	교양지/NNG+로/JKB+,/SP
미국	미국/NNP
유명	유명/NNG
작가를	작가/NNG+를/JKO
비롯해	비롯하/VV+아/EC
해외	해외/NNG
주요	주요/NNG
작가들의	작가/NNG+들/XSN+의/JKG
작품을	작품/NNG+을/JKO
엄선해서	엄선/NNG+하/XSV+아서/EC
게재해왔다.	게재/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.72.3.2
