# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.98
metadata : {}


# id : NWRW1800000036.98.1.1
‘탈원전’ 한다더니…일, 오마원전 공사 재개

‘탈원전’	‘/SS+탈/XPN+원전/NNG+’/SS
한다더니…일,	하/VV+ㄴ다더니/EF+…/SE+일/NNP+,/SP
오마원전	오마원전/NNP
공사	공사/NNG
재개	재개/NNG


# id : NWRW1800000036.98.2.1
[한겨레] ‘2030 원전제로’ 정책과 모순

[한겨레]	[/SS+한겨레/NNP+]/SS
‘2030	‘/SS+2030/SN
원전제로’	원전/NNG+제로/NNG+’/SS
정책과	정책/NNG+과/JKB
모순	모순/NNG


# id : NWRW1800000036.98.3.1
핵연료 재처리 가능성 커져

핵연료	핵연료/NNG
재처리	재/XPN+처리/NNG
가능성	가능/NNG+성/XSN
커져	커지/VV+어/EF


# id : NWRW1800000036.98.4.1
일본 전원개발 주식회사가 후쿠시마 원전사고 이후 공사가 중단돼온 아오모리현 오마원자력발전소 건설공사를 재개하겠다고 밝혔다.

일본	일본/NNP
전원개발	전원개발/NNP
주식회사가	주식회사/NNG+가/JKS
후쿠시마	후쿠시마/NNP
원전사고	원전/NNG+사고/NNG
이후	이후/NNG
공사가	공사/NNG+가/JKS
중단돼온	중단/NNG+되/XSV+어/EC+오/VX+ㄴ/ETM
아오모리현	아오모리현/NNP
오마원자력발전소	오마원자력발전소/NNP
건설공사를	건설/NNG+공사/NNG+를/JKO
재개하겠다고	재개/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.98.4.2
플루토늄을 섞은 혼합산화물연료(MOX연료)를 쓰도록 설계된 오마원전의 건설공사를 재개하는 것은, 사용후 핵연료를 재처리해 플루토늄을 추출한 뒤 핵발전 연료로 쓴다는 이른바 ‘핵연료 주기’를 계속 추진하겠다는 뜻을 분명히 한 것으로 해석된다.

플루토늄을	플루토늄/NNG+을/JKO
섞은	섞/VV+은/ETM
혼합산화물연료(MOX연료)를	혼합/NNG+산화물/NNG+연료/NNG+(/SS+MOX/SL+연료/NNG+)/SS+를/JKO
쓰도록	쓰/VV+도록/EC
설계된	설계/NNG+되/XSV+ㄴ/ETM
오마원전의	오마원전/NNP+의/JKG
건설공사를	건설/NNG+공사/NNG+를/JKO
재개하는	재개/NNG+하/XSV+는/ETM
것은,	것/NNB+은/JX+,/SP
사용후	사용/NNG+후/NNG
핵연료를	핵연료/NNG+를/JKO
재처리해	재/XPN+처리/NNG+하/XSV+아/EC
추출한	추출/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
핵발전	핵/NNG+발전/NNG
연료로	연료/NNG+로/JKB
쓴다는	쓰/VV+ㄴ다는/ETM
이른바	이른바/MAG
‘핵연료	‘/SS+핵연료/NNG
주기’를	주기/NNG+’/SS+를/JKO
계속	계속/MAG
추진하겠다는	추진/NNG+하/XSV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
분명히	분명히/MAG
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.98.5.1
일본의 전력회사인 전원개발(J-파워)은 1일 혼슈 북부 아오모리현 오마초에 짓고 있던 오마원전의 건설공사를 재개한다고 밝혔다.

일본의	일본/NNP+의/JKG
전력회사인	전력/NNG+회사/NNG+이/VCP+ㄴ/ETM
전원개발(J-파워)은	전원개발/NNP+(/SS+J-파워/NNP+)/SS+은/JX
1일	1/SN+일/NNB
혼슈	혼슈/NNP
북부	북부/NNG
아오모리현	아오모리현/NNP
오마초에	오마초/NNP+에/JKB
짓고	짓/VV+고/EC
있던	있/VX+던/ETM
오마원전의	오마원전/NNP+의/JKG
건설공사를	건설/NNG+공사/NNG+를/JKO
재개한다고	재개/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.98.5.2
일본에선 지난해 3월 후쿠시마 원전사고가 일어나자, 건설 중이던 3기의 원전이 모두 공사를 중단했다.

일본에선	일본/NNP+에서/JKB+ㄴ/JX
지난해	지난해/NNG
3월	3/SN+월/NNB
후쿠시마	후쿠시마/NNP
원전사고가	원전/NNG+사고/NNG+가/JKS
일어나자,	일어나/VV+자/EC+,/SP
건설	건설/NNG
중이던	중/NNB+이/VCP+던/ETM
3기의	3/SN+기/NNB+의/JKG
원전이	원전/NNG+이/JKS
모두	모두/MAG
공사를	공사/NNG+를/JKO
중단했다.	중단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.98.5.3
일본 정부는 지난달 2030년까지 원전의 가동중단을 추진한다는 새 에너지 정책을 발표했으나, 에다노 유키오 경제산업상은 “이미 건설허가를 받아 착공한 원전은 공사를 재개하도록 허용하겠다”고 밝힌 바 있다.

일본	일본/NNP
정부는	정부/NNG+는/JX
지난달	지난달/NNG
2030년까지	2030/SN+년/NNB+까지/JX
원전의	원전/NNG+의/JKG
가동중단을	가동/NNG+중단/NNG+을/JKO
추진한다는	추진/NNG+하/XSV+ㄴ다는/ETM
새	새/MMA
에너지	에너지/NNG
정책을	정책/NNG+을/JKO
발표했으나,	발표/NNG+하/XSV+았/EP+으나/EC+,/SP
에다노	에다노/NNP
유키오	유키오/NNP
경제산업상은	경제/NNG+산업상/NNG+은/JX
“이미	“/SS+이미/MAG
건설허가를	건설/NNG+허가/NNG+를/JKO
받아	받/VV+아/EC
착공한	착공/NNG+하/XSV+ㄴ/ETM
원전은	원전/NNG+은/JX
공사를	공사/NNG+를/JKO
재개하도록	재개/NNG+하/XSV+도록/EC
허용하겠다”고	허용/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.98.6.1
지난 2008년 5월 착공한 오마원전은 공사 진척도가 38% 가량으로, 공사가 재개되면 애초 계획보다 1년6개월 가량 늦은 2016년 5월에 완공될 것이라고 전원개발 쪽은 설명했다.

지난	지나/VV+ㄴ/ETM
2008년	2008/SN+년/NNB
5월	5/SN+월/NNB
착공한	착공/NNG+하/XSV+ㄴ/ETM
오마원전은	오마원전/NNP+은/JX
공사	공사/NNG
진척도가	진척도/NNG+가/JKS
38%	38/SN+%/SW
가량으로,	가량/XSN+으로/JKB+,/SP
공사가	공사/NNG+가/JKS
재개되면	재개/NNG+되/XSV+면/EC
애초	애초/NNG
계획보다	계획/NNG+보다/JKB
1년6개월	1/SN+년/NNB+6/SN+개월/NNB
가량	가량/XSN
늦은	늦/VA+은/ETM
2016년	2016/SN+년/NNB
5월에	5/SN+월/NNB+에/JKB
완공될	완공/NNG+되/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
전원개발	전원개발/NNP
쪽은	쪽/NNB+은/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.98.7.1
일본은 그동안 우라늄을 쓰도록 설계된 원전에서 플루토늄 혼합연료를 일부 시험적으로 써왔다.

일본은	일본/NNP+은/JX
그동안	그동안/NNG
우라늄을	우라늄/NNG+을/JKO
쓰도록	쓰/VV+도록/EC
설계된	설계/NNG+되/XSV+ㄴ/ETM
원전에서	원전/NNG+에서/JKB
플루토늄	플루토늄/NNG
혼합연료를	혼합/NNG+연료/NNG+를/JKO
일부	일부/NNG
시험적으로	시험/NNG+적/XSN+으로/JKB
써왔다.	쓰/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.98.7.2
오마원전은 플루토늄 혼합연료만을 사용하도록 설계한 세계 첫 원전이다.

오마원전은	오마원전/NNP+은/JX
플루토늄	플루토늄/NNG
혼합연료만을	혼합/NNG+연료/NNG+만/JX+을/JKO
사용하도록	사용/NNG+하/XSV+도록/EC
설계한	설계/NNG+하/XSV+ㄴ/ETM
세계	세계/NNG
첫	첫/MMN
원전이다.	원전/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.98.7.3
오마원전의 존재는 일본의 사용후 핵연료 재처리와 플루토늄을 보유를 합리화하는 근거로 이용될 가능성이 크다.

오마원전의	오마원전/NNP+의/JKG
존재는	존재/NNG+는/JX
일본의	일본/NNP+의/JKG
사용후	사용/NNG+후/NNG
핵연료	핵연료/NNG
재처리와	재/XPN+처리/NNG+와/JC
플루토늄을	플루토늄/NNG+을/JKO
보유를	보유/NNG+를/JKO
합리화하는	합리/NNG+화/XSN+하/XSV+는/ETM
근거로	근거/NNG+로/JKB
이용될	이용/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000036.98.8.1
