# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.404
metadata : {}


# id : NWRW1800000029.404.1.1
[김정일 사망]北, 60년 만에 집단지도체제 실험

[김정일	[/SS+김정일/NNP
사망]北,	사망/NNG+]/SS+北/SH+,/SP
60년	60/SN+년/NNB
만에	만/NNB+에/JKB
집단지도체제	집단/NNG+지도/NNG+체제/NNG
실험	실험/NNG


# id : NWRW1800000029.404.2.1
로열패밀리 - 군부 - 黨실세 당분간 국정운영 손잡을 듯

로열패밀리	로열패밀리/NNG
-	-/SO
군부	군부/NNG
黨실세	黨/SH+실세/NNG
당분간	당분간/MAG
국정운영	국정/NNG+운영/NNG
손잡을	손잡/VV+을/ETM
듯	듯/NNB


# id : NWRW1800000029.404.3.1
위기국면 벗는 내년 하반기 권력투쟁-합종연횡 가능성

위기국면	위기/NNG+국면/NNG
벗는	벗/VV+는/ETM
내년	내년/NNG
하반기	하반기/NNG
권력투쟁-합종연횡	권력/NNG+투쟁/NNG+-/SO+합종연횡/NNG
가능성	가능/NNG+성/XSN


# id : NWRW1800000029.404.4.1
김정일 국방위원장 사망 이후 북한은 사실상 ‘집단지도 체제’로 운영되게 됐다.

김정일	김정일/NNP
국방위원장	국방/NNG+위원장/NNG
사망	사망/NNG
이후	이후/NNG
북한은	북한/NNP+은/JX
사실상	사실/NNG+상/XSN
‘집단지도	‘/SS+집단/NNG+지도/NNG
체제’로	체제/NNG+’/SS+로/JKB
운영되게	운영/NNG+되/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.404.4.2
김일성 주석이 북한 정권 수립 초기 소련파, 연안파, 국내파, 남로당파 등과 연합해 통치했던 시절을 제외하면 북한은 거의 60년 동안 유일지도 체제로 통치됐다.

김일성	김일성/NNP
주석이	주석/NNG+이/JKS
북한	북한/NNP
정권	정권/NNG
수립	수립/NNG
초기	초기/NNG
소련파,	소련파/NNG+,/SP
연안파,	연안파/NNG+,/SP
국내파,	국내파/NNG+,/SP
남로당파	남로당파/NNG
등과	등/NNB+과/JKB
연합해	연합/NNG+하/XSV+아/EC
통치했던	통치/NNG+하/XSV+았/EP+던/ETM
시절을	시절/NNG+을/JKO
제외하면	제외/NNG+하/XSV+면/EC
북한은	북한/NNP+은/JX
거의	거의/MAG
60년	60/SN+년/NNB
동안	동안/NNG
유일지도	유일/NNG+지도/NNG
체제로	체제/NNG+로/JKB
통치됐다.	통치/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.404.4.3
하지만 후계자인 김정은은 혼자서 북한을 이끌어가기에는 역부족이어서 당분간은 집단지도 체제가 불가피하다.

하지만	하지만/MAJ
후계자인	후계자/NNG+이/VCP+ㄴ/ETM
김정은은	김정은/NNP+은/JX
혼자서	혼자/NNG+서/JKS
북한을	북한/NNP+을/JKO
이끌어가기에는	이끌/VV+어/EC+가/VX+기/ETN+에/JKB+는/JX
역부족이어서	역부족/NNG+이/VCP+어서/EC
당분간은	당분간/NNG+은/JX
집단지도	집단/NNG+지도/NNG
체제가	체제/NNG+가/JKS
불가피하다.	불가피하/VA+다/EF+./SF


# id : NWRW1800000029.404.5.1
지도부에는 먼저 김정은의 고모부인 장성택 노동당 행정부장 겸 국방위 부위원장, 고모인 김경희 노동당 경공업부장 등 이른바 ‘로열패밀리’가 참여할 것이 확실시된다.

지도부에는	지도부/NNG+에/JKB+는/JX
먼저	먼저/MAG
김정은의	김정은/NNP+의/JKG
고모부인	고모부/NNG+이/VCP+ㄴ/ETM
장성택	장성택/NNP
노동당	노동당/NNP
행정부장	행정부장/NNG
겸	겸/NNB
국방위	국방위/NNG
부위원장,	부위원장/NNG+,/SP
고모인	고모/NNG+이/VCP+ㄴ/ETM
김경희	김경희/NNP
경공업부장	경공업부장/NNG
등	등/NNB
이른바	이른바/MAG
‘로열패밀리’가	‘/SS+로열패밀리/NNG+’/SS+가/JKS
참여할	참여/NNG+하/XSV+ㄹ/ETM
것이	것/NNB+이/JKS
확실시된다.	확실시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.404.5.2
장성택은 김정은의 부족한 면을 채워줄 최적의 카드다.

장성택은	장성택/NNP+은/JX
김정은의	김정은/NNP+의/JKG
부족한	부족/NNG+하/XSA+ㄴ/ETM
면을	면/NNG+을/JKO
채워줄	채우/VV+어/EC+주/VX+ㄹ/ETM
최적의	최적/NNG+의/JKG
카드다.	카드/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.404.5.3
그는 당 행정부장으로서 공안기관인 국가안전보위부와 인민보안부를 지도할 권한이 있고, 국정운영 경험과 외교 경력이 풍부하다.

그는	그/NP+는/JX
당	당/NNG
행정부장으로서	행정부장/NNG+으로서/JKB
공안기관인	공안/NNG+기관/NNG+이/VCP+ㄴ/ETM
국가안전보위부와	국가/NNG+안전/NNG+보위부/NNG+와/JC
인민보안부를	인민/NNG+보안부/NNG+를/JKO
지도할	지도/NNG+하/XSV+ㄹ/ETM
권한이	권한/NNG+이/JKS
있고,	있/VA+고/EC+,/SP
국정운영	국정/NNG+운영/NNG
경험과	경험/NNG+과/JC
외교	외교/NNG
경력이	경력/NNG+이/JKS
풍부하다.	풍부하/VA+다/EF+./SF


# id : NWRW1800000029.404.5.4
김 위원장 사망 이후 김 씨 일가의 중심에 서게 된 김경희는 일각에서 ‘장성택은 김경희의 대리인일 뿐’이라는 평가도 있을 만큼 무게가 있는 인물이다.

김	김/NNP
위원장	위원장/NNG
사망	사망/NNG
이후	이후/NNG
씨	씨/NNB
일가의	일가/NNG+의/JKG
중심에	중심/NNG+에/JKB
서게	서/VV+게/EC
된	되/VV+ㄴ/ETM
김경희는	김경희/NNP+는/JX
일각에서	일각/NNG+에서/JKB
‘장성택은	‘/SS+장성택/NNP+은/JX
김경희의	김경희/NNP+의/JKG
대리인일	대리인/NNG+이/VCP+ㄹ/ETM
뿐’이라는	뿐/NNB+’/SS+이/VCP+라는/ETM
평가도	평가/NNG+도/JX
있을	있/VA+을/ETM
만큼	만큼/NNB
무게가	무게/NNG+가/JKS
있는	있/VA+는/ETM
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.404.6.1
이 두 사람을 중심으로 군에서는 이영호 인민군 총참모장과 김정각 군 총정치국 제1부국장이, 당에서는 최룡해 당 비서 겸 중앙군사위원이, 내각에서는 강석주 부총리 등이 주요 의사결정 과정에 참여하게 될 것으로 보인다.

이	이/MMD
두	두/MMN
사람을	사람/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
군에서는	군/NNG+에서/JKB+는/JX
이영호	이영호/NNP
인민군	인민군/NNG
총참모장과	총참모장/NNG+과/JC
김정각	김정각/NNP
군	군/NNG
총정치국	총정치국/NNG
제1부국장이,	제/XPN+1/SN+부국장/NNG+이/JKS+,/SP
당에서는	당/NNG+에서/JKB+는/JX
최룡해	최룡해/NNP
당	당/NNG
비서	비서/NNG
겸	겸/NNB
중앙군사위원이,	중앙/NNG+군사/NNG+위원/NNG+이/JKS+,/SP
내각에서는	내각/NNG+에서/JKB+는/JX
강석주	강석주/NNP
부총리	부총리/NNG
등이	등/NNB+이/JKS
주요	주요/NNG
의사결정	의사/NNG+결정/NNG
과정에	과정/NNG+에/JKB
참여하게	참여/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.404.7.1
그러나 북한으로서는 ‘정치 실험’인 집단지도 체제가 안착하기까지는 상당한 진통이 있을 것으로 예상된다.

그러나	그러나/MAJ
북한으로서는	북한/NNP+으로서/JKB+는/JX
‘정치	‘/SS+정치/NNG
실험’인	실험/NNG+’/SS+이/VCP+ㄴ/ETM
집단지도	집단/NNG+지도/NNG
체제가	체제/NNG+가/JKS
안착하기까지는	안착/NNG+하/XSV+기/ETN+까지/JX+는/JX
상당한	상당/NNG+하/XSA+ㄴ/ETM
진통이	진통/NNG+이/JKS
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.404.7.2
남궁영 한국외국어대 정치외교학과 교수는 20일 “당분간은 위기 국면을 벗어나기 위해 서로 문제를 일으키지 않겠지만 내년 중·하반기가 되면 권력투쟁, 합종연횡이 일어날 가능성이 크다”며 “권력 기반이 취약한 김정은에게로 권력이 승계되는 과정에서 문제가 일어나지 않는 것이 오히려 비정상적인 일”이라고 분석했다.

남궁영	남궁영/NNP
한국외국어대	한국외국어대/NNP
정치외교학과	정치/NNG+외교학과/NNG
교수는	교수/NNG+는/JX
20일	20/SN+일/NNB
“당분간은	“/SS+당분간/NNG+은/JX
위기	위기/NNG
국면을	국면/NNG+을/JKO
벗어나기	벗어나/VV+기/ETN
위해	위하/VV+아/EC
서로	서로/MAG
문제를	문제/NNG+를/JKO
일으키지	일으키/VV+지/EC
않겠지만	않/VX+겠/EP+지만/EC
내년	내년/NNG
중·하반기가	중/NNG+·/SP+하반기/NNG+가/JKC
되면	되/VV+면/EC
권력투쟁,	권력/NNG+투쟁/NNG+,/SP
합종연횡이	합종연횡/NNG+이/JKS
일어날	일어나/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다”며	크/VA+다/EF+”/SS+며/EC
“권력	“/SS+권력/NNG
기반이	기반/NNG+이/JKS
취약한	취약/NNG+하/XSA+ㄴ/ETM
김정은에게로	김정은/NNP+에게/JKB+로/JKB
권력이	권력/NNG+이/JKS
승계되는	승계/NNG+되/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
문제가	문제/NNG+가/JKS
일어나지	일어나/VV+지/EC
않는	않/VX+는/ETM
것이	것/NNB+이/JKS
오히려	오히려/MAG
비정상적인	비/XPN+정상/NNG+적/XSN+이/VCP+ㄴ/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


