# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.363
metadata : {}


# id : NWRW1800000028.363.1.1
유럽의 환율전쟁

유럽의	유럽/NNP+의/JKG
환율전쟁	환율/NNG+전쟁/NNG


# id : NWRW1800000028.363.2.1
자국 화폐의 평가절하를 통해 경제적 이득을 취하는 환율 개입이 본격적으로 시작된 것은 1차대전 이후였다.

자국	자국/NNG
화폐의	화폐/NNG+의/JKG
평가절하를	평가/NNG+절하/NNG+를/JKO
통해	통하/VV+아/EC
경제적	경제/NNG+적/XSN
이득을	이득/NNG+을/JKO
취하는	취하/VV+는/ETM
환율	환율/NNG
개입이	개입/NNG+이/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
1차대전	1/SN+차/NNB+대전/NNG
이후였다.	이후/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.363.2.2
전후 금융위기를 겪은 프랑스은행은 1925년 말부터 프랑을 매각하고 외화를 매입하기 시작했다.

전후	전후/NNG
금융위기를	금융/NNG+위기/NNG+를/JKO
겪은	겪/VV+은/ETM
프랑스은행은	프랑스은행/NNP+은/JX
1925년	1925/SN+년/NNB
말부터	말/NNB+부터/JX
프랑을	프랑/NNB+을/JKO
매각하고	매각/NNG+하/XSV+고/EC
외화를	외화/NNG+를/JKO
매입하기	매입/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.363.2.3
1달러당 25프랑 이하로 프랑의 가치를 떨어뜨리기 위해서다.

1달러당	1/SN+달러/NNB+당/XSN
25프랑	25/SN+프랑/NNB
이하로	이하/NNG+로/JKB
프랑의	프랑/NNG+의/JKG
가치를	가치/NNG+를/JKO
떨어뜨리기	떨어뜨리/VV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000028.363.2.4
당시 금본위제를 유지하던 국가들은 이런 식의 환율 개입을 상상할 수 없었다.

당시	당시/NNG
금본위제를	금/NNG+본위/NNG+제/XSN+를/JKO
유지하던	유지/NNG+하/XSV+던/ETM
국가들은	국가/NNG+들/XSN+은/JX
이런	이런/MMD
식의	식/NNB+의/JKG
환율	환율/NNG
개입을	개입/NNG+을/JKO
상상할	상상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000028.363.2.5
평가절하 이후 프랑스에선 수출이 급증하고 외화가 밀려들기 시작했다.

평가절하	평가/NNG+절하/NNG
이후	이후/NNG
프랑스에선	프랑스/NNP+에서/JKB+ㄴ/JX
수출이	수출/NNG+이/JKS
급증하고	급증/NNG+하/XSV+고/EC
외화가	외화/NNG+가/JKS
밀려들기	밀려들/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.363.2.6
10억달러도 안 되던 외환보유액은 1930년 30억달러로 급증했고, 프랑스는 경제적 번영을 누렸다.

10억달러도	10/SN+억/NR+달러/NNB+도/JX
안	안/MAG
되던	되/VV+던/ETM
외환보유액은	외환/NNG+보유액/NNG+은/JX
1930년	1930/SN+년/NNB
30억달러로	30/SN+억/NR+달러/NNB+로/JKB
급증했고,	급증/NNG+하/XSV+았/EP+고/EC+,/SP
프랑스는	프랑스/NNP+는/JX
경제적	경제/NNG+적/XSN
번영을	번영/NNG+을/JKO
누렸다.	누리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.363.3.1
금본위제를 고수하던 영국에선 막대한 자본과 금이 프랑스로 빠져나갔다.

금본위제를	금/NNG+본위/NNG+제/XSN+를/JKO
고수하던	고수/NNG+하/XSV+던/ETM
영국에선	영국/NNP+에서/JKB+ㄴ/JX
막대한	막대하/VA+ㄴ/ETM
자본과	자본/NNG+과/JC
금이	금/NNG+이/JKS
프랑스로	프랑스/NNP+로/JKB
빠져나갔다.	빠져나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.363.3.2
파운드화 가치가 고평가돼 있었기 때문이다.

파운드화	파운드화/NNG
가치가	가치/NNG+가/JKS
고평가돼	고/XPN+평가/NNG+되/XSV+어/EC
있었기	있/VX+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.363.3.3
