# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.389
metadata : {}


# id : NWRW1800000054.389.1.1
'인권 칼' 빼든 미국, 중국에 '무역 칼'까지 만지작

'인권	'/SS+인권/NNG
칼'	칼/NNG+'/SS
빼든	빼/VV+어/EC+들/VV+ㄴ/ETM
미국,	미국/NNP+,/SP
중국에	중국/NNP+에/JKB
'무역	'/SS+무역/NNG
칼'까지	칼/NNG+'/SS+까지/JX
만지작	만지작/XR


# id : NWRW1800000054.389.2.1
美국무부 "최악 인신매매국"… 상무부, 中철강에 고관세 매길듯

美국무부	美/SH+국무부/NNG
"최악	"/SS+최악/NNG
인신매매국"…	인신매매국/NNG+"/SS+…/SE
상무부,	상무부/NNG+,/SP
中철강에	中/SH+철강/NNG+에/JKB
고관세	고/XPN+관세/NNG
매길듯	매기/VV+ㄹ/ETM+듯/NNB


# id : NWRW1800000054.389.3.1
렉스 틸러슨 미국 국무장관은 27일(현지 시각) 중국을 '최악의 인신매매 국가(3등급)'로 재지정하면서 "인신매매 문제가 국가 안보와 연결될 수 있다"고 말했다.

렉스	렉스/NNP
틸러슨	틸러슨/NNP
미국	미국/NNP
국무장관은	국무/NNG+장관/NNG+은/JX
27일(현지	27/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
중국을	중국/NNP+을/JKO
'최악의	'/SS+최악/NNG+의/JKG
인신매매	인신매매/NNG
국가(3등급)'로	국가/NNG+(/SS+3/SN+등급/NNG+)/SS+'/SS+로/JKB
재지정하면서	재/XPN+지정/NNG+하/XSV+면서/EC
"인신매매	"/SS+인신매매/NNG
문제가	문제/NNG+가/JKS
국가	국가/NNG
안보와	안보/NNG+와/JKB
연결될	연결/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.389.3.2
그러면서 인권과 안보가 결합한 대표적 사례로 북한을 꼭 찍어 거론했다.

그러면서	그러/VV+면서/EC
인권과	인권/NNG+과/JC
안보가	안보/NNG+가/JKS
결합한	결합/NNG+하/XSV+ㄴ/ETM
대표적	대표/NNG+적/XSN
사례로	사례/NNG+로/JKB
북한을	북한/NNP+을/JKO
꼭	꼭/MAG
찍어	찍/VV+어/EC
거론했다.	거론/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.389.3.3
