# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.414
metadata : {}


# id : NWRW1800000030.414.1.1
[수도권I] 김문수 지사, 택시 몰고 경기도 한 바퀴

[수도권I]	[/SS+수도/NNG+권/XSN+I/SL+]/SS
김문수	김문수/NNP
지사,	지사/NNG+,/SP
택시	택시/NNG
몰고	몰/VV+고/EC
경기도	경기도/NNP
한	한/MMN
바퀴	바퀴/NNB


# id : NWRW1800000030.414.2.1
•18일 이천서 28번째 운전

•18일	•/SW+18/SN+일/NNB
이천서	이천/NNP+서/JKB
28번째	28/SN+번/NNB+째/XSN
운전	운전/NNG


# id : NWRW1800000030.414.3.1
김문수 경기도 지사가 이천시 장호원읍 오성운수에서 18일 28번째 택시운전 체험을 한다.

김문수	김문수/NNP
경기도	경기도/NNP
지사가	지사/NNG+가/JKS
이천시	이천시/NNP
장호원읍	장호원읍/NNP
오성운수에서	오성운수/NNP+에서/JKB
18일	18/SN+일/NNB
28번째	28/SN+번/NNB+째/XSN
택시운전	택시/NNG+운전/NNG
체험을	체험/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.414.3.2
김 지사는 지난 2009년 1월부터 도내 시·군을 돌며 2년8개월째 택시운전 체험을 해오고 있다.

김	김/NNP
지사는	지사/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
1월부터	1/SN+월/NNB+부터/JX
도내	도내/NNG
시·군을	시/NNG+·/SP+군/NNG+을/JKO
돌며	돌/VV+며/EC
2년8개월째	2/SN+년/NNB+8/SN+개월/NNB+째/XSN
택시운전	택시/NNG+운전/NNG
체험을	체험/NNG+을/JKO
해오고	하/VV+아/EC+오/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.414.4.1
경기도에 따르면 이천시는 김 지사가 경기도 내 시·군 가운데 유일하게 택시체험을 하지 않은 지역이며, 이천시에서 택시운전을 마치게 되면 도내 31개 시·군 전역에서 택시체험을 한 셈이 된다.

경기도에	경기도/NNP+에/JKB
따르면	따르/VV+면/EC
이천시는	이천시/NNP+는/JX
김	김/NNP
지사가	지사/NNG+가/JKS
경기도	경기도/NNP
내	내/NNB
시·군	시·군/NNG
가운데	가운데/NNG
유일하게	유일/NNG+하/XSA+게/EC
택시체험을	택시/NNG+체험/NNG+을/JKO
하지	하/VV+지/EC
않은	않/VX+은/ETM
지역이며,	지역/NNG+이/VCP+며/EC+,/SP
이천시에서	이천시/NNP+에서/JKB
택시운전을	택시/NNG+운전/NNG+을/JKO
마치게	마치/VV+게/EC
되면	되/VV+면/EC
도내	도내/NNG
31개	31/SN+개/NNB
전역에서	전역/NNG+에서/JKB
한	하/VV+ㄴ/ETM
셈이	셈/NNB+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.414.4.2
