# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.350
metadata : {}


# id : NWRW1800000033.350.1.1
49년 ‘동네의사’ 안철수 부친, 사회기여 중요성 가르쳐

49년	49/SN+년/NNB
‘동네의사’	‘/SS+동네/NNG+의사/NNG+’/SS
안철수	안철수/NNP
부친,	부친/NNG+,/SP
사회기여	사회/NNG+기여/NNG
중요성	중요/NNG+성/XSN
가르쳐	가르치/VV+어/EC


# id : NWRW1800000033.350.2.1
■ 安후보의 가족… 부인 김미경씨는 의대 후배 1988년 결혼, 외동딸만 둬

■	■/SW
安후보의	安/SH+후보/NNG+의/JKG
가족…	가족/NNG+…/SE
부인	부인/NNG
김미경씨는	김미경/NNP+씨/NNB+는/JX
의대	의대/NNG
후배	후배/NNG
1988년	1988/SN+년/NNB
결혼,	결혼/NNG+,/SP
외동딸만	외동딸/NNG+만/JX
둬	두/VV+어/EC


# id : NWRW1800000033.350.3.1
안철수 후보는 유복한 중산층 집안에서 성장했다.

안철수	안철수/NNP
후보는	후보/NNG+는/JX
유복한	유복하/VA+ㄴ/ETM
중산층	중산/NNG+층/XSN
집안에서	집안/NNG+에서/JKB
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.350.3.2
안 후보가 ‘사회에 대한 기여’를 중시하는 데는 부친 안영모 씨(82)가 큰 영향을 미쳤다.

안	안/NNP
후보가	후보/NNG+가/JKS
‘사회에	‘/SS+사회/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기여’를	기여/NNG+’/SS+를/JKO
중시하는	중시/NNG+하/XSV+는/ETM
데는	데/NNB+는/JX
부친	부친/NNG
안영모	안영모/NNP
씨(82)가	씨/NNB+(/SS+82/SN+)/SS+가/JKS
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미쳤다.	미치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.350.4.1
부친은 서울대 의대를 졸업한 뒤 1963년 부산 범천동 판자촌에 범천의원을 열어 49년간 ‘동네의사’로 일했다.

부친은	부친/NNG+은/JX
서울대	서울대/NNP
의대를	의대/NNG+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
1963년	1963/SN+년/NNB
부산	부산/NNP
범천동	범천동/NNP
판자촌에	판자촌/NNG+에/JKB
범천의원을	범천의원/NNP+을/JKO
열어	열/VV+어/EC
49년간	49/SN+년/NNB+간/XSN
‘동네의사’로	‘/SS+동네/NNG+의사/NNG+’/SS+로/JKB
일했다.	일/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.350.4.2
제대로 된 의료법이 제정되기 전까지 다른 병원 진료비의 절반만 받았고 어려운 환자는 무료로 진료해 ‘부산의 슈바이처’로 불렸다.

제대로	제대로/MAG
된	되/VV+ㄴ/ETM
의료법이	의료법/NNG+이/JKS
제정되기	제정/NNG+되/XSV+기/ETN
전까지	전/NNG+까지/JX
다른	다른/MMD
병원	병원/NNG
진료비의	진료비/NNG+의/JKG
절반만	절반/NNG+만/JX
받았고	받/VV+았/EP+고/EC
어려운	어렵/VA+ㄴ/ETM
환자는	환자/NNG+는/JX
무료로	무료/NNG+로/JKB
진료해	진료/NNG+하/XSV+아/EC
‘부산의	‘/SS+부산/NNP+의/JKG
슈바이처’로	슈바이처/NNP+’/SS+로/JKB
불렸다.	불리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.350.4.3
하지만 그는 올해 5월 병원 문을 닫았다.

하지만	하지만/MAJ
그는	그/NP+는/JX
올해	올해/NNG
5월	5/SN+월/NNB
병원	병원/NNG
문을	문/NNG+을/JKO
닫았다.	닫/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.350.4.4
아들의 대선 출마 여부에 대한 관심이 쏠리며 취재진의 병원 방문이 잦아지자 부담을 느꼈기 때문이다.

아들의	아들/NNG+의/JKG
대선	대선/NNG
출마	출마/NNG
여부에	여부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
쏠리며	쏠리/VV+며/EC
취재진의	취재진/NNG+의/JKG
병원	병원/NNG
방문이	방문/NNG+이/JKS
잦아지자	잦아지/VV+자/EC
