# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000034.178
metadata : {}


# id : NWRW1800000034.178.1.1
[술에 너그러운 문화, 범죄 키우는 한국] (23) 운전중 들러 한잔… 국도 휴게소 43곳(경기·강원 조사지역) 중 42곳서 술 팔아

[술에	[/SS+술/NNG+에/JKB
너그러운	너그럽/VA+ㄴ/ETM
문화,	문화/NNG+,/SP
범죄	범죄/NNG
키우는	키우/VV+는/ETM
한국]	한국/NNP+]/SS
(23)	(/SS+23/SN+)/SS
운전중	운전/NNG+중/NNB
들러	들르/VV+어/EC
한잔…	한잔/NNG+…/SE
국도	국도/NNG
휴게소	휴게소/NNG
43곳(경기·강원	43/SN+곳/NNG+(/SS+경기/NNP+·/SP+강원/NNP
조사지역)	조사/NNG+지역/NNG+)/SS
중	중/NNB
42곳서	42/SN+곳/NNG+서/JKB
술	술/NNG
팔아	팔/VV+아/EF


# id : NWRW1800000034.178.2.1
국도·고속도로 휴게소 르포… 국도선 80여명 중 17명이 술 사거나 마신 뒤 차에 타

국도·고속도로	국도/NNG+·/SP+고속/NNG+도로/NNG
휴게소	휴게소/NNG
르포…	르포/NNG+…/SE
국도선	국도/NNG+서/JKB+ㄴ/JX
80여명	80/SN+여/XSN+명/NNB
중	중/NNB
17명이	17/SN+명/NNB+이/JKS
술	술/NNG
사거나	사/VV+거나/EC
마신	마시/VV+ㄴ/ETM
뒤	뒤/NNG
차에	차/NNG+에/JKB
타	타/VV+아/EF


# id : NWRW1800000034.178.3.1
본지 취재팀은 지난 4일 오후 8시부터 11시까지 3시간 동안 경기도 평택에 있는 한 국도변 휴게소의 음주 실태를 취재했다.

본지	본지/NNG
취재팀은	취재/NNG+팀/NNG+은/JX
지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
오후	오후/NNG
8시부터	8/SN+시/NNB+부터/JX
11시까지	11/SN+시/NNB+까지/JX
3시간	3/SN+시간/NNB
동안	동안/NNG
경기도	경기도/NNP
평택에	평택/NNP+에/JKB
있는	있/VA+는/ETM
한	한/MMN
국도변	국도/NNG+변/NNG
휴게소의	휴게소/NNG+의/JKG
음주	음주/NNG
실태를	실태/NNG+를/JKO
취재했다.	취재/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000034.178.3.2
3시간 동안 이 휴게소를 이용한 80여명의 운전자 중 17명이 휴게소 매점에서 술을 사거나 식당에서 술을 마신 뒤 차를 몰고 도로로 나섰다.

3시간	3/SN+시간/NNB
동안	동안/NNG
이	이/MMD
휴게소를	휴게소/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
80여명의	80/SN+여/XSN+명/NNB+의/JKG
운전자	운전자/NNG
중	중/NNB
17명이	17/SN+명/NNB+이/JKS
휴게소	휴게소/NNG
매점에서	매점/NNG+에서/JKB
술을	술/NNG+을/JKO
사거나	사/VV+거나/EC
식당에서	식당/NNG+에서/JKB
마신	마시/VV+ㄴ/ETM
뒤	뒤/NNG
차를	차/NNG+를/JKO
몰고	몰/VV+고/EC
도로로	도로/NNG+로/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.178.3.3
승용차를 몰고 휴게소를 찾은 한 남성은 맥주 2캔을 사들고 나와 마시면서 차에 올랐고, 또 다른 남성은 식당에서 라면 한 그릇을 비운 뒤 맥주 2캔을 양손에 들고 자연스레 차에 올랐다.

승용차를	승용차/NNG+를/JKO
몰고	몰/VV+고/EC
휴게소를	휴게소/NNG+를/JKO
찾은	찾/VV+은/ETM
한	한/MMN
남성은	남성/NNG+은/JX
맥주	맥주/NNG
2캔을	2/SN+캔/NNG+을/JKO
사들고	사/VV+아/EC+들/VV+고/EC
나와	나오/VV+아/EC
마시면서	마시/VV+면서/EC
차에	차/NNG+에/JKB
올랐고,	오르/VV+았/EP+고/EC+,/SP
또	또/MAG
다른	다른/MMD
식당에서	식당/NNG+에서/JKB
라면	라면/NNG
그릇을	그릇/NNG+을/JKO
비운	비우/VV+ㄴ/ETM
뒤	뒤/NNG
양손에	양손/NNG+에/JKB
들고	들/VV+고/EC
자연스레	자연스레/MAG
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000034.178.3.4
식당에서 순댓국을 먹던 남성 2명은 반주(飯酒)로 소주 2병을 깨끗이 비운 뒤 얼굴이 불콰해진 채로 자리에서 일어났다.

식당에서	식당/NNG+에서/JKB
순댓국을	순댓국/NNG+을/JKO
먹던	먹/VV+던/ETM
남성	남성/NNG
2명은	2/SN+명/NNB+은/JX
반주(飯酒)로	반주/NNG+(/SS+飯酒/SH+)/SS+로/JKB
소주	소주/NNG
2병을	2/SN+병/NNG+을/JKO
깨끗이	깨끗이/MAG
비운	비우/VV+ㄴ/ETM
뒤	뒤/NNG
얼굴이	얼굴/NNG+이/JKS
불콰해진	불콰하/VA+아/EC+지/VX+ㄴ/ETM
채로	채/NNB+로/JKB
자리에서	자리/NNG+에서/JKB
일어났다.	일어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000034.178.3.5
이들은 어깨동무를 하고 서로에게 의지한 채 자연스레 휴게소 주차장에 세운 소형트럭에 올라타고 휴게소를 빠져나갔다.

이들은	이/NP+들/XSN+은/JX
어깨동무를	어깨동무/NNG+를/JKO
하고	하/VV+고/EC
서로에게	서로/NNG+에게/JKB
의지한	의지/NNG+하/XSV+ㄴ/ETM
채	채/NNB
자연스레	자연스레/MAG
휴게소	휴게소/NNG
주차장에	주차장/NNG+에/JKB
세운	세우/VV+ㄴ/ETM
소형트럭에	소형/NNG+트럭/NNG+에/JKB
올라타고	올라타/VV+고/EC
휴게소를	휴게소/NNG+를/JKO
빠져나갔다.	빠져나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000034.178.4.1
'술판'이 벌어지는 국도변 휴게소는 이곳뿐이 아니다.

'술판'이	'/SS+술판/NNG+'/SS+이/JKS
벌어지는	벌어지/VV+는/ETM
국도변	국도/NNG+변/NNG
휴게소는	휴게소/NNG+는/JX
이곳뿐이	이곳/NP+뿐/JX+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000034.178.4.2
운전자들이 잠시 휴식을 취하거나 배고픔을 해결하는 휴게소에 마음껏 술을 마실 수 있는 인프라가 구축돼 있기 때문이다.

운전자들이	운전자/NNG+들/XSN+이/JKS
잠시	잠시/MAG
휴식을	휴식/NNG+을/JKO
취하거나	취하/VV+거나/EC
배고픔을	배고픔/NNG+을/JKO
해결하는	해결/NNG+하/XSV+는/ETM
휴게소에	휴게소/NNG+에/JKB
마음껏	마음껏/MAG
술을	술/NNG+을/JKO
마실	마시/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
인프라가	인프라/NNG+가/JKS
구축돼	구축/NNG+되/XSV+어/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000034.178.4.3
취재팀이 경기도와 강원도 일대의 국도변 휴게소 43곳을 무작위로 골라 취재한 결과, 한 곳을 제외한 42곳의 휴게소에서 술을 팔고 있었다.

취재팀이	취재/NNG+팀/NNG+이/JKS
경기도와	경기도/NNP+와/JC
강원도	강원도/NNP
일대의	일대/NNG+의/JKG
국도변	국도/NNG+변/NNG
휴게소	휴게소/NNG
43곳을	43/SN+곳/NNG+을/JKO
무작위로	무/XPN+작위/NNG+로/JKB
골라	고르/VV+아/EC
취재한	취재/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
한	한/MMN
곳을	곳/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
42곳의	42/SN+곳/NNG+의/JKG
휴게소에서	휴게소/NNG+에서/JKB
술을	술/NNG+을/JKO
팔고	팔/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000034.178.4.4
술을 마셔서도, 팔아서도 안 될 것 같은 국도변 휴게소가 '달리는 주폭(酒暴)'이나 마찬가지인 음주운전자들을 양산하는 '술집'으로 둔갑한 셈이다.

술을	술/NNG+을/JKO
마셔서도,	마시/VV+어서/EC+도/JX+,/SP
팔아서도	팔/VV+아서/EC+도/JX
안	안/MAG
될	되/VV+ㄹ/ETM
것	것/NNB
같은	같/VA+은/ETM
국도변	국도/NNG+변/NNG
