# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.38
metadata : {}


# id : NWRW1800000030.38.1.1
빈부격차·물가苦… 中 시위 작년 18만건

빈부격차·물가苦…	빈부/NNG+격차/NNG+·/SP+물가/NNG+苦/SH+…/SE
中	中/SH
시위	시위/NNG
작년	작년/NNG
18만건	18/SN+만/NR+건/NNB


# id : NWRW1800000030.38.2.1
•인터넷 때문에 통제 힘들고 내년 권력 교체기 앞두고 지방 장악력 약화도 한몫

•인터넷	•/SW+인터넷/NNG
때문에	때문/NNB+에/JKB
통제	통제/NNG
힘들고	힘들/VA+고/EC
내년	내년/NNG
권력	권력/NNG
교체기	교체기/NNG
앞두고	앞두/VV+고/EC
지방	지방/NNG
장악력	장악력/NNG
약화도	약화/NNG+도/JX
한몫	한몫/NNG


# id : NWRW1800000030.38.3.1
중국 전역에서 지난해 고물가·생활고·공무원 부패 등에 항의하는 집단 시위가 18만여 차례 발생했으며 올해에는 시위 횟수나 강도(强度)가 작년을 넘어서고 있다고 뉴욕타임스가 15일 보도했다.

중국	중국/NNP
전역에서	전역/NNG+에서/JKB
지난해	지난해/NNG
고물가·생활고·공무원	고/XPN+물가/NNG+·/SP+생활고/NNG+·/SP+공무원/NNG
부패	부패/NNG
등에	등/NNB+에/JKB
항의하는	항의/NNG+하/XSV+는/ETM
집단	집단/NNG
시위가	시위/NNG+가/JKS
18만여	18/SN+만/NR+여/XSN
차례	차례/NNG
발생했으며	발생/NNG+하/XSV+았/EP+으며/EC
올해에는	올해/NNG+에/JKB+는/JX
시위	시위/NNG
횟수나	횟수/NNG+나/JC
강도(强度)가	강도/NNG+(/SS+强度/SH+)/SS+가/JKS
작년을	작년/NNG+을/JKO
넘어서고	넘어서/VV+고/EC
있다고	있/VX+다고/EC
뉴욕타임스가	뉴욕타임스/NNP+가/JKS
15일	15/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.38.4.1
뉴욕타임스는 과거 정부의 강압적인 통제 앞에 떨었던 중국인들이 거리로 몰려나와 당당히 목소리를 내고 있으며 이제 집단 시위가 일상 다반사가 됐다고 전했다.

뉴욕타임스는	뉴욕타임스/NNP+는/JX
과거	과거/NNG
정부의	정부/NNG+의/JKG
