# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.421
metadata : {}


# id : NWRW1800000030.421.1.1
[강원] "양대 과제는 요금과 관광상품 개발" •'ITX 청춘' 전철 12월 개통 "1만3000원대 요금은 망발" 관광객 흡입할 상품도 시급

[강원]	[/SS+강원/NNP+]/SS
"양대	"/SS+양대/MMA
과제는	과제/NNG+는/JX
요금과	요금/NNG+과/JC
관광상품	관광/NNG+상품/NNG
개발"	개발/NNG+"/SS
•'ITX	•/SW+'/SS+ITX/SL
청춘'	청춘/NNG+'/SS
전철	전철/NNG
12월	12/SN+월/NNB
개통	개통/NNG
"1만3000원대	"/SS+1/SN+만/NR+3000/SN+원/NNB+대/XSN
요금은	요금/NNG+은/JX
망발"	망발/NNG+"/SS
관광객	관광객/NNG
흡입할	흡입/NNG+하/XSV+ㄹ/ETM
상품도	상품/NNG+도/JX
시급	시급/XR


# id : NWRW1800000030.421.2.1
국내 최초로 도시간을 180㎞ 속도로 연결하는 준고속 전철 'ITX 청춘'이 다음달부터 서울 용산과 춘천을 오가게 된다.

국내	국내/NNG
최초로	최초/NNG+로/JKB
도시간을	도시/NNG+간/NNB+을/JKO
180㎞	180/SN+㎞/SW
속도로	속도/NNG+로/JKB
연결하는	연결/NNG+하/XSV+는/ETM
준고속	준/XPN+고속/NNG
전철	전철/NNG
'ITX	'/SS+ITX/SL
청춘'이	청춘/NNG+'/SS+이/JKS
다음달부터	다음/NNG+달/NNG+부터/JX
서울	서울/NNP
용산과	용산/NNP+과/JC
춘천을	춘천/NNP+을/JKO
오가게	오가/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.421.2.2
첫 2층 좌석형 급행전철로, 용산~춘천이 1시간 거리가 된다.

첫	첫/MMN
2층	2/SN+층/NNG
좌석형	좌석/NNG+형/XSN
급행전철로,	급행/NNG+전철/NNG+로/JKB+,/SP
용산~춘천이	용산/NNP+~/SO+춘천/NNP+이/JKS
1시간	1/SN+시간/NNB
거리가	거리/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.421.3.1
'ITX 청춘'은 큰 기대를 모았지만 지금은 오히려 우려의 대상이다.

'ITX	'/SS+ITX/SL
청춘'은	청춘/NNG+'/SS+은/JX
큰	크/VA+ㄴ/ETM
기대를	기대/NNG+를/JKO
모았지만	모으/VV+았/EP+지만/EC
지금은	지금/NNG+은/JX
오히려	오히려/MAG
우려의	우려/NNG+의/JKG
