# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.219
metadata : {}


# id : NWRW1800000044.219.1.1
경기교육감 인수위 “도민 의견 받습니다”

경기교육감	경기/NNP+교육감/NNG
인수위	인수위/NNG
“도민	“/SS+도민/NNG
의견	의견/NNG
받습니다”	받/VV+습니다/EF+”/SS


# id : NWRW1800000044.219.2.1
[한겨레] 누리집에 정책제안 게시판

[한겨레]	[/SS+한겨레/NNP+]/SS
누리집에	누리집/NNG+에/JKB
정책제안	정책/NNG+제안/NNG
게시판	게시판/NNG


# id : NWRW1800000044.219.3.1
‘2014 경기도 교육감직 인수위원회’(위원장 김상근 목사)는 19일 경기도교육청 누리집의 인수위 게시판에 ‘경기도민 정책제안 게시판’을 만들어 경기도에 거주하는 학생과 학부모 등 도민들에게서 직접 교육 현장에 대한 의견을 수렴해 정책에 반영하기로 했다.

‘2014	‘/SS+2014/SN
경기도	경기도/NNP
교육감직	교육감/NNG+직/NNG
인수위원회’(위원장	인수/NNG+위원회/NNG+’/SS+(/SS+위원장/NNG
김상근	김상근/NNP
목사)는	목사/NNG+)/SS+는/JX
19일	19/SN+일/NNB
경기도교육청	경기도교육청/NNP
누리집의	누리집/NNG+의/JKG
인수위	인수위/NNG
게시판에	게시판/NNG+에/JKB
‘경기도민	‘/SS+경기/NNP+도민/NNG
정책제안	정책/NNG+제안/NNG
게시판’을	게시판/NNG+’/SS+을/JKO
만들어	만들/VV+어/EC
경기도에	경기도/NNP+에/JKB
거주하는	거주/NNG+하/XSV+는/ETM
학생과	학생/NNG+과/JC
학부모	학부모/NNG
등	등/NNB
도민들에게서	도민/NNG+들/XSN+에게서/JKB
직접	직접/MAG
교육	교육/NNG
현장에	현장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
수렴해	수렴/NNG+하/XSV+아/EC
정책에	정책/NNG+에/JKB
반영하기로	반영/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.219.4.1
인수위는 “도민의 뜻으로 당선된 경기도교육감이 실질적이고 책임 있는 정책을 마련하기 위해서는 다양한 주민 의견 수렴과 적극적인 소통이 필요해 정책제안 게시판을 마련해 운영하기로 했다”고 밝혔다.

인수위는	인수위/NNG+는/JX
“도민의	“/SS+도민/NNG+의/JKG
뜻으로	뜻/NNG+으로/JKB
당선된	당선/NNG+되/XSV+ㄴ/ETM
경기도교육감이	경기도/NNP+교육감/NNG+이/JKS
실질적이고	실질/NNG+적/XSN+이/VCP+고/EC
책임	책임/NNG
있는	있/VA+는/ETM
정책을	정책/NNG+을/JKO
마련하기	마련/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
주민	주민/NNG
의견	의견/NNG
수렴과	수렴/NNG+과/JC
