# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.26
metadata : {}


# id : NWRW1800000049.26.1.1
“세계 최고경쟁력 착각해와” 현대重 플랜트 首長의 반성

“세계	“/SS+세계/NNG
최고경쟁력	최고/NNG+경쟁력/NNG
착각해와”	착각/NNG+하/XSV+아/EC+오/VX+아/EC+”/SS
현대重	현대重/NNP
플랜트	플랜트/NNG
首長의	首長/SH+의/JKG
반성	반성/NNG


# id : NWRW1800000049.26.2.1
박철호 대표, 임직원에 ‘자성 이메일’

박철호	박철호/NNP
대표,	대표/NNG+,/SP
임직원에	임직원/NNG+에/JKB
‘자성	‘/SS+자성/NNG
이메일’	이메일/NNG+’/SS


# id : NWRW1800000049.26.3.1
박철호 현대중공업 플랜트사업본부 대표가 회사의 플랜트 수주 위기에 대해 임직원들에게 “과거 성공에 안주해 경쟁력 강화에 소홀했다”며 반성하는 내용의 서한을 보내 눈길을 끌었다.

박철호	박철호/NNP
현대중공업	현대중공업/NNP
플랜트사업본부	플랜트/NNG+사업/NNG+본부/NNG
대표가	대표/NNG+가/JKS
회사의	회사/NNG+의/JKG
플랜트	플랜트/NNG
수주	수주/NNG
위기에	위기/NNG+에/JKB
대해	대하/VV+아/EC
임직원들에게	임직원/NNG+들/XSN+에게/JKB
“과거	“/SS+과거/NNG
성공에	성공/NNG+에/JKB
안주해	안주/NNG+하/XSV+아/EC
경쟁력	경쟁력/NNG
강화에	강화/NNG+에/JKB
소홀했다”며	소홀/NNG+하/XSA+았/EP+다/EF+”/SS+며/EC
반성하는	반성/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
서한을	서한/NNG+을/JKO
보내	보내/VV+어/EC
눈길을	눈길/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.26.4.1
13일 현대중공업에 따르면 박 대표는 이날 플랜트사업본부 임직원 1400여 명에게 보낸 이메일에서 “최근 경영 악화로 우리 사업본부가 비전을 잃고 임직원 여러분의 사기와 의욕도 크게 떨어져 있음을 잘 알고 있으며 무한 책임감을 느낀다”고 밝혔다.

13일	13/SN+일/NNB
현대중공업에	현대중공업/NNP+에/JKB
따르면	따르/VV+면/EC
박	박/NNP
대표는	대표/NNG+는/JX
이날	이날/NNG
플랜트사업본부	플랜트/NNG+사업/NNG+본부/NNG
임직원	임직원/NNG
1400여	1400/SN+여/XSN
명에게	명/NNB+에게/JKB
보낸	보내/VV+ㄴ/ETM
이메일에서	이메일/NNG+에서/JKB
“최근	“/SS+최근/NNG
경영	경영/NNG
악화로	악화/NNG+로/JKB
우리	우리/NP
사업본부가	사업/NNG+본부/NNG+가/JKS
비전을	비전/NNG+을/JKO
잃고	잃/VV+고/EC
여러분의	여러분/NP+의/JKG
사기와	사기/NNG+와/JC
