# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.91
metadata : {}


# id : NWRW1800000022.91.1.1
제철 맞은 대게, 통발째 훔쳐가는 도둑들;포항·영덕·울진서 기승 범행현장 포착 어려워 피해 어민들 '속앓이'

제철	제철/NNG
맞은	맞/VV+은/ETM
대게,	대게/NNG+,/SP
통발째	통발/NNG+째/XSN
훔쳐가는	훔치/VV+어/EC+가/VX+는/ETM
도둑들;포항·영덕·울진서	도둑/NNG+들/XSN+;/SP+포항/NNP+·/SP+영덕/NNP+·/SP+울진/NNP+서/JKB
기승	기승/NNG
범행현장	범행/NNG+현장/NNG
포착	포착/NNG
어려워	어렵/VA+어/EC
피해	피해/NNG
어민들	어민/NNG+들/XSN
'속앓이'	'/SS+속앓이/NNG+'/SS


# id : NWRW1800000022.91.2.1
바다에서 대게를 훔쳤습니다….

바다에서	바다/NNG+에서/JKB
대게를	대게/NNG+를/JKO
훔쳤습니다….	훔치/VV+었/EP+습니다/EF+…/SE+./SF


# id : NWRW1800000022.91.3.1
대게잡이 배를 타는 선원 김모(45)씨는 지난 14일 경북 영덕군 강구 해양경찰서에 전화를 걸어 자신의 '대게 절도' 행각을 털어놨다.

대게잡이	대게잡이/NNG
배를	배/NNG+를/JKO
타는	타/VV+는/ETM
선원	선원/NNG
김모(45)씨는	김/NNP+모/NP+(/SS+45/SN+)/SS+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
경북	경북/NNP
영덕군	영덕군/NNP
강구	강구/NNG
해양경찰서에	해양경찰서/NNP+에/JKB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
자신의	자신/NNG+의/JKG
'대게	'/SS+대게/NNG
절도'	절도/NNG+'/SS
행각을	행각/NNG+을/JKO
털어놨다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.91.3.2
해경에 따르면, 김씨는 지난달 12, 19일 두 차례에 걸쳐 5t어선 선장 김모(51)씨와 함께 경북 영덕군 강구읍 앞바다에 나가 동네 주민 김모(54)씨가 쳐놓은 그물을 걷어 올려 대게 200여마리를 훔쳤다.

해경에	해경/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
김씨는	김/NNP+씨/NNB+는/JX
지난달	지난달/NNG
12,	12/SN+,/SP
19일	19/SN+일/NNB
두	두/MMN
차례에	차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
5t어선	5/SN+t/SW+어선/NNG
선장	선장/NNG
김모(51)씨와	김/NNP+모/NP+(/SS+51/SN+)/SS+씨/NNB+와/JKB
함께	함께/MAG
경북	경북/NNP
영덕군	영덕군/NNP
강구읍	강구읍/NNP
앞바다에	앞바다/NNG+에/JKB
나가	나가/VV+아/EC
동네	동네/NNG
주민	주민/NNG
김모(54)씨가	김/NNP+모/NP+(/SS+54/SN+)/SS+씨/NNB+가/JKS
쳐놓은	치/VV+어/EC+놓/VX+은/ETM
그물을	그물/NNG+을/JKO
걷어	걷/VV+어/EC
올려	올리/VV+어/EC
대게	대게/NNG
200여마리를	200/SN+여/XSN+마리/NNB+를/JKO
훔쳤다.	훔치/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.91.3.3
알맹이가 빠진 그물은 색을 덧칠해 다른 곳에 쳐놨다고 한다.

알맹이가	알맹이/NNG+가/JKS
빠진	빠지/VV+ㄴ/ETM
그물은	그물/NNG+은/JX
색을	색/NNG+을/JKO
덧칠해	덧칠/NNG+하/XSV+아/EC
다른	다른/MMD
곳에	곳/NNG+에/JKB
쳐놨다고	치/VV+어/EC+놓/VX+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.91.3.4
