# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.318
metadata : {}


# id : NWRW1800000030.318.1.1
대주주 횡령자금 환수해 저축銀 피해자 구제 검토

대주주	대/XPN+주주/NNG
횡령자금	횡령/NNG+자금/NNG
환수해	환수/NNG+하/XSV+아/EC
저축銀	저축/NNG+銀/SH
피해자	피해자/NNG
구제	구제/NNG
검토	검토/NNG


# id : NWRW1800000030.318.2.1
?규정 불명확해 현실성 의문

?규정	?/NA+규정/NNG
불명확해	불명확하/VA+아/EC
현실성	현실/NNG+성/XSN
의문	의문/NNG


# id : NWRW1800000030.318.3.1
정부와 한나라당이 부산저축은행 사태 해결을 위해 대주주·직원들의 횡령 자금과 영업시간 외 불법인출된 자금을 환수해 이 돈을 예금자 피해 구제에 쓰는 방안을 추진하고 있다.

정부와	정부/NNG+와/JC
한나라당이	한나라당/NNP+이/JKS
부산저축은행	부산저축은행/NNP
사태	사태/NNG
해결을	해결/NNG+을/JKO
위해	위하/VV+아/EC
대주주·직원들의	대/XPN+주주/NNG+·/SP+직원/NNG+들/XSN+의/JKG
횡령	횡령/NNG
자금과	자금/NNG+과/JC
영업시간	영업시간/NNG
외	외/NNB
불법인출된	불법/NNG+인출/NNG+되/XSV+ㄴ/ETM
자금을	자금/NNG+을/JKO
환수해	환수/NNG+하/XSV+아/EC
이	이/MMD
돈을	돈/NNG+을/JKO
예금자	예금자/NNG
피해	피해/NNG
구제에	구제/NNG+에/JKB
쓰는	쓰/VV+는/ETM
방안을	방안/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.318.4.1
국회 정무위원회 고위관계자는 11일 "예금자보호한도(5000만원) 이상의 돈을 보전해주는 것은 법적으로 불가능하지만, 대신 수백억원의 임직원 횡령자금과 불법인출된 자금을 환수해 이 돈으로 예금자들의 손해를 줄이는 방안을 추진 중"이라고 말했다.

국회	국회/NNG
정무위원회	정무/NNG+위원회/NNG
고위관계자는	고위/NNG+관계자/NNG+는/JX
11일	11/SN+일/NNB
"예금자보호한도(5000만원)	"/SS+예금자/NNG+보호/NNG+한도/NNG+(/SS+5000/SN+만/NR+원/NNB+)/SS
이상의	이상/NNG+의/JKG
돈을	돈/NNG+을/JKO
보전해주는	보전/NNG+하/XSV+아/EC+주/VX+는/ETM
것은	것/NNB+은/JX
법적으로	법/NNG+적/XSN+으로/JKB
불가능하지만,	불/XPN+가능/NNG+하/XSA+지만/EC+,/SP
대신	대신/NNG
수백억원의	수백억/NR+원/NNB+의/JKG
임직원	임직원/NNG
횡령자금과	횡령/NNG+자금/NNG+과/JC
불법인출된	불법/NNG+인출/NNG+되/XSV+ㄴ/ETM
자금을	자금/NNG+을/JKO
환수해	환수/NNG+하/XSV+아/EC
이	이/MMD
돈으로	돈/NNG+으로/JKB
예금자들의	예금자/NNG+들/XSN+의/JKG
손해를	손해/NNG+를/JKO
줄이는	줄이/VV+는/ETM
방안을	방안/NNG+을/JKO
추진	추진/NNG
중"이라고	중/NNB+"/SS+이라고/JKQ
