# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.363
metadata : {}


# id : NWRW1800000026.363.1.1
[그것이 알고싶다] 프로팀 이름에 담긴 사연;'와이번스'에 마음있었던 건 LG였는데…

[그것이	[/SS+그것/NP+이/JKS
알고싶다]	알/VV+고/EC+싶/VX+다/EF+]/SS
프로팀	프로/NNG+팀/NNG
이름에	이름/NNG+에/JKB
담긴	담기/VV+ㄴ/ETM
사연;'와이번스'에	사연/NNG+;/SW+'/SS+와이번스/NNP+'/SS+에/JKB
마음있었던	마음/NNG+있/VA+었/EP+던/ETM
건	거/NNB+ㄴ/JX
LG였는데…	LG/SL+이/VCP+었/EP+는데/EC+…/SE


# id : NWRW1800000026.363.2.1
프로야구 챔피언 SK는 '와이번스(wyverns·비룡)'라는 이름을 쓰지 못할 뻔했다.

프로야구	프로/NNG+야구/NNG
챔피언	챔피언/NNG
SK는	SK/SL+는/JX
'와이번스(wyverns·비룡)'라는	'/SS+와이번스/NNP+(/SS+wyverns/SL+·/SP+비룡/NNG+)/SS+'/SS+이/VCP+라는/ETM
이름을	이름/NNG+을/JKO
쓰지	쓰/VV+지/EC
못할	못하/VX+ㄹ/ETM
뻔했다.	뻔/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000026.363.2.2
1997년 프로농구 출범 당시 LG가 먼저 와이번스로 정하려 했기 때문이다.

1997년	1997/SN+년/NNB
프로농구	프로/NNG+농구/NNG
출범	출범/NNG
당시	당시/NNG
LG가	LG/SL+가/JKS
먼저	먼저/MAG
와이번스로	와이번스/NNP+로/JKB
정하려	정하/VV+려/EC
했기	하/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.363.2.3
하지만 LG는 와이번스 대신 세이커스(sakers·송골매)를 택했다.

하지만	하지만/MAJ
LG는	LG/SL+는/JX
와이번스	와이번스/NNP
대신	대신/NNG
세이커스(sakers·송골매)를	세이커스/NNP+(/SS+sakers/SL+·/SP+송골매/NNG+)/SS+를/JKO
택했다.	택하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.363.3.1
구본무 LG그룹 회장이 워낙 새를 좋아했기 때문이라는 후문이다.

구본무	구본무/NNP
LG그룹	LG그룹/NNP
회장이	회장/NNG+이/JKS
워낙	워낙/MAG
새를	새/NNG+를/JKO
좋아했기	좋아하/VV+았/EP+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
후문이다.	후문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.363.3.2
당시 세이커스와 함께 후보에 올랐던 팀 이름도 호크스(hawks), 트윈 호크스(twin hawks), 이글스(eagles), 팰콘스(falcons)였다.

당시	당시/NNG
세이커스와	세이커스/NNP+와/JKB
함께	함께/MAG
후보에	후보/NNG+에/JKB
올랐던	오르/VV+았/EP+던/ETM
팀	팀/NNG
이름도	이름/NNG+도/JX
호크스(hawks),	호크스/NNP+(/SS+hawks/SL+)/SS+,/SP
트윈	트윈/NNP
호크스(twin	호크스/NNP+(/SS+twin/SL
hawks),	hawks/SL+)/SS+,/SP
이글스(eagles),	이글스/NNP+(/SS+eagles/SL+)/SS+,/SP
팰콘스(falcons)였다.	팰콘스/NNP+(/SS+falcons/SL+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.363.3.3
하나같이 새 종류다.

하나같이	하나같이/MAG
새	새/NNG
종류다.	종류/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.363.4.1
서울 SK는 창단 당시 연고지 충청도에 양반들이 많다는데 착안해 서양의 양반 격인 나이츠(knights)로 명명했다.

서울	서울/NNP
SK는	SK/SL+는/JX
창단	창단/NNG
당시	당시/NNG
연고지	연고지/NNG
충청도에	충청도/NNP+에/JKB
양반들이	양반/NNG+들/XSN+이/JKS
많다는데	많/VA+다는/ETM+데/NNB
착안해	착안/NNG+하/XSV+아/EC
서양의	서양/NNG+의/JKG
양반	양반/NNG
격인	격/NNB+이/VCP+ㄴ/ETM
나이츠(knights)로	나이츠/NNP+(/SS+knights/SL+)/SS+로/JKB
명명했다.	명명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.363.4.2
원래는 샤크스(sharks·상어들)가 유력했는데 충북이 바다와 멀고 사기꾼이란 뜻도 있다는 걸 알면서 탈락했다.

원래는	원래/NNG+는/JX
샤크스(sharks·상어들)가	샤크스/NNG+(/SS+sharks/SL+·/SP+상어/NNG+들/XSN+)/SS+가/JKS
유력했는데	유력/NNG+하/XSA+았/EP+는데/EC
충북이	충북/NNP+이/JKS
바다와	바다/NNG+와/JKB
멀고	멀/VA+고/EC
사기꾼이란	사기/NNG+꾼/XSN+이/VCP+란/ETM
뜻도	뜻/NNG+도/JX
있다는	있/VA+다는/ETM
걸	거/NNB+ㄹ/JKO
알면서	알/VV+면서/EC
탈락했다.	탈락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.363.5.1
울산 모비스의 팀 이름은 태양의 신 아폴로를 뜻하는 '피버스(phoebus)'다.

울산	울산/NNP
모비스의	모비스/NNP+의/JKG
팀	팀/NNG
이름은	이름/NNG+은/JX
태양의	태양/NNG+의/JKG
신	신/NNG
아폴로를	아폴로/NNP+를/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
'피버스(phoebus)'다.	'/SS+피버스/NNP+(/SS+phoebus/SL+)/SS+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000026.363.5.2
2001년 9월 기아를 인수했을 때 팀 이름은 자동차 부품 전문회사인 회사 특징을 살려 '오토몬스'였다.

2001년	2001/SN+년/NNB
9월	9/SN+월/NNB
기아를	기아/NNP+를/JKO
인수했을	인수/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
팀	팀/NNG
이름은	이름/NNG+은/JX
자동차	자동차/NNG
부품	부품/NNG
전문회사인	전문/NNG+회사/NNG+이/VCP+ㄴ/ETM
회사	회사/NNG
특징을	특징/NNG+을/JKO
살려	살리/VV+어/EC
'오토몬스'였다.	'/SS+오토몬스/NNP+'/SS+이/VCP+었/EP+다/EF+./SF


