# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.74
metadata : {}


# id : NWRW1800000044.74.1.1
미 안보보좌관 “오바마 순방때 한·미·일 안보협력 강화”

미	미/NNP
안보보좌관	안보/NNG+보좌관/NNG
“오바마	“/SS+오바마/NNP
순방때	순방/NNG+때/NNG
한·미·일	한·미·일/NNP
안보협력	안보/NNG+협력/NNG
강화”	강화/NNG+”/SS


# id : NWRW1800000044.74.2.1
[한겨레] 사실상 중국 견제 구체안 논의 예고

[한겨레]	[/SS+한겨레/NNP+]/SS
사실상	사실/NNG+상/XSN
중국	중국/NNP
견제	견제/NNG
구체안	구체안/NNG
논의	논의/NNG
예고	예고/NNG


# id : NWRW1800000044.74.3.1
‘중국 봉쇄냐’ 질문에는 즉답 안해

‘중국	‘/SS+중국/NNP
봉쇄냐’	봉쇄/NNG+이/VCP+냐/EF+’/SS
질문에는	질문/NNG+에/JKB+는/JX
즉답	즉답/NNG
안해	안/MAG+하/VV+아/EF


# id : NWRW1800000044.74.4.1
“한·일 영유권분쟁 어느편도 안들것”

“한·일	“/SS+한·일/NNP
영유권분쟁	영유/NNG+권/XSN+분쟁/NNG
어느편도	어느/MMD+편/NNG+도/JX
안들것”	안/MAG+들/VV+ㄹ/ETM+것/NNB+”/SS


# id : NWRW1800000044.74.5.1
버락 오바마 미국 대통령의 한국과 일본 방문을 계기로 미국이 한·미·일 3국간 안보 협력을 더 폭넓게 진전시켜 나갈 것이라고 수전 라이스 백악관 국가안보보좌관이 밝혔다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령의	대통령/NNG+의/JKG
한국과	한국/NNP+과/JC
일본	일본/NNP
방문을	방문/NNG+을/JKO
계기로	계기/NNG+로/JKB
미국이	미국/NNP+이/JKS
한·미·일	한·미·일/NNP
3국간	3국/NNG+간/XSN
안보	안보/NNG
협력을	협력/NNG+을/JKO
더	더/MAG
폭넓게	폭넓/VA+게/EC
진전시켜	진전/NNG+시키/XSV+어/EC
나갈	나가/VX+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
수전	수전/NNP
라이스	라이스/NNP
백악관	백악관/NNP
국가안보보좌관이	국가/NNG+안보/NNG+보좌관/NNG+이/JKS
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.74.6.1
라이스 보좌관은 18일(현지시간) 백악관에서 23일부터 시작되는 오바마 대통령의 아시아 순방 일정을 설명하는 자리에서 오바마 대통령의 이번 한·일 방문이 지난달 네덜란드 헤이그에서 열린 한·미·일 3자 정상회담 성과를 진전시키는 계기가 될 것이라면서 이렇게 말했다.

라이스	라이스/NNP
보좌관은	보좌관/NNG+은/JX
18일(현지시간)	18/SN+일/NNB+(/SS+현지/NNG+시간/NNG+)/SS
백악관에서	백악관/NNP+에서/JKB
23일부터	23/SN+일/NNB+부터/JX
시작되는	시작/NNG+되/XSV+는/ETM
오바마	오바마/NNP
대통령의	대통령/NNG+의/JKG
아시아	아시아/NNP
순방	순방/NNG
일정을	일정/NNG+을/JKO
설명하는	설명/NNG+하/XSV+는/ETM
자리에서	자리/NNG+에서/JKB
이번	이번/NNG
한·일	한·일/NNP
방문이	방문/NNG+이/JKS
지난달	지난달/NNG
네덜란드	네덜란드/NNP
헤이그에서	헤이그/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
한·미·일	한·미·일/NNP
3자	3자/NNG
정상회담	정상/NNG+회담/NNG
성과를	성과/NNG+를/JKO
진전시키는	진전/NNG+시키/XSV+는/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것이라면서	것/NNB+이/VCP+라면서/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.74.7.1
라이스 보좌관의 이날 발언은 오바마 대통령이 3자 정상회담에서 3국간 외교 및 군사 협력을 심화시키기 위해 취할 수 있는 구체적 조처들을 논의하자고 제안한 이후 나온 것이어서 주목된다.

라이스	라이스/NNP
보좌관의	보좌관/NNG+의/JKG
이날	이날/NNG
발언은	발언/NNG+은/JX
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
3자	3자/NNG
정상회담에서	정상/NNG+회담/NNG+에서/JKB
3국간	3국/NNG+간/XSN
외교	외교/NNG
및	및/MAG
군사	군사/NNG
협력을	협력/NNG+을/JKO
심화시키기	심화/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
취할	취하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
구체적	구체/NNG+적/XSN
조처들을	조처/NNG+들/XSN+을/JKO
논의하자고	논의/NNG+하/XSV+자고/EC
제안한	제안/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
나온	나오/VV+ㄴ/ETM
것이어서	것/NNB+이/VCP+어서/EC
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.74.7.2
당시 오바마 대통령은 연합 군사연습과 미사일 방어 등이 그런 조처들에 포함된다고 밝힌 바 있다.

당시	당시/NNG
오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
연합	연합/NNG
군사연습과	군사/NNG+연습/NNG+과/JC
미사일	미사일/NNG
방어	방어/NNG
등이	등/NNB+이/JKS
그런	그런/MMD
조처들에	조처/NNG+들/XSN+에/JKB
포함된다고	포함/NNG+되/XSV+ㄴ다고/EC
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.74.7.3
이는 대중국 견제를 위해 한·미·일 3각 안보 협력을 심화시켜 나가겠다는 의미다.

이는	이/NP+는/JX
대중국	대중국/NNG
견제를	견제/NNG+를/JKO
위해	위하/VV+아/EC
한·미·일	한·미·일/NNP
3각	3/SN+각/NNG
안보	안보/NNG
협력을	협력/NNG+을/JKO
심화시켜	심화/NNG+시키/XSV+어/EC
나가겠다는	나가/VX+겠/EP+다는/ETM
의미다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.74.8.1
특히, 라이스 보좌관은 양자 동맹을 강화시켜 나가는 것이 중요하다고 강조했다.

특히,	특히/MAG+,/SP
라이스	라이스/NNP
보좌관은	보좌관/NNG+은/JX
양자	양자/NNG
동맹을	동맹/NNG+을/JKO
강화시켜	강화/NNG+시키/XSV+어/EC
나가는	나가/VX+는/ETM
것이	것/NNB+이/JKS
중요하다고	중요/NNG+하/XSA+다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.74.8.2
그는 “동맹이 우리 전략의 토대”라며 “21세기와 안보 도전에 부합하게 동맹 관계를 현대화하는 데 초점을 맞추고 있다”고 말했다.

그는	그/NP+는/JX
“동맹이	“/SS+동맹/NNG+이/JKS
우리	우리/NP
전략의	전략/NNG+의/JKG
토대”라며	토대/NNG+”/SS+이/VCP+라며/EC
“21세기와	“/SS+21/SN+세기/NNG+와/JC
안보	안보/NNG
도전에	도전/NNG+에/JKB
부합하게	부합/NNG+하/XSV+게/EC
동맹	동맹/NNG
관계를	관계/NNG+를/JKO
현대화하는	현대/NNG+화/XSN+하/XSV+는/ETM
데	데/NNB
초점을	초점/NNG+을/JKO
맞추고	맞추/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.74.8.3
이번 순방에서 한-미 동맹과 미-일 동맹을 토대로 한 미국의 동북아 전략 강화를 꾀할 것임을 시사하는 것이다.

이번	이번/NNG
순방에서	순방/NNG+에서/JKB
한-미	한-미/NNP
동맹과	동맹/NNG+과/JC
미-일	미/NNP+-/SO+일/NNP
동맹을	동맹/NNG+을/JKO
토대로	토대/NNG+로/JKB
한	하/VV+ㄴ/ETM
미국의	미국/NNP+의/JKG
동북아	동북아/NNP
전략	전략/NNG
강화를	강화/NNG+를/JKO
꾀할	꾀하/VV+ㄹ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
시사하는	시사/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.74.9.1
라이스 보좌관은 이번 순방이 중국을 봉쇄하려는 목적이 있는 것 아니냐는 질문에 대해서는 “이번 방문은 매우 긍정적인 의제들을 추진하려는 것”이라며 즉답을 피했다.

라이스	라이스/NNP
보좌관은	보좌관/NNG+은/JX
이번	이번/NNG
순방이	순방/NNG+이/JKS
중국을	중국/NNP+을/JKO
봉쇄하려는	봉쇄/NNG+하/XSV+려는/ETM
목적이	목적/NNG+이/JKS
있는	있/VA+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
질문에	질문/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“이번	“/SS+이번/NNG
방문은	방문/NNG+은/JX
매우	매우/MAG
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
의제들을	의제/NNG+들/XSN+을/JKO
추진하려는	추진/NNG+하/XSV+려는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
즉답을	즉답/NNG+을/JKO
피했다.	피하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.74.9.2
그는 “미국이 앞으로도 오랫동안 이 지역에서 주요한 안보 협력 파트너로 남을 것이며 법치와 안정, 민주주의 발전을 위한 세력이 될 것임을 보여주는 기회가 될 것”이라고 말했다.

그는	그/NP+는/JX
“미국이	“/SS+미국/NNP+이/JKS
앞으로도	앞/NNG+으로/JKB+도/JX
오랫동안	오랫동안/NNG
이	이/MMD
지역에서	지역/NNG+에서/JKB
주요한	주요/NNG+하/XSA+ㄴ/ETM
안보	안보/NNG
협력	협력/NNG
파트너로	파트너/NNG+로/JKB
남을	남/VV+을/ETM
것이며	것/NNB+이/VCP+며/EC
법치와	법치/NNG+와/JKB
안정,	안정/NNG+,/SP
민주주의	민주주의/NNG
발전을	발전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
세력이	세력/NNG+이/JKS
될	되/VV+ㄹ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
기회가	기회/NNG+가/JKC
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.74.10.1
라이스 보좌관은 북한 및 영유권 분쟁과 관련해서는 “이번 방문은 규칙에 기반한 역내 질서에 대한 미국의 약속을 확인하는 기회를 제공할 것”이라고 말했다.

라이스	라이스/NNP
보좌관은	보좌관/NNG+은/JX
북한	북한/NNP
및	및/MAG
영유권	영유/NNG+권/XSN
분쟁과	분쟁/NNG+과/JKB
관련해서는	관련/NNG+하/XSV+아서/EC+는/JX
“이번	“/SS+이번/NNG
방문은	방문/NNG+은/JX
규칙에	규칙/NNG+에/JKB
기반한	기반/NNG+하/XSV+ㄴ/ETM
역내	역내/NNG
질서에	질서/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
미국의	미국/NNP+의/JKG
약속을	약속/NNG+을/JKO
확인하는	확인/NNG+하/XSV+는/ETM
기회를	기회/NNG+를/JKO
