# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.407
metadata : {}


# id : NWRW1800000026.407.1.1
[울산] 중구 옛 도심도 디자인시범거리 조성;울산초~롯데캐슬 500m 구간 1단계 시계탑 200m 새 단장

[울산]	[/SS+울산/NNP+]/SS
중구	중구/NNP
옛	옛/MMA
도심도	도심/NNG+도/JX
디자인시범거리	디자인/NNG+시범/NNG+거리/NNG
조성;울산초~롯데캐슬	조성/NNG+;/SP+울산초/NNP+~/SO+롯데캐슬/NNP
500m	500/SN+m/SW
구간	구간/NNG
1단계	1/SN+단계/NNG
시계탑	시계탑/NNG
200m	200/SN+m/SW
새	새/MMA
단장	단장/NNG


# id : NWRW1800000026.407.2.1
울산 중구 옛 도심에 도시디자인 시범거리가 조성된다.

울산	울산/NNP
중구	중구/NNP
옛	옛/MMA
도심에	도심/NNG+에/JKB
도시디자인	도시/NNG+디자인/NNG
시범거리가	시범/NNG+거리/NNG+가/JKS
조성된다.	조성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.407.3.1
중구는 13일 중앙동 울산초등학교에서 성안동 롯데캐슬스카이 아파트까지 약 500m 구간을 테마형 디자인 시범거리로 선정했다.

중구는	중구/NNP+는/JX
13일	13/SN+일/NNB
중앙동	중앙동/NNP
울산초등학교에서	울산초등학교/NNP+에서/JKB
성안동	성안동/NNP
롯데캐슬스카이	롯데캐슬스카이/NNP
아파트까지	아파트/NNG+까지/JX
약	약/MMA
500m	500/SN+m/SW
구간을	구간/NNG+을/JKO
테마형	테마/NNG+형/XSN
디자인	디자인/NNG
시범거리로	시범/NNG+거리/NNG+로/JKB
선정했다.	선정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.407.4.1
이 구간은 중구 중앙동 일대 상권의 중심지인 시계탑사거리 및 주변 일방통행로와 왕복 2차선 도로로 연결돼 있고, 현재는 의류 판매점과 아웃렛매장(뉴코아아울렛) 등이 모여 있다.

이	이/MMD
구간은	구간/NNG+은/JX
중구	중구/NNP
중앙동	중앙동/NNP
일대	일대/NNG
상권의	상권/NNG+의/JKG
중심지인	중심지/NNG+이/VCP+ㄴ/ETM
시계탑사거리	시계탑사거리/NNP
및	및/MAG
주변	주변/NNG
일방통행로와	일방통행로/NNG+와/JC
왕복	왕복/NNG
2차선	2/SN+차선/NNG
도로로	도로/NNG+로/JKB
연결돼	연결/NNG+되/XSV+어/EC
있고,	있/VX+고/EC+,/SP
현재는	현재/NNG+는/JX
의류	의류/NNG
판매점과	판매점/NNG+과/JC
아웃렛매장(뉴코아아울렛)	아웃렛/NNG+매장/NNG+(/SS+뉴코아아울렛/NNP+)/SS
등이	등/NNB+이/JKS
모여	모이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.407.4.2
특히 이 구간에는 500년 이상 된 동헌과 울산초교(구 울산객사터), 울산읍성, 태화서원 등 역사문화 유적이 몰려있어 전통과 역사문화를 테마로 한 도시재생을 꾀할 수 있는 지역으로 평가된다.

특히	특히/MAG
이	이/MMD
구간에는	구간/NNG+에/JKB+는/JX
500년	500/SN+년/NNB
이상	이상/NNG
된	되/VV+ㄴ/ETM
동헌과	동헌/NNG+과/JC
울산초교(구	울산초교/NNP+(/SS+구/MMA
울산객사터),	울산객사/NNP+터/NNG+)/SS+,/SP
울산읍성,	울산읍성/NNP+,/SP
태화서원	태화서원/NNP
등	등/NNB
역사문화	역사/NNG+문화/NNG
유적이	유적/NNG+이/JKS
몰려있어	몰리/VV+어/EC+있/VX+어/EC
전통과	전통/NNG+과/JC
역사문화를	역사/NNG+문화/NNG+를/JKO
테마로	테마/NNG+로/JKB
한	하/VV+ㄴ/ETM
도시재생을	도시/NNG+재생/NNG+을/JKO
꾀할	꾀하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
지역으로	지역/NNG+으로/JKB
평가된다.	평가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.407.5.1
중구는 우선 일방통행로인 울산초~시계탑 200m 구간을 내년 말까지 국비와 시비, 구비 등 20억원을 들여 가로수와 가로등 설치, 간판정비, 조형물 제작 등 새단장하기로 했다.

중구는	중구/NNP+는/JX
우선	우선/MAG
일방통행로인	일방통행로/NNG+이/VCP+ㄴ/ETM
울산초~시계탑	울산초/NNP+~/SO+시계탑/NNG
200m	200/SN+m/SW
구간을	구간/NNG+을/JKO
내년	내년/NNG
말까지	말/NNB+까지/JX
국비와	국비/NNG+와/JC
시비,	시비/NNG+,/SP
구비	구비/NNG
등	등/NNB
20억원을	20/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
가로수와	가로수/NNG+와/JC
가로등	가로등/NNG
설치,	설치/NNG+,/SP
간판정비,	간판/NNG+정비/NNG+,/SP
조형물	조형물/NNG
제작	제작/NNG
새단장하기로	새/MMA+단장/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.407.6.1
중구는 디자인거리가 조성되면 기존의 낙후된 거리 이미지 대신 다양한 역사문화예술 콘텐츠를 가미해 볼거리·즐길거리가 있는 거리로 변하게 돼 새로운 관광 명소로 자리 잡을 것으로 기대하고 있다.

중구는	중구/NNP+는/JX
디자인거리가	디자인/NNG+거리/NNG+가/JKS
조성되면	조성/NNG+되/XSV+면/EC
기존의	기존/NNG+의/JKG
낙후된	낙후/NNG+되/XSV+ㄴ/ETM
거리	거리/NNG
이미지	이미지/NNG
대신	대신/NNG
다양한	다양/NNG+하/XSA+ㄴ/ETM
역사문화예술	역사/NNG+문화/NNG+예술/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
가미해	가미/NNG+하/XSV+아/EC
볼거리·즐길거리가	볼거리/NNG+·/SP+즐기/VV+ㄹ/ETM+거리/NNB+가/JKS
있는	있/VA+는/ETM
거리로	거리/NNG+로/JKB
변하게	변하/VV+게/EC
돼	되/VV+어/EC
새로운	새롭/VA+ㄴ/ETM
관광	관광/NNG
명소로	명소/NNG+로/JKB
자리	자리/NNG
잡을	잡/VV+을/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


