# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.165
metadata : {}


# id : NWRW1800000053.165.1.1
소량 땀으로 혈당 측정, 투약 조절하는 당뇨패치 개발

소량	소량/NNG
땀으로	땀/NNG+으로/JKB
혈당	혈당/NNG
측정,	측정/NNG+,/SP
투약	투약/NNG
조절하는	조절/NNG+하/XSV+는/ETM
당뇨패치	당뇨/NNG+패치/NNG
개발	개발/NNG


# id : NWRW1800000053.165.2.1
김대형 교수팀 “3년내 상용화”

김대형	김대형/NNP
교수팀	교수/NNG+팀/NNG
“3년내	“/SS+3/SN+년/NNB+내/NNB
상용화”	상용/NNG+화/XSN+”/SS


# id : NWRW1800000053.165.3.1
채혈 없이 물방울 50분의 1 크기의 땀방울로 당뇨를 진단할 수 있는 기술이 개발됐다.

채혈	채혈/NNG
없이	없이/MAG
물방울	물방울/NNG
50분의	50/SN+분/XSN+의/JKG
1	1/SN
크기의	크기/NNG+의/JKG
땀방울로	땀방울/NNG+로/JKB
당뇨를	당뇨/NNG+를/JKO
진단할	진단/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기술이	기술/NNG+이/JKS
개발됐다.	개발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.165.3.2
복용 없이 간편하게 치료약을 투약할 수 있는 기술도 상용화에 한걸음 가까워졌다.

복용	복용/NNG
없이	없이/MAG
간편하게	간편하/VA+게/EC
치료약을	치료/NNG+약/NNG+을/JKO
투약할	투약/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기술도	기술/NNG+도/JX
상용화에	상용/NNG+화/XSN+에/JKB
한걸음	한걸음/NNG
가까워졌다.	가깝/VA+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.165.3.3
1주일에 2, 3번 채혈을 하던 당뇨 환자들의 불편함을 해소해 줄 것으로 기대된다.

1주일에	1/SN+주일/NNB+에/JKB
2,	2/SN+,/SP
3번	3/SN+번/NNB
채혈을	채혈/NNG+을/JKO
하던	하/VV+던/ETM
당뇨	당뇨/NNG
환자들의	환자/NNG+들/XSN+의/JKG
불편함을	불편/NNG+하/XSA+ㅁ/ETN+을/JKO
해소해	해소/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대된다.	기대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.165.4.1
김대형 기초과학연구원(IBS) 나노입자연구단 연구위원(서울대 화학생물공학부 교수)팀은 지난해 3월 개발했던 당뇨 패치의 성능을 개선한 신형 당뇨 패치를 개발했다고 12일 밝혔다.

김대형	김대형/NNP
기초과학연구원(IBS)	기초/NNG+과학/NNG+연구원/NNG+(/SS+IBS/SL+)/SS
나노입자연구단	나노입자연구단/NNP
연구위원(서울대	연구/NNG+위원/NNG+(/SS+서울대/NNP
화학생물공학부	화학/NNG+생물/NNG+공학부/NNG
교수)팀은	교수/NNG+)/SS+팀/NNG+은/JX
지난해	지난해/NNG
3월	3/SN+월/NNB
개발했던	개발/NNG+하/XSV+았/EP+던/ETM
당뇨	당뇨/NNG
패치의	패치/NNG+의/JKG
성능을	성능/NNG+을/JKO
개선한	개선/NNG+하/XSV+ㄴ/ETM
신형	신형/NNG
패치를	패치/NNG+를/JKO
개발했다고	개발/NNG+하/XSV+았/EP+다고/EC
12일	12/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.165.5.1
신형 패치는 기존 100분의 1 크기의 땀으로도 혈당을 측정할 수 있다.

신형	신형/NNG
패치는	패치/NNG+는/JX
기존	기존/NNG
100분의	100/SN+분/XSN+의/JKG
1	1/SN
크기의	크기/NNG+의/JKG
땀으로도	땀/NNG+으로/JKB+도/JX
혈당을	혈당/NNG+을/JKO
측정할	측정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.165.5.2
단 1μL(마이크로리터·1μL는 100만분의 1L)면 측정이 가능하며, 이는 물방울 크기의 30분의 1에서 50분의 1 크기다.

단	단/MMA
1μL(마이크로리터·1μL는	1/SN+μL/SW+(/SS+마이크로리터/NNB+·/SP+1/SN+μL/SW+는/JX
