# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.101
metadata : {}


# id : NWRW1800000041.101.1.1
오케이몰, 쑥쑥 큰 회사 수준 맞게 복지도 최고로!

오케이몰,	오케이몰/NNP+,/SP
쑥쑥	쑥쑥/MAG
큰	크/VV+ㄴ/ETM
회사	회사/NNG
수준	수준/NNG
맞게	맞/VV+게/EC
복지도	복지/NNG+도/JX
최고로!	최고/NNG+로/JKB+!/SF


# id : NWRW1800000041.101.2.1
[대한민국 일하기 좋은 100대 기업]대상

[대한민국	[/SS+대한민국/NNP
일하기	일/NNG+하/XSV+기/ETN
좋은	좋/VA+은/ETM
100대	100/SN+대/NNG
기업]대상	기업/NNG+]/SS+대상/NNG


# id : NWRW1800000041.101.3.1
오케이몰은 중개 수수료로 수익을 내는 다른 종합 쇼핑몰과는 다르다.

오케이몰은	오케이몰/NNP+은/JX
중개	중개/NNG
수수료로	수수료/NNG+로/JKB
수익을	수익/NNG+을/JKO
내는	내/VV+는/ETM
다른	다른/MMD
종합	종합/NNG
쇼핑몰과는	쇼핑몰/NNG+과/JKB+는/JX
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000041.101.3.2
판매자와 구매자를 단순히 연결만 시켜주는 다른 쇼핑몰과는 달리 오케이몰에서 판매 중인 모든 상품은 오케이몰이 100% 직접 구매한 상품이기에 위조 상품 걱정 없는 검증된 상품만 구매할 수 있으며, 상품의 등록, 포장, 배송, AS, 교환, 환불, 고객 응대까지도 모두 오케이몰 직원이 100% 책임지고 처리하고 있다.

판매자와	판매자/NNG+와/JC
구매자를	구매자/NNG+를/JKO
단순히	단순히/MAG
연결만	연결/NNG+만/JX
시켜주는	시키/VV+어/EC+주/VX+는/ETM
다른	다른/MMD
쇼핑몰과는	쇼핑몰/NNG+과/JKB+는/JX
달리	달리/MAG
오케이몰에서	오케이몰/NNP+에서/JKB
판매	판매/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
모든	모든/MMN
상품은	상품/NNG+은/JX
오케이몰이	오케이몰/NNP+이/JKS
100%	100/SN+%/SW
직접	직접/MAG
구매한	구매/NNG+하/XSV+ㄴ/ETM
상품이기에	상품/NNG+이/VCP+기에/EC
위조	위조/NNG
상품	상품/NNG
걱정	걱정/NNG
없는	없/VA+는/ETM
검증된	검증/NNG+되/XSV+ㄴ/ETM
상품만	상품/NNG+만/JX
구매할	구매/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있으며,	있/VA+으며/EC+,/SP
상품의	상품/NNG+의/JKG
등록,	등록/NNG+,/SP
포장,	포장/NNG+,/SP
배송,	배송/NNG+,/SP
AS,	AS/SL+,/SP
교환,	교환/NNG+,/SP
환불,	환불/NNG+,/SP
고객	고객/NNG
응대까지도	응대/NNG+까지/JX+도/JX
모두	모두/MAG
오케이몰	오케이몰/NNP
직원이	직원/NNG+이/JKS
책임지고	책임지/VV+고/EC
처리하고	처리/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.101.3.3
다른 쇼핑몰과는 고객만족도나 서비스의 질이 차별화되는 대목이다.

다른	다른/MMD
쇼핑몰과는	쇼핑몰/NNG+과/JKB+는/JX
고객만족도나	고객/NNG+만족도/NNG+나/JC
서비스의	서비스/NNG+의/JKG
질이	질/NNG+이/JKS
차별화되는	차별/NNG+화/XSN+되/XSV+는/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.101.4.1
또한 중간 유통 단계를 줄여 확보한 마진을 ‘가격 비교 사이트에 등록된 모든 쇼핑몰보다 오케이몰 가격이 비싸다면 보상한다’는 최저가 보상 정책으로 고객에게 돌려주는 서비스 정책을 채택하고 있다.

또한	또한/MAG
중간	중간/NNG
유통	유통/NNG
단계를	단계/NNG+를/JKO
줄여	줄이/VV+어/EC
확보한	확보/NNG+하/XSV+ㄴ/ETM
마진을	마진/NNG+을/JKO
‘가격	‘/SS+가격/NNG
비교	비교/NNG
사이트에	사이트/NNG+에/JKB
등록된	등록/NNG+되/XSV+ㄴ/ETM
모든	모든/MMN
쇼핑몰보다	쇼핑몰/NNG+보다/JKB
오케이몰	오케이몰/NNP
가격이	가격/NNG+이/JKS
비싸다면	비싸/VA+다면/EC
보상한다’는	보상/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
최저가	최저/NNG+가/XSN
보상	보상/NNG
정책으로	정책/NNG+으로/JKB
고객에게	고객/NNG+에게/JKB
돌려주는	돌려주/VV+는/ETM
서비스	서비스/NNG
정책을	정책/NNG+을/JKO
채택하고	채택/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.101.4.2
오케이몰의 장성덕 대표는 회사가 성장하는 만큼 그에 맞는 업계 최고의 대우를 해주기 위해 많은 고민을 한다.

오케이몰의	오케이몰/NNP+의/JKG
장성덕	장성덕/NNP
대표는	대표/NNG+는/JX
회사가	회사/NNG+가/JKS
성장하는	성장/NNG+하/XSV+는/ETM
만큼	만큼/NNB
그에	그/NP+에/JKB
맞는	맞/VV+는/ETM
업계	업계/NNG
최고의	최고/NNG+의/JKG
대우를	대우/NNG+를/JKO
해주기	하/VV+아/EC+주/VX+기/ETN
위해	위하/VV+아/EC
많은	많/VA+은/ETM
고민을	고민/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.101.4.3
그는 “오케이몰은 전 세계 유일무이한 특별한 종합쇼핑몰인 만큼 직원들에게 업계 최고의 대우와 복지를 통해 직원 모두가 명함을 자랑스럽게 내밀 수 있는 회사, 더 나아가 가족들까지도 자랑스러워하는 회사가 되도록 하겠다”고 말했다.

그는	그/NP+는/JX
“오케이몰은	“/SS+오케이몰/NNP+은/JX
전	전/MMN
세계	세계/NNG
유일무이한	유일무이/NNG+하/XSA+ㄴ/ETM
특별한	특별/NNG+하/XSA+ㄴ/ETM
종합쇼핑몰인	종합/NNG+쇼핑몰/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
직원들에게	직원/NNG+들/XSN+에게/JKB
업계	업계/NNG
최고의	최고/NNG+의/JKG
대우와	대우/NNG+와/JC
복지를	복지/NNG+를/JKO
통해	통하/VV+아/EC
직원	직원/NNG
모두가	모두/NNG+가/JKS
명함을	명함/NNG+을/JKO
자랑스럽게	자랑/NNG+스럽/XSA+게/EC
내밀	내밀/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
회사,	회사/NNG+,/SP
더	더/MAG
나아가	나아가/VV+아/EC
가족들까지도	가족/NNG+들/XSN+까지/JX+도/JX
자랑스러워하는	자랑/NNG+스럽/XSA+어/EC+하/VX+는/ETM
회사가	회사/NNG+가/JKC
되도록	되/VV+도록/EC
하겠다”고	하/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.101.5.1
모든 직원들에게 승진의 기회와 가능성을 열어두고, 성과에 걸맞게 파격적으로 연봉을 인상하며, 다양한 포상제도를 마련해 두었다.

모든	모든/MMN
직원들에게	직원/NNG+들/XSN+에게/JKB
승진의	승진/NNG+의/JKG
기회와	기회/NNG+와/JC
가능성을	가능/NNG+성/XSN+을/JKO
열어두고,	열/VV+어/EC+두/VX+고/EC+,/SP
성과에	성과/NNG+에/JKB
걸맞게	걸맞/VA+게/EC
파격적으로	파격/NNG+적/XSN+으로/JKB
연봉을	연봉/NNG+을/JKO
인상하며,	인상/NNG+하/XSV+며/EC+,/SP
다양한	다양/NNG+하/XSA+ㄴ/ETM
포상제도를	포상/NNG+제도/NNG+를/JKO
마련해	마련/NNG+하/XSV+아/EC
두었다.	두/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.101.5.2
직원들의 시간을 존중하여 최대 25일의 유급 연차를 주고, 종합검진과 수시 건강진단, 금연 포상금 지급, 최고급 피트니스시설 마련 등을 통해 몸의 피로를 풀고, 운동을 습관화하도록 하여 직원들의 건강관리까지도 돕고 있다.

직원들의	직원/NNG+들/XSN+의/JKG
시간을	시간/NNG+을/JKO
존중하여	존중/NNG+하/XSV+아/EC
최대	최대/NNG
25일의	25/SN+일/NNB+의/JKG
유급	유급/NNG
연차를	연차/NNG+를/JKO
주고,	주/VV+고/EC+,/SP
종합검진과	종합/NNG+검진/NNG+과/JC
수시	수시/NNG
건강진단,	건강/NNG+진단/NNG+,/SP
금연	금연/NNG
포상금	포상금/NNG
지급,	지급/NNG+,/SP
최고급	최/XPN+고급/NNG
피트니스시설	피트니스/NNG+시설/NNG
마련	마련/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
몸의	몸/NNG+의/JKG
피로를	피로/NNG+를/JKO
풀고,	풀/VV+고/EC+,/SP
운동을	운동/NNG+을/JKO
습관화하도록	습관/NNG+화/XSN+하/XSV+도록/EC
하여	하/VV+아/EC
건강관리까지도	건강/NNG+관리/NNG+까지/JX+도/JX
돕고	돕/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.101.6.1
