# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000042.70
metadata : {}


# id : NWRW1800000042.70.1.1
"호수 위 생생한 사운드… 그 독특함이 성공 비결"

"호수	"/SS+호수/NNG
위	위/NNG
생생한	생생하/VA+ㄴ/ETM
사운드…	사운드/NNG+…/SE
그	그/MMD
독특함이	독특/NNG+하/XSA+ㅁ/ETN+이/JKS
성공	성공/NNG
비결"	비결/NNG+"/SS


# id : NWRW1800000042.70.2.1
10년간 연출 맡은 파운트니 감독

10년간	10/SN+년/NNB+간/XSN
연출	연출/NNG
맡은	맡/VV+은/ETM
파운트니	파운트니/NNP
감독	감독/NNG


# id : NWRW1800000042.70.3.1
브레겐츠 페스티벌 예술감독 데이비드 파운트니(Pountney·67)는 영국 유수의 오페라단인 잉글리시 내셔널 오페라(English National Opera)에서 오페라를 20여편 만든 저명 연출가다.

브레겐츠	브레겐츠/NNP
페스티벌	페스티벌/NNG
예술감독	예술/NNG+감독/NNG
데이비드	데이비드/NNP
파운트니(Pountney·67)는	파운트니/NNP+(/SS+Pountney/SL+·/SP+67/SN+)/SS+는/JX
영국	영국/NNP
유수의	유수/NNG+의/JKG
오페라단인	오페라단/NNG+이/VCP+ㄴ/ETM
잉글리시	잉글리시/NNP
내셔널	내셔널/NNG
오페라(English	오페라/NNG+(/SS+English/SL
National	National/SL
Opera)에서	Opera/SL+)/SS+에서/JKB
오페라를	오페라/NNG+를/JKO
20여편	20/SN+여/XSN+편/NNB
만든	만들/VV+ㄴ/ETM
저명	저명/NNG
연출가다.	연출가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.70.3.2
취리히, 빈, 뮌헨 국립오페라극장 등에서도 그의 작품이 올라갔다.

취리히,	취리히/NNP+,/SP
빈,	빈/NNP+,/SP
뮌헨	뮌헨/NNP
국립오페라극장	국립/NNG+오페라/NNG+극장/NNG
등에서도	등/NNB+에서/JKB+도/JX
그의	그/NP+의/JKG
작품이	작품/NNG+이/JKS
올라갔다.	올라가/VV+았/EP+다/EF+./SF


# id : NWRW1800000042.70.3.3
2004년부터 브레겐츠 예술감독으로 있으면서 '마술피리'를 연출했다.

2004년부터	2004/SN+년/NNB+부터/JX
브레겐츠	브레겐츠/NNP
예술감독으로	예술/NNG+감독/NNG+으로/JKB
있으면서	있/VV+으면서/EC
'마술피리'를	'/SS+마술피리/NNP+'/SS+를/JKO
연출했다.	연출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.70.4.1
"성악가들이 마이크와 스피커를 쓰는 게 오페라의 본질을 손상시키는 것 아니냐"고 묻자 파운트니 감독은 "브레겐츠는 호숫가에서 펼쳐지는 야외 오페라이기 때문에 이곳만의 독특한 특징이 있다"고 했다.

"성악가들이	"/SS+성악가/NNG+들/XSN+이/JKS
마이크와	마이크/NNG+와/JC
스피커를	스피커/NNG+를/JKO
쓰는	쓰/VV+는/ETM
게	거/NNB+이/JKS
오페라의	오페라/NNG+의/JKG
본질을	본질/NNG+을/JKO
손상시키는	손상/NNG+시키/XSV+는/ETM
것	것/NNB
아니냐"고	아니/VCN+냐/EF+"/SS+고/JKQ
묻자	묻/VV+자/EC
파운트니	파운트니/NNP
감독은	감독/NNG+은/JX
"브레겐츠는	"/SS+브레겐츠/NNP+는/JX
호숫가에서	호숫가/NNG+에서/JKB
펼쳐지는	펼쳐지/VV+는/ETM
야외	야외/NNG
오페라이기	오페라/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
이곳만의	이곳/NP+만/JX+의/JKG
독특한	독특/NNG+하/XSA+ㄴ/ETM
특징이	특징/NNG+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000042.70.4.2
"야외 오페라 중에선 가장 음향이 뛰어난 곳임을 자부합니다.

"야외	"/SS+야외/NNG
오페라	오페라/NNG
중에선	중/NNB+에서/JKB+ㄴ/JX
가장	가장/MAG
음향이	음향/NNG+이/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
곳임을	곳/NNG+이/VCP+ㅁ/ETN+을/JKO
자부합니다.	자부/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000042.70.4.3
빈의 한 대학 음향 연구소와 공동 작업으로 개발한 음향 시스템으로 서라운드 스피커로 둘러싸인 오디오룸처럼 생생한 소리를 들을 수 있으니까요.

빈의	빈/NNP+의/JKG
한	한/MMN
대학	대학/NNG
음향	음향/NNG
연구소와	연구소/NNG+와/JC
공동	공동/NNG
작업으로	작업/NNG+으로/JKB
개발한	개발/NNG+하/XSV+ㄴ/ETM
시스템으로	시스템/NNG+으로/JKB
서라운드	서라운드/NNG
스피커로	스피커/NNG+로/JKB
둘러싸인	둘러싸이/VV+ㄴ/ETM
오디오룸처럼	오디오/NNG+룸/NNG+처럼/JKB
생생한	생생하/VA+ㄴ/ETM
소리를	소리/NNG+를/JKO
들을	듣/VV+을/ETM
수	수/NNB
있으니까요.	있/VA+으니까/EC+요/JX+./SF


# id : NWRW1800000042.70.4.4
하지만 실내 오페라하우스와 비교하긴 어렵지요."

하지만	하지만/MAJ
실내	실내/NNG
오페라하우스와	오페라하우스/NNG+와/JKB
비교하긴	비교/NNG+하/XSV+기/ETN+ㄴ/JX
어렵지요."	어렵/VA+지요/EF+./SF+"/SS


# id : NWRW1800000042.70.5.1
