# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.223
metadata : {}


# id : NWRW1800000054.223.1.1
[길] 매달 일정액 기부 '착한 가게·가정' 서울 최다… 개봉2동, 사랑은 금메달

[길]	[/SS+길/NNG+]/SS
매달	매달/MAG
일정액	일정액/NNG
기부	기부/NNG
'착한	'/SS+착하/VA+ㄴ/ETM
가게·가정'	가게/NNG+·/SP+가정/NNG+'/SS
서울	서울/NNP
최다…	최다/NNG+…/SE
개봉2동,	개봉2동/NNP+,/SP
사랑은	사랑/NNG+은/JX
금메달	금메달/NNG


# id : NWRW1800000054.223.2.1
공동모금회, 착한마을 1호 지정… 착한 가게 등 다른 동네의 4배

공동모금회,	공동/NNG+모금회/NNG+,/SP
착한마을	착하/VA+ㄴ/ETM+마을/NNG
1호	1/SN+호/NNB
지정…	지정/NNG+…/SE
착한	착하/VA+ㄴ/ETM
가게	가게/NNG
등	등/NNB
다른	다른/MMD
동네의	동네/NNG+의/JKG
4배	4/SN+배/NNG


# id : NWRW1800000054.223.3.1
서울 구로구 개봉2동이 서울시 1호 '착한 마을'로 선정됐다.

서울	서울/NNP
구로구	구로구/NNP
개봉2동이	개봉2동/NNP+이/JKS
서울시	서울시/NNP
1호	1/SN+호/NNB
'착한	'/SS+착하/VA+ㄴ/ETM
마을'로	마을/NNG+'/SS+로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.223.3.2
착한 마을은 사회복지법인 '사랑의 열매 사회복지공동모금회(이하 모금회)'가 정기적으로 기부 활동을 하는 가게, 가정이 많은 동네를 지정하는 사업이다.

착한	착하/VA+ㄴ/ETM
마을은	마을/NNG+은/JX
사회복지법인	사회/NNG+복지/NNG+법인/NNG
'사랑의	'/SS+사랑/NNG+의/JKG
열매	열매/NNG
사회복지공동모금회(이하	사회/NNG+복지/NNG+공동/NNG+모금회/NNG+(/SS+이하/NNG
모금회)'가	모금회/NNG+)/SS+'/SS+가/JKS
정기적으로	정기/NNG+적/XSN+으로/JKB
기부	기부/NNG
