# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.30
metadata : {}


# id : NWRW1800000033.30.1.1
‘중국 희토류 자원 무기화’ WTO 심판대에

‘중국	‘/SS+중국/NNP
희토류	희토/NNG+류/XSN
자원	자원/NNG
무기화’	무기/NNG+화/XSN+’/SS
WTO	WTO/SL
심판대에	심판대/NNG+에/JKB


# id : NWRW1800000033.30.2.1
“수출 규제는 공정무역 위반”… 美-日-EU, 이번주 정식 제소

“수출	“/SS+수출/NNG
규제는	규제/NNG+는/JX
공정무역	공정/NNG+무역/NNG
위반”…	위반/NNG+”/SS+…/SE
美-日-EU,	美/SH+-/SO+日/SH+-/SO+EU/SL+,/SP
이번주	이번/NNG+주/NNG
정식	정식/NNG
제소	제소/NNG


# id : NWRW1800000033.30.3.1
中 “환경보호 위한 것” 주장

中	中/SH
“환경보호	“/SS+환경/NNG+보호/NNG
위한	위하/VV+ㄴ/ETM
것”	것/NNB+”/SS
주장	주장/NNG


# id : NWRW1800000033.30.4.1
미국과 일본, 유럽연합(EU)이 이르면 이번 주 중국의 희토류 수출 규제에 대해 세계무역기구(WTO)에 정식 제소하기로 했다고 NHK방송이 26일 보도했다.

미국과	미국/NNP+과/JC
일본,	일본/NNP+,/SP
유럽연합(EU)이	유럽연합/NNP+(/SS+EU/SL+)/SS+이/JKS
이르면	이르/VA+면/EC
이번	이번/NNG
주	주/NNG
중국의	중국/NNP+의/JKG
희토류	희토/NNG+류/XSN
수출	수출/NNG
규제에	규제/NNG+에/JKB
대해	대하/VV+아/EC
세계무역기구(WTO)에	세계무역기구/NNP+(/SS+WTO/SL+)/SS+에/JKB
정식	정식/NNG
제소하기로	제소/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
NHK방송이	NHK/SL+방송/NNG+이/JKS
26일	26/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.30.4.2
희토류 규제를 지속적으로 강화하는 중국에 주요국들이 정면대응하고 나선 것이다.

희토류	희토/NNG+류/XSN
규제를	규제/NNG+를/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
강화하는	강화/NNG+하/XSV+는/ETM
중국에	중국/NNP+에/JKB
주요국들이	주요국/NNG+들/XSN+이/JKS
정면대응하고	정면/NNG+대응/NNG+하/XSV+고/EC
나선	나서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.30.5.1
NHK에 따르면 미국과 일본, EU는 WTO에 무역분쟁 처리 절차의 1심에 해당하는 소위원회 설치를 요구하기로 방침을 정했다.

NHK에	NHK/SL+에/JKB
따르면	따르/VV+면/EC
미국과	미국/NNP+과/JC
일본,	일본/NNP+,/SP
EU는	EU/SL+는/JX
WTO에	WTO/SL+에/JKB
무역분쟁	무역/NNG+분쟁/NNG
처리	처리/NNG
절차의	절차/NNG+의/JKG
1심에	1심/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
소위원회	소/XPN+위원회/NNG
설치를	설치/NNG+를/JKO
요구하기로	요구/NNG+하/XSV+기/ETN+로/JKB
방침을	방침/NNG+을/JKO
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.30.5.2
이 국가들은 세계 희토류 생산량의 90% 이상을 차지하는 중국이 희토류 수출을 규제해 가격을 조정하는 것은 공정무역을 어긴 것이라고 주장하고 있다.

이	이/MMD
국가들은	국가/NNG+들/XSN+은/JX
세계	세계/NNG
희토류	희토/NNG+류/XSN
생산량의	생산량/NNG+의/JKG
90%	90/SN+%/SW
이상을	이상/NNG+을/JKO
차지하는	차지/NNG+하/XSV+는/ETM
중국이	중국/NNP+이/JKS
수출을	수출/NNG+을/JKO
규제해	규제/NNG+하/XSV+아/EC
가격을	가격/NNG+을/JKO
조정하는	조정/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
공정무역을	공정/NNG+무역/NNG+을/JKO
어긴	어기/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.30.5.3
이에 앞서 이 국가들은 올해 3월 WTO에 공동으로 이의를 제기했었다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
이	이/MMD
국가들은	국가/NNG+들/XSN+은/JX
올해	올해/NNG
3월	3/SN+월/NNB
WTO에	WTO/SL+에/JKB
공동으로	공동/NNG+으로/JKB
이의를	이의/NNG+를/JKO
제기했었다.	제기/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000033.30.6.1
희토류는 ‘첨단산업의 비타민’으로 불린다.

희토류는	희토/NNG+류/XSN+는/JX
‘첨단산업의	‘/SS+첨단/NNG+산업/NNG+의/JKG
비타민’으로	비타민/NNG+’/SS+으로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.30.6.2
17가지 종류의 희토류는 첨단무기와 재생가능 에너지 제품에 필수적으로 사용된다.

17가지	17/SN+가지/NNB
종류의	종류/NNG+의/JKG
희토류는	희토/NNG+류/XSN+는/JX
첨단무기와	첨단/NNG+무기/NNG+와/JC
재생가능	재생/NNG+가능/NNG
에너지	에너지/NNG
제품에	제품/NNG+에/JKB
필수적으로	필수/NNG+적/XSN+으로/JKB
사용된다.	사용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.30.7.1
중국은 희토류 수요가 증가하자 환경오염 이유를 들며 2004년 이후 지속적으로 생산량 상한과 수출 쿼터를 강화했다.

중국은	중국/NNP+은/JX
희토류	희토/NNG+류/XSN
수요가	수요/NNG+가/JKS
증가하자	증가/NNG+하/XSV+자/EC
환경오염	환경/NNG+오염/NNG
이유를	이유/NNG+를/JKO
들며	들/VV+며/EC
2004년	2004/SN+년/NNB
이후	이후/NNG
지속적으로	지속/NNG+적/XSN+으로/JKB
생산량	생산량/NNG
상한과	상한/NNG+과/JC
수출	수출/NNG
쿼터를	쿼터/NNG+를/JKO
강화했다.	강화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.30.7.2
실제 희토류는 채굴과 정제 과정에서 방사성물질을 배출하기 때문에 심각하게 환경을 오염시킨다.

실제	실제/NNG
희토류는	희토/NNG+류/XSN+는/JX
채굴과	채굴/NNG+과/JC
정제	정제/NNG
과정에서	과정/NNG+에서/JKB
방사성물질을	방사/NNG+성/XSN+물질/NNG+을/JKO
배출하기	배출/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
심각하게	심각하/VA+게/EC
환경을	환경/NNG+을/JKO
오염시킨다.	오염/NNG+시키/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.30.7.3
중국은 올해 수출 쿼터를 2010년 수준으로 동결하고, 수출가격은 내수가격보다 60% 높게 책정했다.

중국은	중국/NNP+은/JX
올해	올해/NNG
수출	수출/NNG
쿼터를	쿼터/NNG+를/JKO
2010년	2010/SN+년/NNB
수준으로	수준/NNG+으로/JKB
동결하고,	동결/NNG+하/XSV+고/EC+,/SP
수출가격은	수출/NNG+가격/NNG+은/JX
내수가격보다	내수/NNG+가격/NNG+보다/JKB
60%	60/SN+%/SW
높게	높/VA+게/EC
책정했다.	책정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.30.7.4
이 때문에 국제 희토류 가격은 2000년대 중반 이후 꾸준히 올라가고 있다.

이	이/MMD
때문에	때문/NNB+에/JKB
국제	국제/NNG
희토류	희토/NNG+류/XSN
가격은	가격/NNG+은/JX
2000년대	2000/SN+년대/NNB
중반	중반/NNG
이후	이후/NNG
꾸준히	꾸준히/MAG
올라가고	올라가/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.30.8.1
미국과 일본, EU는 그동안 중국과 희토류 문제를 해결하기 위해 협의했지만 중국이 “희토류 수출 규제는 자원과 환경 보호를 위한 정당한 정책”이라고 주장해 평행선을 달렸다.

미국과	미국/NNP+과/JC
일본,	일본/NNP+,/SP
EU는	EU/SL+는/JX
그동안	그동안/NNG
중국과	중국/NNP+과/JKB
희토류	희토/NNG+류/XSN
문제를	문제/NNG+를/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
