# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.191
metadata : {}


# id : NWRW1800000046.191.1.1
폭력시위 '전농'(전국농민회총연맹) 2차 집회 신청

폭력시위	폭력/NNG+시위/NNG
'전농'(전국농민회총연맹)	'/SS+전농/NNP+'/SS+(/SS+전국농민회총연맹/NNP+)/SS
2차	2/SN+차/NNB
집회	집회/NNG
신청	신청/NNG


# id : NWRW1800000046.191.2.1
민노총과 1차 총궐기 주도, 경찰 "폭력 사과안하면 불허"

민노총과	민노총/NNP+과/JKB
1차	1/SN+차/NNB
총궐기	총궐기/NNG
주도,	주도/NNG+,/SP
경찰	경찰/NNG
"폭력	"/SS+폭력/NNG
사과안하면	사과/NNG+안/MAG+하/VV+면/EC
불허"	불허/NNG+"/SS


# id : NWRW1800000046.191.3.1
지난 14일 서울 도심 폭력시위에 참가한 전국농민회총연맹(전농)은 26일 서울 남대문경찰서에 '12월 5일 오후 3시 서울광장에서 1만명이 모이는 집회를 하겠다'는 내용의 집회신고서를 제출했다.

지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
서울	서울/NNP
도심	도심/NNG
폭력시위에	폭력/NNG+시위/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
전국농민회총연맹(전농)은	전국농민회총연맹/NNP+(/SS+전농/NNP+)/SS+은/JX
26일	26/SN+일/NNB
남대문경찰서에	남대문경찰서/NNP+에/JKB
'12월	'/SS+12/SN+월/NNB
5일	5/SN+일/NNB
오후	오후/NNG
3시	3/SN+시/NNB
서울광장에서	서울광장/NNP+에서/JKB
1만명이	1/SN+만/NR+명/NNB+이/JKS
모이는	모이/VV+는/ETM
집회를	집회/NNG+를/JKO
하겠다'는	하/VV+겠/EP+다/EF+'/SS+는/ETM
내용의	내용/NNG+의/JKG
집회신고서를	집회/NNG+신고서/NNG+를/JKO
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.191.4.1
