# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.193
metadata : {}


# id : NWRW1800000046.193.1.1
"야스쿠니 화장실 폭파범은 27세 한국인"

"야스쿠니	"/SS+야스쿠니/NNP
화장실	화장실/NNG
폭파범은	폭파범/NNG+은/JX
27세	27/SN+세/NNB
한국인"	한국인/NNG+"/SS


# id : NWRW1800000046.193.2.1
日언론 "당일 한국 출국, 폭발물 일반인 수준 넘어"

日언론	日/SH+언론/NNG
"당일	"/SS+당일/NNG
한국	한국/NNP
출국,	출국/NNG+,/SP
폭발물	폭발물/NNG
일반인	일반인/NNG
수준	수준/NNG
넘어"	넘/VV+어/EF+"/SS


# id : NWRW1800000046.193.3.1
지난달 23일 도쿄 지요다구 야스쿠니 신사(神社) 화장실에서 벌어진 사제 폭탄 폭발 사건 용의자는 27세 한국인으로, 사건 발생 이틀 전에 김포공항에서 하네다공항으로 입국했다가 사건 당일 오후 다시 하네다공항에서 김포공항으로 출국했다고 아사히·산케이신문이 4일 보도했다.

지난달	지난달/NNG
23일	23/SN+일/NNB
도쿄	도쿄/NNP
지요다구	지요다구/NNP
야스쿠니	야스쿠니/NNP
신사(神社)	신사/NNG+(/SS+神社/SH+)/SS
화장실에서	화장실/NNG+에서/JKB
벌어진	벌어지/VV+ㄴ/ETM
사제	사제/NNG
폭탄	폭탄/NNG
폭발	폭발/NNG
사건	사건/NNG
용의자는	용의자/NNG+는/JX
27세	27/SN+세/NNB
한국인으로,	한국인/NNG+으로/JKB+,/SP
발생	발생/NNG
이틀	이틀/NNG
전에	전/NNG+에/JKB
김포공항에서	김포공항/NNP+에서/JKB
하네다공항으로	하네다공항/NNP+으로/JKB
입국했다가	입국/NNG+하/XSV+았/EP+다가/EC
당일	당일/NNG
오후	오후/NNG
다시	다시/MAG
하네다공항에서	하네다공항/NNP+에서/JKB
김포공항으로	김포공항/NNP+으로/JKB
출국했다고	출국/NNG+하/XSV+았/EP+다고/EC
아사히·산케이신문이	아사히/NNP+·/SP+산케이신문/NNP+이/JKS
4일	4/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.193.3.2
야스쿠니 신사는 일제 A급 전범(戰犯)들의 위패가 합사된 곳이다.

야스쿠니	야스쿠니/NNP
신사는	신사/NNG+는/JX
일제	일제/NNG
A급	A/SL+급/NNG
전범(戰犯)들의	전범/NNG+(/SS+戰犯/SH+)/SS+들/XSN+의/JKG
위패가	위패/NNG+가/JKS
합사된	합사/NNG+되/XSV+ㄴ/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.193.4.1
일본 언론에 따르면, 용의자는 그동안 야스쿠니 신사에서 걸어서 10분 거리 호텔에 머물렀다.

일본	일본/NNP
언론에	언론/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
용의자는	용의자/NNG+는/JX
그동안	그동안/NNG
야스쿠니	야스쿠니/NNP
신사에서	신사/NNG+에서/JKB
걸어서	걷/VV+어서/EC
10분	10/SN+분/NNB
거리	거리/NNG
호텔에	호텔/NNG+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.193.4.2
사건 전날 야스쿠니 신사 경내를 둘러보는 모습도 CCTV에 찍혔다.

사건	사건/NNG
전날	전날/NNG
