# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.31
metadata : {}


# id : NWRW1800000030.31.1.1
순종적이던 日주부들, 대재앙 겪으며 독해져

순종적이던	순종/NNG+적/XSN+이/VCP+던/ETM
日주부들,	日/SH+주부/NNG+들/XSN+,/SP
대재앙	대/XPN+재앙/NNG
겪으며	겪/VV+으며/EC
독해져	독/NNG+하/XSA+아/EC+지/VX+어/EF


# id : NWRW1800000030.31.2.1
•"남자들, 방사능 오염 무관심 아이 지키려면 직접 나서야" 모임 결성하고 시위 조직

•"남자들,	•/SW+"/SS+남자/NNG+들/XSN+,/SP
방사능	방사능/NNG
오염	오염/NNG
무관심	무/XPN+관심/NNG
아이	아이/NNG
지키려면	지키/VV+려면/EC
직접	직접/MAG
나서야"	나서/VV+어야/EC+"/SS
모임	모임/NNG
결성하고	결성/NNG+하/XSV+고/EC
시위	시위/NNG
조직	조직/NNG


# id : NWRW1800000030.31.3.1
일본 지바현 가시와(柏)시에 사는 오사쿠 유키(33)씨는 최근 주민 1만명의 서명을 받아 방사성 물질에 대한 적극적인 대책을 요구하는 청원서를 시청에 제출했다.

일본	일본/NNP
지바현	지바현/NNP
가시와(柏)시에	가시와/NNP+(/SS+柏/SH+)/SS+시/NNG+에/JKB
사는	살/VV+는/ETM
오사쿠	오사쿠/NNP
유키(33)씨는	유키/NNP+(/SS+33/SN+)/SS+씨/NNB+는/JX
최근	최근/MAG
주민	주민/NNG
1만명의	1/SN+만/NR+명/NNB+의/JKG
서명을	서명/NNG+을/JKO
받아	받/VV+아/EC
방사성	방사/NNG+성/XSN
물질에	물질/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
대책을	대책/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
청원서를	청원서/NNG+를/JKO
시청에	시청/NNG+에/JKB
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.31.3.2
두 아이를 키우는 평범한 주부였던 오사쿠씨는 원전사고 이후 이웃 엄마들과 이야기를 나누다 정부의 대책이 소극적이라는 데 울분을 느꼈다.

두	두/MMN
아이를	아이/NNG+를/JKO
키우는	키우/VV+는/ETM
평범한	평범하/VA+ㄴ/ETM
주부였던	주부/NNG+이/VCP+었/EP+던/ETM
오사쿠씨는	오사쿠/NNP+씨/NNB+는/JX
원전사고	원전/NNG+사고/NNG
이후	이후/NNG
이웃	이웃/NNG
엄마들과	엄마/NNG+들/XSN+과/JKB
이야기를	이야기/NNG+를/JKO
나누다	나누/VV+다/EC
정부의	정부/NNG+의/JKG
대책이	대책/NNG+이/JKS
소극적이라는	소극/NNG+적/XSN+이/VCP+라는/ETM
데	데/NNB
울분을	울분/NNG+을/JKO
느꼈다.	느끼/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.31.3.3
오사쿠씨와 이웃 주부들은 자연스럽게 '가시와 어린이를 방사능 오염으로부터 지키는 모임'을 결성했다.

오사쿠씨와	오사쿠/NNP+씨/NNB+와/JC
이웃	이웃/NNG
주부들은	주부/NNG+들/XSN+은/JX
자연스럽게	자연/NNG+스럽/XSA+게/EC
'가시와	'/SS+가시와/NNP
어린이를	어린이/NNG+를/JKO
방사능	방사능/NNG
오염으로부터	오염/NNG+으로/JKB+부터/JX
지키는	지키/VV+는/ETM
모임'을	모임/NNG+'/SS+을/JKO
결성했다.	결성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.31.3.4
