# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.88
metadata : {}


# id : NWRW1800000044.88.1.1
“중국 당국이 위구르인 2000명 학살”

“중국	“/SS+중국/NNP
당국이	당국/NNG+이/JKS
위구르인	위구르인/NNG
2000명	2000/SN+명/NNB
학살”	학살/NNG+”/SS


# id : NWRW1800000044.88.2.1
[한겨레] 7월말 신장 사처현서 유혈충돌

[한겨레]	[/SS+한겨레/NNP+]/SS
7월말	7/SN+월/NNB+말/NNB
신장	신장/NNP
사처현서	사처현/NNP+서/JKB
유혈충돌	유혈/NNG+충돌/NNG


# id : NWRW1800000044.88.3.1
망명 위구르족 단체 ‘학살’ 주장

망명	망명/NNG
위구르족	위구르족/NNP
단체	단체/NNG
‘학살’	‘/SS+학살/NNG+’/SS
주장	주장/NNG


# id : NWRW1800000044.88.4.1
“무차별 사살한 뒤 주검 은폐”

“무차별	“/SS+무/XPN+차별/NNG
사살한	사살/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
주검	주검/NNG
은폐”	은폐/NNG+”/SS


# id : NWRW1800000044.88.5.1
중 정부는 “96명 사망”…진실 공방

중	중/NNP
정부는	정부/NNG+는/JX
“96명	“/SS+96/SN+명/NNB
사망”…진실	사망/NNG+”/SS+…/SE+진실/NNG
공방	공방/NNG


# id : NWRW1800000044.88.6.1
96명 대 2000여명.

96명	96/SN+명/NNB
대	대/NNB
2000여명.	2000/SN+여/XSN+명/NNB+./SF


# id : NWRW1800000044.88.7.1
‘중국 민족문제의 화약고’로 불리는 신장위구르자치구의 사처현(야르칸드)에서 지난달 28일 발생한 유혈 충돌 사망자 수를 두고 중국 당국과 망명 위구르족 단체의 주장이 극명하게 엇갈리고 있다.

‘중국	‘/SS+중국/NNP
민족문제의	민족/NNG+문제/NNG+의/JKG
화약고’로	화약고/NNG+’/SS+로/JKB
불리는	불리/VV+는/ETM
신장위구르자치구의	신장위구르자치구/NNP+의/JKG
사처현(야르칸드)에서	사처현/NNP+(/SS+야르칸드/NNP+)/SS+에서/JKB
지난달	지난달/NNG
28일	28/SN+일/NNB
발생한	발생/NNG+하/XSV+ㄴ/ETM
유혈	유혈/NNG
충돌	충돌/NNG
사망자	사망자/NNG
수를	수/NNG+를/JKO
두고	두/VV+고/EC
중국	중국/NNP
당국과	당국/NNG+과/JC
망명	망명/NNG
위구르족	위구르족/NNP
단체의	단체/NNG+의/JKG
주장이	주장/NNG+이/JKS
극명하게	극명/NNG+하/XSA+게/EC
엇갈리고	엇갈리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.88.8.1
망명 위구르족 단체인 세계위구르협회(WUC) 레비야 카디르 의장은 5일 <자유아시아방송>(RFA)과의 인터뷰에서 “지난달 사처현에서 중국 당국이 최소 2000여명의 위구르인을 살해했다”며 “이는 2009년 우루무치 유혈사태 당시 숨진 200명을 훨씬 능가하는 수치로 국가가 자행한 학살이자 명백한 테러 행위다”라고 주장했다.

망명	망명/NNG
위구르족	위구르족/NNP
단체인	단체/NNG+이/VCP+ㄴ/ETM
세계위구르협회(WUC)	세계위구르협회/NNP+(/SS+WUC/SL+)/SS
레비야	레비야/NNP
카디르	카디르/NNP
의장은	의장/NNG+은/JX
5일	5/SN+일/NNB
<자유아시아방송>(RFA)과의	</SS+자유아시아방송/NNP+>/SS+(/SS+RFA/SL+)/SS+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“지난달	“/SS+지난달/NNG
사처현에서	사처현/NNP+에서/JKB
중국	중국/NNP
당국이	당국/NNG+이/JKS
최소	최소/NNG
2000여명의	2000/SN+여/XSN+명/NNB+의/JKG
위구르인을	위구르인/NNG+을/JKO
살해했다”며	살해/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“이는	“/SS+이/NP+는/JX
2009년	2009/SN+년/NNB
우루무치	우루무치/NNP
유혈사태	유혈/NNG+사태/NNG
당시	당시/NNG
숨진	숨지/VV+ㄴ/ETM
200명을	200/SN+명/NNB+을/JKO
훨씬	훨씬/MAG
능가하는	능가/NNG+하/XSV+는/ETM
수치로	수치/NNG+로/JKB
국가가	국가/NNG+가/JKS
자행한	자행/NNG+하/XSV+ㄴ/ETM
학살이자	학살/NNG+이/VCP+자/EC
명백한	명백하/VA+ㄴ/ETM
테러	테러/NNG
행위다”라고	행위/NNG+이/VCP+다/EF+”/SS+라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.88.8.2
이 주장이 사실이라면, 사처현 사태는 신장위구르 지역에서 발생한 사상 최악의 유혈 충돌이다.

이	이/MMD
주장이	주장/NNG+이/JKS
사실이라면,	사실/NNG+이/VCP+라면/EC+,/SP
사처현	사처현/NNP
사태는	사태/NNG+는/JX
신장위구르	신장/NNP+위구르/NNP
지역에서	지역/NNG+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
사상	사상/NNG
최악의	최악/NNG+의/JKG
유혈	유혈/NNG
충돌이다.	충돌/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.88.9.1
중국 당국은 애초 사건 다음날인 지난달 29일 사처현에서 테러가 일어나 수십명이 사망했다고 짤막하게 발표했다.

중국	중국/NNP
당국은	당국/NNG+은/JX
애초	애초/NNG
사건	사건/NNG
다음날인	다음날/NNG+이/VCP+ㄴ/ETM
지난달	지난달/NNG
29일	29/SN+일/NNB
사처현에서	사처현/NNP+에서/JKB
테러가	테러/NNG+가/JKS
일어나	일어나/VV+아/EC
수십명이	수십/NR+명/NNB+이/JKS
사망했다고	사망/NNG+하/XSV+았/EP+다고/EC
짤막하게	짤막하/VA+게/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.88.9.2
그런데 사건 발생 엿새가 지난 3일에야 <신화통신>을 통해 “‘동투르키스탄 이슬람운동(ETIM)’과 연계된 단체가 경찰서를 포함한 관공서를 습격해 테러분자 59명과 민간인 37명 등 96명이 숨지고 13명이 다쳤다”고 밝혀, 사건의 진상을 둘러싸고 의문이 제기돼 왔다.

그런데	그런데/MAJ
사건	사건/NNG
발생	발생/NNG
엿새가	엿새/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
3일에야	3/SN+일/NNB+에/JKB+야/JX
<신화통신>을	</SS+신화통신/NNP+>/SS+을/JKO
통해	통하/VV+아/EC
“‘동투르키스탄	“/SS+‘/SS+동투르키스탄/NNP
이슬람운동(ETIM)’과	이슬람/NNG+운동/NNG+(/SS+ETIM/SL+)/SS+’/SS+과/JKB
연계된	연계/NNG+되/XSV+ㄴ/ETM
단체가	단체/NNG+가/JKS
경찰서를	경찰서/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
관공서를	관공서/NNG+를/JKO
습격해	습격/NNG+하/XSV+아/EC
테러분자	테러분자/NNG
