# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.119
metadata : {}


# id : NWRW1800000022.119.1.1
울산… 민노·진보 숙적, 단일화 놓고 '左左 신경戰'

울산…	울산/NNP+…/SE
민노·진보	민노/NNP+·/SP+진보/NNG
숙적,	숙적/NNG+,/SP
단일화	단일/NNG+화/XSN
놓고	놓/VV+고/EC
'左左	'/SS+左左/SH
신경戰'	신경/NNG+戰/SH+'/SS


# id : NWRW1800000022.119.2.1
울산 북구 국회의원 재선거의 후보 단일화문제를 놓고 민주노동당과 진보신당이 좌·우 대립에 버금가는 '좌·좌' 신경전을 보름 넘게 벌이고 있다.

울산	울산/NNP
북구	북구/NNP
국회의원	국회/NNG+의원/NNG
재선거의	재/XPN+선거/NNG+의/JKG
후보	후보/NNG
단일화문제를	단일/NNG+화/XSN+문제/NNG+를/JKO
놓고	놓/VV+고/EC
민주노동당과	민주노동당/NNP+과/JC
진보신당이	진보신당/NNP+이/JKS
좌·우	좌/NNG+·/SP+우/NNG
대립에	대립/NNG+에/JKB
버금가는	버금가/VV+는/ETM
'좌·좌'	'/SS+좌/NNG+·/SP+좌/NNG+'/SS
신경전을	신경전/NNG+을/JKO
보름	보름/NNG
넘게	넘/VV+게/EC
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.119.2.2
민주노동당 김창현 후보와 진보신당 조승수 후보는 후보 단일화의 원칙만 합의한 채 서로 상대방의 양보만 주장하고 있어 협상은 좀처럼 결론을 내지 못하고 있다.

민주노동당	민주노동당/NNP
김창현	김창현/NNP
후보와	후보/NNG+와/JC
진보신당	진보신당/NNP
조승수	조승수/NNP
후보는	후보/NNG+는/JX
후보	후보/NNG
단일화의	단일/NNG+화/XSN+의/JKG
원칙만	원칙/NNG+만/JX
합의한	합의/NNG+하/XSV+ㄴ/ETM
채	채/NNB
서로	서로/MAG
상대방의	상대방/NNG+의/JKG
양보만	양보/NNG+만/JX
주장하고	주장/NNG+하/XSV+고/EC
있어	있/VX+어/EC
협상은	협상/NNG+은/JX
좀처럼	좀처럼/MAG
결론을	결론/NNG+을/JKO
내지	내/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.119.3.1
각종 여론조사에선 울산 북구에서 구청장과 국회의원을 지냈던 조 후보가 울산 동구청장을 지낸 김 후보를 앞서는 것으로 조사됐다.

각종	각종/NNG
여론조사에선	여론/NNG+조사/NNG+에서/JKB+ㄴ/JX
울산	울산/NNP
북구에서	북구/NNP+에서/JKB
구청장과	구청장/NNG+과/JC
국회의원을	국회/NNG+의원/NNG+을/JKO
지냈던	지내/VV+었/EP+던/ETM
조	조/NNP
후보가	후보/NNG+가/JKS
동구청장을	동구청장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
김	김/NNP
후보를	후보/NNG+를/JKO
앞서는	앞서/VV+는/ETM
것으로	것/NNB+으로/JKB
