# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.333
metadata : {}


# id : NWRW1800000046.333.1.1
[천안함 폭침 5주기] "천안함 잊지 말길" 유족들 白書 만든다

[천안함	[/SS+천안함/NNP
폭침	폭침/NNG
5주기]	5/SN+주기/NNB+]/SS
"천안함	"/SS+천안함/NNP
잊지	잊/VV+지/EC
말길"	말/VX+기/ETN+ㄹ/JKO+"/SS
유족들	유족/NNG+들/XSN
白書	白書/SH
만든다	만들/VV+ㄴ다/EF


# id : NWRW1800000046.333.2.1
인양·수습 등 秘話도 담아… 중·고교 역사교과서엔 이르면 2017년부터 천안함·연평도 반드시 게재

인양·수습	인양/NNG+·/SP+수습/NNG
등	등/NNB
秘話도	秘話/SH+도/JX
담아…	담/VV+아/EC+…/SE
중·고교	중·고교/NNG
역사교과서엔	역사/NNG+교과서/NNG+에/JKB+ㄴ/JX
이르면	이르/VA+면/EC
2017년부터	2017/SN+년/NNB+부터/JX
천안함·연평도	천안함/NNP+·/SP+연평도/NNP
반드시	반드시/MAG
게재	게재/NNG


# id : NWRW1800000046.333.3.1
천안함 46용사 유족들은 26일 천안함 폭침 5주기를 맞아 백서 발간을 준비하고 있다고 밝혔다.

천안함	천안함/NNP
46용사	46/SN+용사/NNG
유족들은	유족/NNG+들/XSN+은/JX
26일	26/SN+일/NNB
폭침	폭침/NNG
5주기를	5/SN+주기/NNB+를/JKO
맞아	맞/VV+아/EC
백서	백서/NNG
발간을	발간/NNG+을/JKO
준비하고	준비/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.333.3.2
천안함 46용사 유족 중 한 명은 "천안함 폭침이 발생한 2010년 3월 26일부터 벌어진 일들을 최근 날짜별로 정리하기 시작했다"고 말했다.

천안함	천안함/NNP
46용사	46/SN+용사/NNG
유족	유족/NNG
중	중/NNB
한	한/MMN
명은	명/NNB+은/JX
"천안함	"/SS+천안함/NNP
폭침이	폭침/NNG+이/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
2010년	2010/SN+년/NNB
3월	3/SN+월/NNB
26일부터	26/SN+일/NNB+부터/JX
벌어진	벌어지/VV+ㄴ/ETM
일들을	일/NNG+들/XSN+을/JKO
최근	최근/MAG
날짜별로	날짜/NNG+별/XSN+로/JKB
정리하기	정리/NNG+하/XSV+기/ETN
시작했다"고	시작/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.333.3.3
이 백서에는 천안함 폭침, 함미 실종, 시신 발견, 함미 인양, 영결식, 보상 문제, 천안함 안보 공원 조성 등 천안함 폭침 수습 과정이 상세하게 기록될 예정이다.

이	이/MMD
백서에는	백서/NNG+에/JKB+는/JX
천안함	천안함/NNP
폭침,	폭침/NNG+,/SP
함미	함미/NNG
실종,	실종/NNG+,/SP
시신	시신/NNG
발견,	발견/NNG+,/SP
인양,	인양/NNG+,/SP
영결식,	영결식/NNG+,/SP
보상	보상/NNG
문제,	문제/NNG+,/SP
안보	안보/NNG
공원	공원/NNG
조성	조성/NNG
등	등/NNB
폭침	폭침/NNG
수습	수습/NNG
과정이	과정/NNG+이/JKS
상세하게	상세하/VA+게/EC
기록될	기록/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.333.3.4
또 유족 입장에서 봤을 때 처리가 매끄럽게 된 일과 그렇지 않은 일들에 대한 평가도 들어갈 것으로 알려졌다.

또	또/MAG
유족	유족/NNG
입장에서	입장/NNG+에서/JKB
봤을	보/VV+았/EP+을/ETM
때	때/NNG
처리가	처리/NNG+가/JKS
매끄럽게	매끄럽/VA+게/EC
된	되/VV+ㄴ/ETM
일과	일/NNG+과/JC
그렇지	그렇/VA+지/EC
않은	않/VX+은/ETM
일들에	일/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
평가도	평가/NNG+도/JX
들어갈	들어가/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.333.3.5
유족들은 언론에 공개되지 않은 비화(秘話)도 담을 것이라고 한다.

유족들은	유족/NNG+들/XSN+은/JX
언론에	언론/NNG+에/JKB
공개되지	공개/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
비화(秘話)도	비화/NNG+(/SS+秘話/SH+)/SS+도/JX
담을	담/VV+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.333.4.1
한 유족은 "백서를 발간하면 유족들도 당시 있었던 일을 잊지 않을 수 있고, 혹시 또 다른 참사가 발생했을 때 정부나 국민이 이 기록물을 참고해 사태를 수습하는 데 도움이 될 수 있을 것"이라고 말했다.

한	한/MMN
유족은	유족/NNG+은/JX
"백서를	"/SS+백서/NNG+를/JKO
발간하면	발간/NNG+하/XSV+면/EC
유족들도	유족/NNG+들/XSN+도/JX
당시	당시/NNG
있었던	있/VA+었/EP+던/ETM
일을	일/NNG+을/JKO
잊지	잊/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
혹시	혹시/MAG
또	또/MAG
다른	다른/MMD
참사가	참사/NNG+가/JKS
발생했을	발생/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
정부나	정부/NNG+나/JC
국민이	국민/NNG+이/JKS
이	이/MMD
기록물을	기록물/NNG+을/JKO
참고해	참고/NNG+하/XSV+아/EC
사태를	사태/NNG+를/JKO
수습하는	수습/NNG+하/XSV+는/ETM
데	데/NNB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.333.4.2
그는 "당시 유가족들이 분열되지 않고 한 몸처럼 움직여 해군과 특별한 마찰 없이 사태를 마무리한 것은 잘한 일"이라면서 "접근성이 떨어지는 평택 해군2함대에 천안함 안보공원을 마련한 것은 다소 아쉬운 부분"이라고 말했다.

그는	그/NP+는/JX
"당시	"/SS+당시/NNG
유가족들이	유가족/NNG+들/XSN+이/JKS
분열되지	분열/NNG+되/XSV+지/EC
않고	않/VX+고/EC
한	한/MMN
몸처럼	몸/NNG+처럼/JKB
움직여	움직이/VV+어/EC
해군과	해군/NNG+과/JKB
특별한	특별/NNG+하/XSA+ㄴ/ETM
마찰	마찰/NNG
없이	없이/MAG
사태를	사태/NNG+를/JKO
마무리한	마무리/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
잘한	잘/MAG+하/XSV+ㄴ/ETM
일"이라면서	일/NNG+"/SS+이/VCP+라면서/EC
"접근성이	"/SS+접근/NNG+성/XSN+이/JKS
떨어지는	떨어지/VV+는/ETM
평택	평택/NNP
해군2함대에	해군/NNG+2/SN+함대/NNG+에/JKB
천안함	천안함/NNP
안보공원을	안보/NNG+공원/NNG+을/JKO
마련한	마련/NNG+하/XSV+ㄴ/ETM
다소	다소/MAG
아쉬운	아쉽/VA+ㄴ/ETM
부분"이라고	부분/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.333.5.1
천안함 선체가 전시된 안보공원에는 2011년 25만명의 방문객이 다녀갔지만, 지난해엔 12만명으로 3년 만에 절반 이상 줄었다.

천안함	천안함/NNP
선체가	선체/NNG+가/JKS
전시된	전시/NNG+되/XSV+ㄴ/ETM
안보공원에는	안보/NNG+공원/NNG+에/JKB+는/JX
2011년	2011/SN+년/NNB
25만명의	25/SN+만/NR+명/NNB+의/JKG
방문객이	방문객/NNG+이/JKS
다녀갔지만,	다녀가/VV+았/EP+지만/EC+,/SP
지난해엔	지난해/NNG+에/JKB+ㄴ/JX
12만명으로	12/SN+만/NR+명/NNB+으로/JKB
3년	3/SN+년/NNB
만에	만/NNB+에/JKB
절반	절반/NNG
이상	이상/NNG
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.333.5.2
또 다른 유족은 "이 같은 수치를 보더라도 천안함이 국민에게 점점 잊히는 것 같아 가슴이 아프다"라고 말했다.

또	또/MAG
다른	다른/MMD
유족은	유족/NNG+은/JX
"이	"/SS+이/NP
같은	같/VA+은/ETM
수치를	수치/NNG+를/JKO
보더라도	보/VV+더라도/EC
천안함이	천안함/NNP+이/JKS
국민에게	국민/NNG+에게/JKB
점점	점점/MAG
잊히는	잊히/VV+는/ETM
것	것/NNB
같아	같/VA+아/EC
가슴이	가슴/NNG+이/JKS
아프다"라고	아프/VA+다/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.333.6.1
한편 이르면 오는 2017년부터 중·고교 역사 교과서에 북한의 천안함 폭침 사건과 연평도 포격 도발 등을 반드시 다루도록 교과서 집필 기준이 바뀐다.

한편	한편/MAG
이르면	이르/VA+면/EC
오는	오/VV+는/ETM
2017년부터	2017/SN+년/NNB+부터/JX
중·고교	중·고교/NNG
역사	역사/NNG
교과서에	교과서/NNG+에/JKB
북한의	북한/NNP+의/JKG
천안함	천안함/NNP
폭침	폭침/NNG
사건과	사건/NNG+과/JC
연평도	연평도/NNP
포격	포격/NNG
도발	도발/NNG
등을	등/NNB+을/JKO
반드시	반드시/MAG
다루도록	다루/VV+도록/EC
교과서	교과서/NNG
집필	집필/NNG
기준이	기준/NNG+이/JKS
바뀐다.	바뀌/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.333.6.2
현재는 중학교 역사 교과서 9종 중 1종, 고교 한국사 교과서 8종 중 3종만 천안함 폭침 사건을 다루고 있다.

현재는	현재/NNG+는/JX
중학교	중학교/NNG
역사	역사/NNG
교과서	교과서/NNG
9종	9/SN+종/NNG
중	중/NNB
1종,	1/SN+종/NNG+,/SP
고교	고교/NNG
한국사	한국사/NNG
8종	8/SN+종/NNG
3종만	3/SN+종/NNG+만/JX
천안함	천안함/NNP
폭침	폭침/NNG
사건을	사건/NNG+을/JKO
다루고	다루/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.333.7.1
교육부는 천안함 폭침 5주기를 맞은 26일 "오는 9월 마련할 중·고교 새 역사 교과서 집필 기준에 천안함 폭침 사건과 연평도 포격 등 최근 북한의 도발 내용을 구체적으로 넣을 방침"이라며 "'2015 문이과 통합 교육 과정'에 따라 이르면 2017년 제작하는 교과서부터 학생들이 이 내용을 배우게 될 것"이라고 밝혔다.

교육부는	교육부/NNG+는/JX
천안함	천안함/NNP
폭침	폭침/NNG
5주기를	5/SN+주기/NNB+를/JKO
맞은	맞/VV+은/ETM
26일	26/SN+일/NNB
"오는	"/SS+오/VV+는/ETM
9월	9/SN+월/NNB
마련할	마련/NNG+하/XSV+ㄹ/ETM
중·고교	중·고교/NNG
새	새/MMA
역사	역사/NNG
교과서	교과서/NNG
집필	집필/NNG
기준에	기준/NNG+에/JKB
사건과	사건/NNG+과/JC
연평도	연평도/NNP
포격	포격/NNG
등	등/NNB
최근	최근/MAG
북한의	북한/NNP+의/JKG
도발	도발/NNG
내용을	내용/NNG+을/JKO
구체적으로	구체/NNG+적/XSN+으로/JKB
넣을	넣/VV+을/ETM
방침"이라며	방침/NNG+"/SS+이/VCP+라며/EC
"'2015	"/SS+'/SS+2015/SN
문이과	문이과/NNG
통합	통합/NNG
교육	교육/NNG
과정'에	과정/NNG+'/SS+에/JKB
따라	따르/VV+아/EC
이르면	이르/VA+면/EC
2017년	2017/SN+년/NNB
제작하는	제작/NNG+하/XSV+는/ETM
교과서부터	교과서/NNG+부터/JKB
학생들이	학생/NNG+들/XSN+이/JKS
이	이/MMD
배우게	배우/VV+게/EC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.333.8.1
현재 중·고교 역사 교과서는 출판사가 집필진을 꾸려 교과서를 만든 뒤 정부의 사후 심사를 받는 검정(檢定) 체제다.

현재	현재/MAG
중·고교	중·고교/NNG
역사	역사/NNG
교과서는	교과서/NNG+는/JX
출판사가	출판사/NNG+가/JKS
집필진을	집필진/NNG+을/JKO
꾸려	꾸리/VV+어/EC
교과서를	교과서/NNG+를/JKO
만든	만들/VV+ㄴ/ETM
뒤	뒤/NNG
정부의	정부/NNG+의/JKG
사후	사후/NNG
심사를	심사/NNG+를/JKO
받는	받/VV+는/ETM
검정(檢定)	검정/NNG+(/SS+檢定/SH+)/SS
체제다.	체제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.333.8.2
교과서 저자는 검정 교과서를 집필할 때 교육부가 만든 '교과서 집필 기준'을 따라야 한다.

교과서	교과서/NNG
저자는	저자/NNG+는/JX
검정	검정/NNG
교과서를	교과서/NNG+를/JKO
집필할	집필/NNG+하/XSV+ㄹ/ETM
때	때/NNG
교육부가	교육부/NNG+가/JKS
만든	만들/VV+ㄴ/ETM
'교과서	'/SS+교과서/NNG
집필	집필/NNG
기준'을	기준/NNG+'/SS+을/JKO
따라야	따르/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.333.9.1
교육부 관계자는 "현재는 천안함 폭침 등에 대한 구체적인 집필 기준이 없어 대부분 교과서가 이를 언급하지 않고 있다"며 "새로 만드는 집필 기준에는 천안함 폭침 사건을 비롯해 연평도 포격 등 최근 북한의 도발 사례를 반드시 명시해 학생들이 역사 수업 때 북한의 실상에 대해 배울 수 있도록 하겠다"고 말했다.

교육부	교육부/NNG
관계자는	관계자/NNG+는/JX
"현재는	"/SS+현재/NNG+는/JX
천안함	천안함/NNP
폭침	폭침/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
집필	집필/NNG
기준이	기준/NNG+이/JKS
없어	없/VA+어/EC
대부분	대/XPN+부분/NNG
교과서가	교과서/NNG+가/JKS
이를	이/NP+를/JKO
