# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.75
metadata : {}


# id : NWRW1800000022.75.1.1
오늘의 대결 WBC 한국 vs 일본 9대0 대만 울렸다… 오늘은 日친다

오늘의	오늘/NNG+의/JKG
대결	대결/NNG
WBC	WBC/SL
한국	한국/NNP
vs	vs/SL
일본	일본/NNP
9대0	9/SN+대/NNB+0/SN
대만	대만/NNP
울렸다…	울리/VV+었/EP+다/EF+…/SE
오늘은	오늘/NNG+은/JX
日친다	日/SH+치/VV+ㄴ다/EF


# id : NWRW1800000022.75.2.1
7일 오후 7시에 열리는 WBC(월드베이스볼클래식) 한국―일본전(SBS TV 중계)은 이번 대회 초반의 하이라이트다.

7일	7/SN+일/NNB
오후	오후/NNG
7시에	7/SN+시/NNB+에/JKB
열리는	열리/VV+는/ETM
WBC(월드베이스볼클래식)	WBC/SL+(/SS+월드/NNG+베이스볼/NNG+클래식/NNG+)/SS
한국―일본전(SBS	한국/NNP+―/SS+일본전/NNG+(/SS+SBS/SL
TV	TV/SL
중계)은	중계/NNG+)/SS+은/JX
이번	이번/NNG
대회	대회/NNG
초반의	초반/NNG+의/JKG
하이라이트다.	하이라이트/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.75.2.2
미국을 비롯한 외국 언론들도 "올림픽 챔피언(한국)과 지난 대회 우승팀(일본)의 격돌"이라며 1라운드 최고의 대결로 꼽았다.

미국을	미국/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
외국	외국/NNG
언론들도	언론/NNG+들/XSN+도/JX
"올림픽	"/SS+올림픽/NNG
챔피언(한국)과	챔피언/NNG+(/SS+한국/NNP+)/SS+과/JC
지난	지나/VV+ㄴ/ETM
대회	대회/NNG
우승팀(일본)의	우승/NNG+팀/NNG+(/SS+일본/NNP+)/SS+의/JKG
격돌"이라며	격돌/NNG+"/SS+이/VCP+라며/EC
1라운드	1/SN+라운드/NNG
최고의	최고/NNG+의/JKG
대결로	대결/NNG+로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.75.2.3
한국은 김광현, 일본은 마쓰자카가 선발로 나선다.

한국은	한국/NNP+은/JX
김광현,	김광현/NNP+,/SP
일본은	일본/NNP+은/JX
마쓰자카가	마쓰자카/NNP+가/JKS
선발로	선발/NNG+로/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.75.3.1
한국은 베이징올림픽에서 두 차례나 일본을 꺾었던 자신감이 최대의 무기다.

한국은	한국/NNP+은/JX
베이징올림픽에서	베이징/NNP+올림픽/NNG+에서/JKB
두	두/MMN
차례나	차례/NNG+나/JX
일본을	일본/NNP+을/JKO
꺾었던	꺾/VV+었/EP+던/ETM
자신감이	자신감/NNG+이/JKS
최대의	최대/NNG+의/JKG
무기다.	무기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.75.3.2
이승엽과 박찬호 등 고참 스타들이 대거 빠졌지만 대부분의 선수들이 일본 프로 올스타를 꺾었던 경험이 있다.

이승엽과	이승엽/NNP+과/JC
박찬호	박찬호/NNP
등	등/NNB
고참	고참/NNG
스타들이	스타/NNG+들/XSN+이/JKS
대거	대거/MAG
빠졌지만	빠지/VV+었/EP+지만/EC
대부분의	대/XPN+부분/NNG+의/JKG
선수들이	선수/NNG+들/XSN+이/JKS
일본	일본/NNP
프로	프로/NNG
올스타를	올스타/NNG+를/JKO
꺾었던	꺾/VV+었/EP+던/ETM
경험이	경험/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.75.3.3
게다가 대만도 9대0으로 완파, 선수들의 사기가 최고조에 달해 있다.

게다가	게다가/MAG
대만도	대만/NNP+도/JX
9대0으로	9/SN+대/NNB+0/SN+으로/JKB
완파,	완파/NNG+,/SP
선수들의	선수/NNG+들/XSN+의/JKG
사기가	사기/NNG+가/JKS
최고조에	최/XPN+고조/NNG+에/JKB
달해	달하/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.75.4.1
반면 일본의 분위기는 그리 밝지 않다.

반면	반면/NNG
일본의	일본/NNP+의/JKG
분위기는	분위기/NNG+는/JX
그리	그리/MAG
밝지	밝/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000022.75.4.2
첫 경기에서 약체 중국을 꺾기는 했지만 단 5안타에 그치는 등 공격력이 정상이 아니다.

첫	첫/MMN
경기에서	경기/NNG+에서/JKB
약체	약체/NNG
중국을	중국/NNP+을/JKO
꺾기는	꺾/VV+기/ETN+는/JX
했지만	하/VX+았/EP+지만/EC
단	단/MMA
5안타에	5/SN+안타/NNG+에/JKB
그치는	그치/VV+는/ETM
등	등/NNB
공격력이	공격력/NNG+이/JKS
정상이	정상/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000022.75.4.3
일본의 간판스타 스즈키 이치로(시애틀 매리너스)는 중국전 5타수 무안타 등 연습경기 포함 28타수 3안타의 부진에 빠져 있다.

일본의	일본/NNP+의/JKG
간판스타	간판스타/NNG
스즈키	스즈키/NNP
이치로(시애틀	이치로/NNP+(/SS+시애틀/NNP
매리너스)는	매리너스/NNP+)/SS+는/JX
중국전	중국전/NNG
5타수	5/SN+타수/NNG
무안타	무/XPN+안타/NNG
등	등/NNB
연습경기	연습/NNG+경기/NNG
포함	포함/NNG
28타수	28/SN+타수/NNG
3안타의	3/SN+안타/NNG+의/JKG
부진에	부진/NNG+에/JKB
빠져	빠지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.75.5.1
한국에 대한 부담감도 상당하다고 한다.

한국에	한국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
부담감도	부담감/NNG+도/JX
상당하다고	상당/NNG+하/XSA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.75.5.2
2006년 WBC에서 한국에 2패 뒤 가까스로 1승을 올렸고, 베이징올림픽에서도 2연패 했다.

2006년	2006/SN+년/NNB
WBC에서	WBC/SL+에서/JKB
한국에	한국/NNP+에/JKB
2패	2/SN+패/NNB
뒤	뒤/NNG
가까스로	가까스로/MAG
1승을	1/SN+승/NNB+을/JKO
올렸고,	올리/VV+었/EP+고/EC+,/SP
베이징올림픽에서도	베이징/NNP+올림픽/NNG+에서/JKB+도/JX
2연패	2/SN+연패/NNG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.75.5.3
3년 전 한국을 겨냥해 "30년 동안 (일본을) 이길 수 없을 거란 생각이 들게 해주겠다"고 했던 이치로는 이번엔 "한국을 상대로 압승은 어렵다"고 '입 조심'을 했다.

3년	3/SN+년/NNB
전	전/NNG
한국을	한국/NNP+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
"30년	"/SS+30/SN+년/NNB
동안	동안/NNG
(일본을)	(/SS+일본/NNP+을/JKO+)/SS
이길	이기/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
거란	거/NNB+이/VCP+란/ETM
생각이	생각/NNG+이/JKS
들게	들/VV+게/EC
해주겠다"고	하/VX+아/EC+주/VX+겠/EP+다/EF+"/SS+고/JKQ
했던	하/VV+았/EP+던/ETM
이치로는	이치로/NNP+는/JX
이번엔	이번/NNG+에/JKB+ㄴ/JX
"한국을	"/SS+한국/NNP+을/JKO
상대로	상대/NNG+로/JKB
압승은	압승/NNG+은/JX
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
'입	'/SS+입/NNG
조심'을	조심/NNG+'/SS+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.75.5.4
7일 한·일전에서 어느 팀이 지더라도 패자부활전(8일)을 거쳐 오는 9일 1-2위 결정전에서 다시 격돌한 가능성이 크다.

7일	7/SN+일/NNB
한·일전에서	한·일전/NNG+에서/JKB
어느	어느/MMD
팀이	팀/NNG+이/JKS
지더라도	지/VV+더라도/EC
패자부활전(8일)을	패자/NNG+부활전/NNG+(/SS+8/SN+일/NNB+)/SS+을/JKO
거쳐	거치/VV+어/EC
오는	오/VV+는/ETM
9일	9/SN+일/NNB
1-2위	1/SN+-/SO+2/SN+위/NNB
결정전에서	결정전/NNG+에서/JKB
다시	다시/MAG
격돌한	격돌/NNG+하/XSV+ㄴ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000022.75.5.5
하지만 2연승으로 일찌감치 2라운드 진출을 확정한 뒤 홀가분한 마음으로 9일 순위 결정전을 기다리고 싶은 것이 한·일 양팀의 공통 희망사항이다.

하지만	하지만/MAJ
2연승으로	2/SN+연승/NNG+으로/JKB
일찌감치	일찌감치/MAG
2라운드	2/SN+라운드/NNG
진출을	진출/NNG+을/JKO
확정한	확정/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
홀가분한	홀가분하/VA+ㄴ/ETM
마음으로	마음/NNG+으로/JKB
9일	9/SN+일/NNB
순위	순위/NNG
결정전을	결정전/NNG+을/JKO
기다리고	기다리/VV+고/EC
싶은	싶/VX+은/ETM
것이	것/NNB+이/JKS
한·일	한·일/NNP
양팀의	양/MMN+팀/NNG+의/JKG
공통	공통/NNG
희망사항이다.	희망/NNG+사항/NNG+이/VCP+다/EF+./SF


