# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.140
metadata : {}


# id : NWRW1800000025.140.1.1
“과학자들의 귀국-외국기관과 교류… 노벨상 배출하려면 반드시 필요”

“과학자들의	“/SS+과학자/NNG+들/XSN+의/JKG
귀국-외국기관과	귀국/NNG+-/SO+외국/NNG+기관/NNG+과/JKB
교류…	교류/NNG+…/SE
노벨상	노벨상/NNG
배출하려면	배출/NNG+하/XSV+려면/EC
반드시	반드시/MAG
필요”	필요/NNG+”/SS


# id : NWRW1800000025.140.2.1
“노벨상 수상자를 배출하려면 국경을 뛰어넘어 인재와 연구비를 확보하려는 노력이 필요합니다.

“노벨상	“/SS+노벨상/NNG
수상자를	수상자/NNG+를/JKO
배출하려면	배출/NNG+하/XSV+려면/EC
국경을	국경/NNG+을/JKO
뛰어넘어	뛰어넘/VV+어/EC
인재와	인재/NNG+와/JC
연구비를	연구비/NNG+를/JKO
확보하려는	확보/NNG+하/XSV+려는/ETM
노력이	노력/NNG+이/JKS
필요합니다.	필요/NNG+하/XSA+ㅂ니다/EF+./SF


# id : NWRW1800000025.140.2.2
다만 과학자에게 노벨상을 받으라는 압력을 넣는 것은 금물입니다.”

다만	다만/MAG
과학자에게	과학자/NNG+에게/JKB
노벨상을	노벨상/NNG+을/JKO
받으라는	받/VV+으라는/ETM
압력을	압력/NNG+을/JKO
넣는	넣/VV+는/ETM
것은	것/NNB+은/JX
금물입니다.”	금물/NNG+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000025.140.3.1
지난해 노벨 화학상을 받은 이스라엘 바이츠만연구소의 아다 요나트 박사(71)는 17일 서울 강남구 삼성동 코엑스에서 열린 ‘세계 석학에게 묻는다’ 간담회에서 한국에서 노벨상 수상자가 나오려면 어떻게 해야 하는지 묻는 질문에 이같이 답했다.

지난해	지난해/NNG
노벨	노벨/NNP
화학상을	화학상/NNG+을/JKO
받은	받/VV+은/ETM
이스라엘	이스라엘/NNP
바이츠만연구소의	바이츠만연구소/NNP+의/JKG
아다	아다/NNP
요나트	요나트/NNP
박사(71)는	박사/NNG+(/SS+71/SN+)/SS+는/JX
17일	17/SN+일/NNB
서울	서울/NNP
강남구	강남구/NNP
삼성동	삼성동/NNP
코엑스에서	코엑스/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘세계	‘/SS+세계/NNG
석학에게	석학/NNG+에게/JKB
묻는다’	묻/VV+는다/EF+’/SS
간담회에서	간담회/NNG+에서/JKB
한국에서	한국/NNP+에서/JKB
노벨상	노벨상/NNG
수상자가	수상자/NNG+가/JKS
나오려면	나오/VV+려면/EC
어떻게	어떻/VA+게/EC
해야	하/VV+아야/EC
하는지	하/VX+는지/EC
묻는	묻/VV+는/ETM
질문에	질문/NNG+에/JKB
이같이	이/NP+같이/JKB
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.140.3.2
요나트 박사는 생화학분자생물학회 주최로 열린 연례 국제학술대회에 참석하기 위해 한국을 찾았다.

요나트	요나트/NNP
박사는	박사/NNG+는/JX
생화학분자생물학회	생화학분자생물학회/NNP
주최로	주최/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
연례	연례/NNG
국제학술대회에	국제/NNG+학술/NNG+대회/NNG+에/JKB
참석하기	참석/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
한국을	한국/NNP+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.140.4.1
요나트 박사는 “이스라엘은 외국에서 성공적으로 연구하고 있는 과학자를 돌아오게 하려고 엄청난 노력을 한다”며 “해외 인재가 귀국하면 다른 나라의 연구 동향을 파악하는 것은 물론 문제를 해결하는 방식도 습득할 수 있게 된다”고 말했다.

요나트	요나트/NNP
박사는	박사/NNG+는/JX
“이스라엘은	“/SS+이스라엘/NNP+은/JX
외국에서	외국/NNG+에서/JKB
성공적으로	성공/NNG+적/XSN+으로/JKB
연구하고	연구/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
과학자를	과학자/NNG+를/JKO
돌아오게	돌아오/VV+게/EC
하려고	하/VX+려고/EC
엄청난	엄청나/VA+ㄴ/ETM
노력을	노력/NNG+을/JKO
한다”며	하/VV+ㄴ다/EF+”/SS+며/EC
“해외	“/SS+해외/NNG
인재가	인재/NNG+가/JKS
귀국하면	귀국/NNG+하/XSV+면/EC
다른	다른/MMD
나라의	나라/NNG+의/JKG
연구	연구/NNG
동향을	동향/NNG+을/JKO
파악하는	파악/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
물론	물론/MAG
문제를	문제/NNG+를/JKO
해결하는	해결/NNG+하/XSV+는/ETM
방식도	방식/NNG+도/JX
습득할	습득/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.140.5.1
해외 인재의 귀국은 국제적인 연구 교류를 위해 선(善)순환 구조를 만드는 데도 도움이 된다.

해외	해외/NNG
인재의	인재/NNG+의/JKG
귀국은	귀국/NNG+은/JX
국제적인	국제/NNG+적/XSN+이/VCP+ㄴ/ETM
연구	연구/NNG
교류를	교류/NNG+를/JKO
위해	위하/VV+아/EC
선(善)순환	선/NNG+(/SS+善/SH+)/SS+순환/NNG
구조를	구조/NNG+를/JKO
만드는	만들/VV+는/ETM
데도	데/NNB+도/JX
도움이	도움/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.140.5.2
외국 석학들과 함께 연구한 과학자가 고국에 돌아와 후학을 양성하면 자연스레 해외와 교류할 기회가 주어진다.

외국	외국/NNG
석학들과	석학/NNG+들/XSN+과/JKB
함께	함께/MAG
연구한	연구/NNG+하/XSV+ㄴ/ETM
과학자가	과학자/NNG+가/JKS
고국에	고국/NNG+에/JKB
돌아와	돌아오/VV+아/EC
후학을	후학/NNG+을/JKO
양성하면	양성/NNG+하/XSV+면/EC
자연스레	자연스레/MAG
해외와	해외/NNG+와/JC
교류할	교류/NNG+하/XSV+ㄹ/ETM
기회가	기회/NNG+가/JKS
주어진다.	주어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.140.5.3
이런 교류를 통해 젊은 과학도들이 해외로 진출해 좋은 연구 환경에서 공부할 수 있는 가능성도 높아진다는 것이다.

이런	이런/MMD
교류를	교류/NNG+를/JKO
통해	통하/VV+아/EC
젊은	젊/VA+은/ETM
과학도들이	과학도/NNG+들/XSN+이/JKS
해외로	해외/NNG+로/JKB
진출해	진출/NNG+하/XSV+아/EC
좋은	좋/VA+은/ETM
연구	연구/NNG
환경에서	환경/NNG+에서/JKB
공부할	공부/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
가능성도	가능/NNG+성/XSN+도/JX
높아진다는	높아지/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.140.6.1
연구비와 관련해선 정부의 지원을 기다리기보다 연구소나 연구자 스스로 국외로 눈을 돌리는 시도를 해야 한다는 지적도 했다.

연구비와	연구비/NNG+와/JKB
관련해선	관련/NNG+하/XSV+아서/EC+ㄴ/JX
정부의	정부/NNG+의/JKG
지원을	지원/NNG+을/JKO
기다리기보다	기다리/VV+기/ETN+보다/JKB
연구소나	연구소/NNG+나/JC
연구자	연구자/NNG
스스로	스스로/MAG
국외로	국외/NNG+로/JKB
눈을	눈/NNG+을/JKO
돌리는	돌리/VV+는/ETM
시도를	시도/NNG+를/JKO
해야	하/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
지적도	지적/NNG+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.140.6.2
요나트 박사는 “이스라엘도 연구자에게 연구비를 전액 지원하지는 않는다”며 “나도 연구를 계속하기 위해 반년 내내 유럽과 미국에 연구비 지원 신청서를 냈다”고 밝혔다.

요나트	요나트/NNP
박사는	박사/NNG+는/JX
“이스라엘도	“/SS+이스라엘/NNP+도/JX
연구자에게	연구자/NNG+에게/JKB
연구비를	연구비/NNG+를/JKO
전액	전액/NNG
지원하지는	지원/NNG+하/XSV+지/EC+는/JX
않는다”며	않/VX+는다/EF+”/SS+며/EC
“나도	“/SS+나/NP+도/JX
연구를	연구/NNG+를/JKO
계속하기	계속/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
반년	반년/NNG
내내	내내/MAG
유럽과	유럽/NNP+과/JC
미국에	미국/NNP+에/JKB
연구비	연구비/NNG
지원	지원/NNG
신청서를	신청서/NNG+를/JKO
냈다”고	내/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.140.6.3
특히 해외기관에서 연구비를 받기 위해 노력하다 보면 자신의 연구에 대한 홍보도 된다는 것이다.

특히	특히/MAG
해외기관에서	해외/NNG+기관/NNG+에서/JKB
연구비를	연구비/NNG+를/JKO
받기	받/VV+기/ETN
위해	위하/VV+아/EC
노력하다	노력/NNG+하/XSV+다/EC
보면	보/VX+면/EC
자신의	자신/NNG+의/JKG
연구에	연구/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
홍보도	홍보/NNG+도/JX
된다는	되/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.140.7.1
요나트 박사는 “국가가 정책적으로 노벨상 수상자 같은 ‘스타 과학자’를 만들려고 나서는 것은 자제해야 한다”고 경고했다.

요나트	요나트/NNP
박사는	박사/NNG+는/JX
“국가가	“/SS+국가/NNG+가/JKS
정책적으로	정책/NNG+적/XSN+으로/JKB
노벨상	노벨상/NNG
수상자	수상자/NNG
같은	같/VA+은/ETM
‘스타	‘/SS+스타/NNG
과학자’를	과학자/NNG+’/SS+를/JKO
만들려고	만들/VV+려고/EC
나서는	나서/VV+는/ETM
것은	것/NNB+은/JX
자제해야	자제/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.140.8.1
“DNA가 발견되기 전에는 어느 누구도 그 존재조차 몰랐습니다.

“DNA가	“/SS+DNA/SL+가/JKS
발견되기	발견/NNG+되/XSV+기/ETN
전에는	전/NNG+에/JKB+는/JX
어느	어느/MMD
누구도	누구/NP+도/JX
그	그/MMD
존재조차	존재/NNG+조차/JX
몰랐습니다.	모르/VV+았/EP+습니다/EF+./SF

