# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.5
metadata : {}


# id : NWRW1800000038.5.1.1
車 '뻥 연비' 왜 안 잡나

車	車/SH
'뻥	'/SS+뻥/NNG
연비'	연비/NNG+'/SS
왜	왜/MAG
안	안/MAG
잡나	잡/VV+나/EF


# id : NWRW1800000038.5.2.1
연비誤差 규제 강화한다더니… 정부, 1년째 법규 안 만들어

연비誤差	연비/NNG+誤差/SH
규제	규제/NNG
강화한다더니…	강화/NNG+하/XSV+ㄴ다더니/EF+…/SE
정부,	정부/NNG+,/SP
1년째	1/SN+년/NNB+째/XSN
법규	법규/NNG
안	안/MAG
만들어	만들/VV+어/EF


# id : NWRW1800000038.5.3.1
지난해 현대·기아차가 북미에서 연비 과장 논란에 휩싸여 13개 차종 연비를 하향 조정한 직후 우리 정부도 "연비 사후 관리 제도를 대폭 강화하겠다"고 약속했지만, 1년째 관련 법규조차 마련되지 않은 것으로 나타났다.

지난해	지난해/NNG
현대·기아차가	현대/NNP+·/SP+기아차/NNP+가/JKS
북미에서	북미/NNP+에서/JKB
연비	연비/NNG
과장	과장/NNG
논란에	논란/NNG+에/JKB
휩싸여	휩싸이/VV+어/EC
13개	13/SN+개/NNB
차종	차종/NNG
연비를	연비/NNG+를/JKO
하향	하향/NNG
조정한	조정/NNG+하/XSV+ㄴ/ETM
직후	직후/NNG
우리	우리/NP
정부도	정부/NNG+도/JX
"연비	"/SS+연비/NNG
사후	사후/NNG
관리	관리/NNG
제도를	제도/NNG+를/JKO
대폭	대폭/MAG
강화하겠다"고	강화/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
약속했지만,	약속/NNG+하/XSV+았/EP+지만/EC+,/SP
1년째	1/SN+년/NNB+째/XSN
관련	관련/NNG
법규조차	법규/NNG+조차/JX
마련되지	마련/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.5.3.2
미국 등지에서는 연비 오차가 3%가량 발생한 데 대해서 1인당 평균 100달러 수준의 보상이 이뤄졌다.

미국	미국/NNP
등지에서는	등지/NNB+에서/JKB+는/JX
연비	연비/NNG
오차가	오차/NNG+가/JKS
3%가량	3/SN+%/SW+가량/XSN
발생한	발생/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해서	대하/VV+아서/EC
1인당	1/SN+인/NNG+당/XSN
평균	평균/NNG
100달러	100/SN+달러/NNB
수준의	수준/NNG+의/JKG
보상이	보상/NNG+이/JKS
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.5.4.1
국회 산업통상자원위 소속 새누리당 윤영석 의원은 11일 "주무 부처인 산업통상자원부로부터 지난해 약속한 연비 사후 검증 개선책 진행 정도를 보고받은 결과, 연비 사후 검증 오차 범위를 5%에서 3%로 강화하는 에너지이용합리화법이 개정되지 않은 것으로 나타났다"고 밝혔다.

국회	국회/NNG
산업통상자원위	산업/NNG+통상/NNG+자원위/NNG
소속	소속/NNG
새누리당	새누리당/NNP
윤영석	윤영석/NNP
의원은	의원/NNG+은/JX
11일	11/SN+일/NNB
"주무	"/SS+주무/NNG
부처인	부처/NNG+이/VCP+ㄴ/ETM
산업통상자원부로부터	산업/NNG+통상/NNG+자원부/NNG+로부터/JKB
지난해	지난해/NNG
약속한	약속/NNG+하/XSV+ㄴ/ETM
연비	연비/NNG
사후	사후/NNG
검증	검증/NNG
개선책	개선책/NNG
진행	진행/NNG
정도를	정도/NNG+를/JKO
보고받은	보고/NNG+받/XSV+은/ETM
결과,	결과/NNG+,/SP
오차	오차/NNG
